pop1	pop2	nean_int_mean_frag_len	nean_int_total_seq_len	nean_int_n_frags	nean_n_ind1	nean_art1_mean_frag_len	nean_art1_total_seq_len	nean_art1_n_frags	nean_n_ind2	nean_art2_mean_frag_len	nean_art2_total_seq_len	nean_art2_n_frags	deni_int_mean_frag_len	deni_int_total_seq_len	deni_int_n_frags	deni_n_ind1	deni_art1_mean_frag_len	deni_art1_total_seq_len	deni_art1_n_frags	deni_n_ind2	deni_art2_mean_frag_len	deni_art2_total_seq_len	deni_art2_n_frags	mpd_neanderthal	mpd_whole_genome	mpd_denisova	reg1	reg2	nean_ratio1	nean_ratio2	deni_ratio1	deni_ratio2	div_neanderthal	div_whole_genome	div_denisova	norm_div_neanderthal	norm_div_whole_genome	norm_div_denisova
Burusho	Burusho	83004.2372881356	470141664	5664	24	83004.2372881356	470136000	5664	24	83004.2372881356	470136000	5664	82881.53846153847	53873650	650	24	82881.53846153847	53873000	650	24	82881.53846153847	53873000	650	1385034.5	1578348.8871890968	104323.5	SAS	SAS	1.000012047577722	1.000012047577722	1.0000120654131013	1.0000120654131013	0.0029459939547072348	0.0007007763407611724	0.0019364475954385865	5.954445773042664	-0.559158790536425	3.3888046668623923
Hazara	Burusho	52720.891629120226	222328217	4217	19	84074.29015947103	432310000	5142	24	83004.2372881356	470136000	5664	57004.739336492894	12028211	211	19	87803.21285140562	43726000	498	24	82881.53846153847	53873000	650	80215.0	1635810.8934422568	4727.0	SAS	SAS	0.514279607226296	0.4729019198699951	0.27508143896080134	0.22326974551259443	0.0003607954090685664	0.0007262890868984342	0.00039299277340578743	-0.19267958545261732	0.0471576525863323	-0.31501146525243423
Uygur	Burusho	54133.17688471692	184543409	3409	10	88113.44113188479	348753000	3958	24	83004.2372881356	470136000	5664	64993.63057324841	10204157	157	10	83228.3950617284	26966000	324	24	82881.53846153847	53873000	650	66912.0	1635316.2204655884	4115.0	SAS	SAS	0.5291521764687329	0.3925319673456191	0.3784082548394274	0.18941133777588032	0.0003625813588389927	0.000726069455408035	0.0004032670214697794	-0.1884329262777128	0.04193805829647833	-0.2903564347445478
Bougainville	Burusho	52949.657869012706	108337046	2046	11	100468.92870758673	263530000	2623	24	83004.2372881356	470136000	5664	50018.072289156626	8303166	166	11	111934.0434248259	273231000	2441	24	82881.53846153847	53873000	650	41627.0	1707456.4679489883	4005.0	OCE	SAS	0.41109948013508896	0.2304376733540933	0.030388813860799103	0.15412481205798823	0.0003842360627037957	0.0007580992423983215	0.0004823461315840247	-0.13694203422123802	0.8031335179089798	-0.10059092974021525
PapuanHighlands	Burusho	50631.27781309599	79644573	1573	9	96848.01864801865	207739000	2145	24	83004.2372881356	470136000	5664	44649.00662251656	6742151	151	9	102869.12065439673	251515000	2445	24	82881.53846153847	53873000	650	33415.5	1718701.1849378145	2869.5	OCE	SAS	0.383387678769995	0.16940751825003827	0.026806158678408843	0.1251489800085386	0.00041955777702518414	0.0007630918214714808	0.0004256060120872404	-0.05295351187859834	0.9217833398199957	-0.2367497384920834
PapuanSepik	Burusho	50143.55828220859	81735630	1630	8	95321.77088087631	208850000	2191	24	83004.2372881356	470136000	5664	42106.87022900763	5516131	131	8	104995.32710280374	247159000	2354	24	82881.53846153847	53873000	650	34045.0	1717406.7324108444	2696.0	OCE	SAS	0.3913604500837922	0.1738552886824238	0.02231814742736457	0.10239138343882835	0.0004165258162199276	0.0007625170932143116	0.0004887483636628645	-0.0601629554949887	0.9081247869235652	-0.08522754487358263
Colombian	Burusho	54054.811982154235	84813569	1569	7	90187.00114025085	158188000	1754	24	83004.2372881356	470136000	5664	50666.666666666664	4408087	87	7	83488.23529411765	14193000	170	24	82881.53846153847	53873000	650	33558.0	1642081.026567436	2295.5	AMR	SAS	0.5361567818039294	0.18040220063981485	0.31058176565912776	0.08182367790915672	0.00039566782055828825	0.0007290729840350006	0.0005207474353387309	-0.10975942237965193	0.1133176261454842	-0.008439629740648416
Karitiana	Burusho	53518.56513530522	85042589	1589	12	89790.09566685425	159557000	1777	24	83004.2372881356	470136000	5664	43250.0	3806088	88	12	77456.14035087719	13245000	171	24	82881.53846153847	53873000	650	33073.0	1637689.24926496	1713.5	AMR	SAS	0.5329919025802691	0.18088933627716236	0.287360362400906	0.07064926772223563	0.0003888992608162482	0.0007271230643103773	0.00045019978518625947	-0.12585380913419253	0.06697732293203372	-0.17773225883968402
Surui	Burusho	54208.90937019969	70581302	1302	8	94387.41958541816	132048000	1399	24	83004.2372881356	470136000	5664	47687.5	3052064	64	8	74693.54838709677	9262000	124	24	82881.53846153847	53873000	650	29745.0	1637443.8634568006	1584.0	AMR	SAS	0.5345124651641827	0.1501295412391308	0.32952537248974306	0.05665294303268799	0.000421428893448296	0.000727014114654118	0.0005189930486385607	-0.048504342110724186	0.06438810859551393	-0.01264961740552877
Pima	Burusho	54582.7850877193	99560824	1824	13	90849.21014839636	189784000	2089	24	83004.2372881356	470136000	5664	49247.31182795699	4580093	93	13	81995.19230769231	17055000	208	24	82881.53846153847	53873000	650	40017.5	1638905.9546972497	2100.0	AMR	SAS	0.5246007250347764	0.21177026222199533	0.2685484022280856	0.08501648321051361	0.0004019402250025572	0.000727663273377932	0.00045850597356865896	-0.09484480141827475	0.07981551912699471	-0.15779996533296664
