pop1	pop2	nean_int_mean_frag_len	nean_int_total_seq_len	nean_int_n_frags	nean_n_ind1	nean_art1_mean_frag_len	nean_art1_total_seq_len	nean_art1_n_frags	nean_n_ind2	nean_art2_mean_frag_len	nean_art2_total_seq_len	nean_art2_n_frags	deni_int_mean_frag_len	deni_int_total_seq_len	deni_int_n_frags	deni_n_ind1	deni_art1_mean_frag_len	deni_art1_total_seq_len	deni_art1_n_frags	deni_n_ind2	deni_art2_mean_frag_len	deni_art2_total_seq_len	deni_art2_n_frags	mpd_neanderthal	mpd_whole_genome	mpd_denisova	reg1	reg2	nean_ratio1	nean_ratio2	deni_ratio1	deni_ratio2	div_neanderthal	div_whole_genome	div_denisova	norm_div_neanderthal	norm_div_whole_genome	norm_div_denisova
Burusho	Burusho	83004.2372881356	470141664	5664	24	83004.2372881356	470136000	5664	24	83004.2372881356	470136000	5664	82881.53846153847	53873650	650	24	82881.53846153847	53873000	650	24	82881.53846153847	53873000	650	271551.0	1578348.8871890968	37433.0	SAS	SAS	1.000012047577722	1.000012047577722	1.0000120654131013	1.0000120654131013	0.0005775939909039842	0.0007007763407611724	0.0006948294760054312	4.3738308871375775	-0.559158790536425	3.044743010878845
Hazara	Burusho	52720.891629120226	222328217	4217	19	84074.29015947103	432310000	5142	24	83004.2372881356	470136000	5664	57004.739336492894	12028211	211	19	87803.21285140562	43726000	498	24	82881.53846153847	53873000	650	14936.5	1635810.8934422568	1303.0	SAS	SAS	0.514279607226296	0.4729019198699951	0.27508143896080134	0.22326974551259443	6.718220566667883e-05	0.0007262890868984342	0.0001083286616771189	-0.3417622547973486	0.0471576525863323	-0.46938001266121554
Uygur	Burusho	54133.17688471692	184543409	3409	10	88113.44113188479	348753000	3958	24	83004.2372881356	470136000	5664	64993.63057324841	10204157	157	10	83228.3950617284	26966000	324	24	82881.53846153847	53873000	650	13407.5	1635316.2204655884	1362.0	SAS	SAS	0.5291521764687329	0.3925319673456191	0.3784082548394274	0.18941133777588032	7.265228312759737e-05	0.000726069455408035	0.00013347501415354547	-0.2912252952156501	0.04193805829647833	-0.3187112087369335
Bougainville	Burusho	52949.657869012706	108337046	2046	11	100468.92870758673	263530000	2623	24	83004.2372881356	470136000	5664	50018.072289156626	8303166	166	11	111934.0434248259	273231000	2441	24	82881.53846153847	53873000	650	9887.5	1707456.4679489883	1328.0	OCE	SAS	0.41109948013508896	0.2304376733540933	0.030388813860799103	0.15412481205798823	9.126610300967593e-05	0.0007580992423983215	0.00015993899194596375	-0.11925590908493532	0.8031335179089798	-0.16014762044712844
PapuanHighlands	Burusho	50631.27781309599	79644573	1573	9	96848.01864801865	207739000	2145	24	83004.2372881356	470136000	5664	44649.00662251656	6742151	151	9	102869.12065439673	251515000	2445	24	82881.53846153847	53873000	650	8829.5	1718701.1849378145	962.5	OCE	SAS	0.383387678769995	0.16940751825003827	0.026806158678408843	0.1251489800085386	0.00011086128869069333	0.0007630918214714808	0.00014275859440110434	0.0617801208127409	0.9217833398199957	-0.26308700107715316
PapuanSepik	Burusho	50143.55828220859	81735630	1630	8	95321.77088087631	208850000	2191	24	83004.2372881356	470136000	5664	42106.87022900763	5516131	131	8	104995.32710280374	247159000	2354	24	82881.53846153847	53873000	650	8748.0	1717406.7324108444	969.0	OCE	SAS	0.3913604500837922	0.1738552886824238	0.02231814742736457	0.10239138343882835	0.00010702798767196142	0.0007625170932143116	0.00017566660400197167	0.026365013799684398	0.9081247869235652	-0.0659128601857638
Colombian	Burusho	54054.811982154235	84813569	1569	7	90187.00114025085	158188000	1754	24	83004.2372881356	470136000	5664	50666.666666666664	4408087	87	7	83488.23529411765	14193000	170	24	82881.53846153847	53873000	650	8671.0	1642081.026567436	898.5	AMR	SAS	0.5361567818039294	0.18040220063981485	0.31058176565912776	0.08182367790915672	0.00010223599952502884	0.0007290729840350006	0.0002038299153351556	-0.017907213244216427	0.1133176261454842	0.10283258458981176
Karitiana	Burusho	53518.56513530522	85042589	1589	12	89790.09566685425	159557000	1777	24	83004.2372881356	470136000	5664	43250.0	3806088	88	12	77456.14035087719	13245000	171	24	82881.53846153847	53873000	650	8557.0	1637689.24926496	715.5	AMR	SAS	0.5329919025802691	0.18088933627716236	0.287360362400906	0.07064926772223563	0.00010062017279365754	0.0007271230643103773	0.0001879882966447439	-0.03283551559418482	0.06697732293203372	0.00791473348013607
Surui	Burusho	54208.90937019969	70581302	1302	8	94387.41958541816	132048000	1399	24	83004.2372881356	470136000	5664	47687.5	3052064	64	8	74693.54838709677	9262000	124	24	82881.53846153847	53873000	650	8702.0	1637443.8634568006	612.5	AMR	SAS	0.5345124651641827	0.1501295412391308	0.32952537248974306	0.05665294303268799	0.00012329044312614124	0.000727014114654118	0.00020068386508277676	0.17661061084266513	0.06438810859551393	0.08398246988407204
Pima	Burusho	54582.7850877193	99560824	1824	13	90849.21014839636	189784000	2089	24	83004.2372881356	470136000	5664	49247.31182795699	4580093	93	13	81995.19230769231	17055000	208	24	82881.53846153847	53873000	650	10025.0	1638905.9546972497	789.5	AMR	SAS	0.5246007250347764	0.21177026222199533	0.2685484022280856	0.08501648321051361	0.00010069221604674545	0.000727663273377932	0.00017237641244402678	-0.03216992228303879	0.07981551912699471	-0.08562662293453806
Maya	Burusho	53800.07390983001	145585706	2706	21	86030.21718602456	273318000	3177	24	83004.2372881356	470136000	5664	48772.05882352941	6633136	136	21	75397.95918367348	22167000	294	24	82881.53846153847	53873000	650	11839.5	1644599.116378467	1098.0	AMR	SAS	0.5326605126629055	0.30966721544404174	0.29923471827491316	0.12312542460973029	8.13232310045603e-05	0.0007301909990555103	0.00016553256257673596	-0.21111612939050906	0.13988751740478814	-0.126632755919778
Yakut	Burusho	53675.0	195380640	3640	25	85160.19310950187	388075000	4557	24	83004.2372881356	470136000	5664	51937.853107344636	9193177	177	25	78253.46534653465	39518000	505	24	82881.53846153847	53873000	650	14203.0	1644666.3987650222	1065.5	EAS	SAS	0.503461032017007	0.4155832354893052	0.23263264841338124	0.17064535110352125	7.269399875033678e-05	0.000730220871984766	0.00011590117322879783	-0.29083989285976597	0.1405974546304607	-0.4240079747378687
Oroqen	Burusho	50515.928515928514	130030574	2574	9	83778.13504823152	260550000	3110	24	83004.2372881356	470136000	5664	56054.26356589147	7231129	129	9	84363.37209302325	29021000	344	24	82881.53846153847	53873000	650	10428.0	1646378.319973722	1112.5	EAS	SAS	0.4990618844751487	0.2765807638640734	0.24916884325143862	0.1342254747276001	8.019652362682026e-05	0.0007309809535421718	0.00015384872818615183	-0.22152555514655456	0.1586609725242231	-0.1966385094193751
