pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
Burusho	Burusho	SAS	SAS	24	24	1385034.5	0.0029460294467983732	1578348.8871890968	0.0007007763407611724	83004.2372881356	470136000	5664	83004.2372881356	470136000	5664	83004.2372881356	470136000	5664	1.0
Hazara	Burusho	SAS	SAS	19	24	80215.0	0.0003608022525683237	1635810.8934422568	0.0007262890868984342	52720.891629120226	222324000	4217	84074.29015947103	432310000	5142	83004.2372881356	470136000	5664	0.5142698526520321
Uygur	Burusho	SAS	SAS	10	24	66912.0	0.00036258805678985586	1635316.2204655884	0.000726069455408035	54133.17688471692	184540000	3409	88113.44113188479	348753000	3958	83004.2372881356	470136000	5664	0.5291424016424231
Bougainville	Burusho	OCE	SAS	11	24	41627.0	0.00038424331933354874	1707456.4679489883	0.0007580992423983215	52949.657869012706	108335000	2046	100468.92870758673	263530000	2623	83004.2372881356	470136000	5664	0.41109171631313324
PapuanHighlands	Burusho	OCE	SAS	9	24	33415.5	0.0004195660635586304	1718701.1849378145	0.0007630918214714808	50631.27781309599	79643000	1573	96848.01864801865	207739000	2145	83004.2372881356	470136000	5664	0.3833801067685894
PapuanSepik	Burusho	OCE	SAS	8	24	34045.0	0.00041653412288643647	1717406.7324108444	0.0007625170932143116	50143.55828220859	81734000	1630	95321.77088087631	208850000	2191	83004.2372881356	470136000	5664	0.39135264543931053
Colombian	Burusho	AMR	SAS	7	24	33558.0	0.00039567514031033346	1642081.026567436	0.0007290729840350006	54054.811982154235	84812000	1569	90187.00114025085	158188000	1754	83004.2372881356	470136000	5664	0.5361468632260349
Karitiana	Burusho	AMR	SAS	12	24	33073.0	0.0003889065274397056	1637689.24926496	0.0007271230643103773	53518.56513530522	85041000	1589	89790.09566685425	159557000	1777	83004.2372881356	470136000	5664	0.5329819437567765
Surui	Burusho	AMR	SAS	8	24	29745.0	0.0004214366676112213	1637443.8634568006	0.000727014114654118	54208.90937019969	70580000	1302	94387.41958541816	132048000	1399	83004.2372881356	470136000	5664	0.5345026051132922
Pima	Burusho	AMR	SAS	13	24	40017.5	0.00040194758886690304	1638905.9546972497	0.000727663273377932	54582.7850877193	99559000	1824	90849.21014839636	189784000	2089	83004.2372881356	470136000	5664	0.5245911141086709
Maya	Burusho	AMR	SAS	21	24	54694.0	0.00037568946923747967	1644599.116378467	0.0007301909990555103	53800.07390983001	145583000	2706	86030.21718602456	273318000	3177	83004.2372881356	470136000	5664	0.5326506121075085
Yakut	Burusho	EAS	SAS	25	24	71686.0	0.0003669111512614074	1644666.3987650222	0.000730220871984766	53675.0	195377000	3640	85160.19310950187	388075000	4557	83004.2372881356	470136000	5664	0.5034516523867809
Oroqen	Burusho	EAS	SAS	9	24	46502.5	0.00035763450949026363	1646378.319973722	0.0007309809535421718	50515.928515928514	130028000	2574	83778.13504823152	260550000	3110	83004.2372881356	470136000	5664	0.4990520053732489
Daur	Burusho	EAS	SAS	9	24	49752.5	0.00037071464230628803	1648705.9654791427	0.0007320144125657865	52795.830055074744	134207000	2542	87494.140625	268782000	3072	83004.2372881356	470136000	5664	0.49931543034875847
Hezhen	Burusho	EAS	SAS	9	24	47603.0	0.0003652637636677537	1648772.3922148598	0.0007320439055917977	51309.055118110235	130325000	2540	85640.29706167258	265228000	3097	83004.2372881356	470136000	5664	0.4913696894747161
