pop	ind_neanderthal	mean_frag_len_neanderthal	total_seq_len_neanderthal	n_frags_neanderthal	ind_denisova	mean_frag_len_denisova	total_seq_len_denisova	n_frags_denisova	index	reg
Burusho	24	83004.2372881356	470136000	5664	24	82881.53846153847	53873000	650	3365	SAS
Hazara	19	84074.29015947103	432310000	5142	19	87803.21285140562	43726000	498	3251	SAS
Uygur	10	88113.44113188479	348753000	3958	10	83228.3950617284	26966000	324	4026	SAS
Bougainville	11	100468.92870758673	263530000	2623	11	111934.0434248259	273231000	2441	3416	OCE
PapuanHighlands	9	96848.01864801865	207739000	2145	9	102869.12065439673	251515000	2445	3453	OCE
PapuanSepik	8	95321.77088087631	208850000	2191	8	104995.32710280374	247159000	2354	3445	OCE
Colombian	7	90187.00114025085	158188000	1754	7	83488.23529411765	14193000	170	3591	AMR
Karitiana	12	89790.09566685425	159557000	1777	12	77456.14035087719	13245000	171	3828	AMR
Surui	8	94387.41958541816	132048000	1399	8	74693.54838709677	9262000	124	3696	AMR
Pima	13	90849.21014839636	189784000	2089	13	81995.19230769231	17055000	208	3852	AMR
Maya	21	86030.21718602456	273318000	3177	21	75397.95918367348	22167000	294	3704	AMR
Yakut	25	85160.19310950187	388075000	4557	25	78253.46534653465	39518000	505	3786	EAS
Oroqen	9	83778.13504823152	260550000	3110	9	84363.37209302325	29021000	344	3940	EAS
Daur	9	87494.140625	268782000	3072	9	86159.02964959569	31965000	371	3949	EAS
Hezhen	9	85640.29706167258	265228000	3097	9	82407.73809523809	27689000	336	3967	EAS
Mongolian	9	87875.03914813655	280585000	3193	9	87150.27322404372	31897000	366	3958	EAS
Xibo	9	88987.14239794278	276839000	3111	9	87800.0	28974000	330	3976	EAS
Japanese	27	78430.189501198	360073000	4591	27	80322.0640569395	45141000	562	3628	EAS
NorthernHan	10	85439.47858472998	275286000	3222	10	79861.78861788618	29469000	369	4016	EAS
Naxi	8	88766.8252889191	261152000	2942	8	89819.71830985915	31886000	355	4063	EAS
Yi	10	87185.6014580802	287015000	3292	10	85698.3758700696	36936000	431	3916	EAS
Tu	10	86606.52870883125	297147000	3431	10	84101.03626943006	32463000	386	4071	EAS
Tujia	9	89896.23908663532	267711000	2978	9	82201.08695652174	30250000	368	3887	EAS
Cambodian	9	85110.81794195251	290313000	3411	9	88593.45794392523	37918000	428	3597	EAS
Dai	9	84013.2362673726	253888000	3022	9	90136.90476190476	30286000	336	4036	EAS
Lahu	8	89675.22935779816	244365000	2725	8	90000.0	28890000	321	4045	EAS
Miao	10	87096.5890978642	273222000	3137	10	94740.0	33159000	350	3926	EAS
Han	33	78911.08476585655	399369000	5061	33	79285.92814371258	52963000	668	3652	EAS
She	10	88498.33222148099	265318000	2998	10	88446.74556213018	29895000	338	4053	EAS
Adygei	16	87799.51219512195	359978000	4100	16	73439.2523364486	15716000	214	4104	EUR
Basque	23	84647.71598808342	340961000	4028	23	71625.80645161291	11102000	155	4081	EUR
Sardinian	28	83547.36098020735	354575000	4244	28	64434.06593406593	11727000	182	3556	EUR
BergamoItalian	12	89985.15151515152	296951000	3300	12	71886.36363636363	9489000	132	3896	EUR
Tuscan	8	89399.92503748125	238519000	2668	8	62451.32743362832	7057000	113	3903	EUR
French	28	81519.47236180905	389337000	4776	28	73666.66666666667	15691000	213	3417	EUR
Orcadian	15	85381.43762049022	310020000	3631	15	70681.52866242039	11097000	157	3669	EUR
Bedouin	46	79872.41706161137	421327000	5275	46	79059.70149253731	26485000	335	3504	MID
Palestinian	46	78281.71573973101	430706000	5502	46	72522.29299363057	22772000	314	3566	MID
Druze	42	79069.13866357667	409420000	5178	42	72399.29328621908	20489000	283	3462	MID
Russian	25	83296.06707925734	417230000	5009	25	72232.0819112628	21164000	293	3725	EUR
Balochi	24	83252.24382946896	445233000	5348	24	84783.78378378379	40781000	481	3227	SAS
Brahui	25	83963.44747979993	436442000	5198	25	80449.50495049504	40627000	505	3202	SAS
Makrani	25	82959.94608126325	430811000	5193	25	84103.2258064516	39108000	465	3270	SAS
Kalash	22	85339.24441017733	332055000	3891	22	87223.5294117647	29656000	340	3343	SAS
Pathan	24	83494.3231441048	478005000	5725	24	78737.78501628664	48345000	614	3319	SAS
Sindhi	24	83600.0	469832000	5620	24	80912.57668711657	52755000	652	3295	SAS
Mozabite	27	86723.33044232437	299976000	3459	26	74697.8021978022	13595000	182	3985	MID
