pop	ind_number	frag_number	mean_frag_len	total_seq_len	pop_ind_number	reg
Burusho	24	650	82881.53846153847	53873000	Burusho (24)	SAS
Hazara	19	498	87803.21285140562	43726000	Hazara (19)	SAS
Uygur	10	324	83228.3950617284	26966000	Uygur (10)	SAS
Bougainville	11	2441	111934.0434248259	273231000	Bougainville (11)	OCE
PapuanHighlands	9	2445	102869.12065439673	251515000	PapuanHighlands (9)	OCE
PapuanSepik	8	2354	104995.32710280374	247159000	PapuanSepik (8)	OCE
Colombian	7	170	83488.23529411765	14193000	Colombian (7)	AMR
Karitiana	12	171	77456.14035087719	13245000	Karitiana (12)	AMR
Surui	8	124	74693.54838709677	9262000	Surui (8)	AMR
Pima	13	208	81995.19230769231	17055000	Pima (13)	AMR
Maya	21	294	75397.95918367348	22167000	Maya (21)	AMR
Yakut	25	505	78253.46534653465	39518000	Yakut (25)	EAS
Oroqen	9	344	84363.37209302325	29021000	Oroqen (9)	EAS
Daur	9	371	86159.02964959569	31965000	Daur (9)	EAS
Hezhen	9	336	82407.73809523809	27689000	Hezhen (9)	EAS
Mongolian	9	366	87150.27322404372	31897000	Mongolian (9)	EAS
Xibo	9	330	87800.0	28974000	Xibo (9)	EAS
Japanese	27	562	80322.0640569395	45141000	Japanese (27)	EAS
NorthernHan	10	369	79861.78861788618	29469000	NorthernHan (10)	EAS
Naxi	8	355	89819.71830985915	31886000	Naxi (8)	EAS
Yi	10	431	85698.3758700696	36936000	Yi (10)	EAS
Tu	10	386	84101.03626943006	32463000	Tu (10)	EAS
Tujia	9	368	82201.08695652174	30250000	Tujia (9)	EAS
Cambodian	9	428	88593.45794392523	37918000	Cambodian (9)	EAS
Dai	9	336	90136.90476190476	30286000	Dai (9)	EAS
Lahu	8	321	90000.0	28890000	Lahu (8)	EAS
Miao	10	350	94740.0	33159000	Miao (10)	EAS
Han	33	668	79285.92814371258	52963000	Han (33)	EAS
She	10	338	88446.74556213018	29895000	She (10)	EAS
Adygei	16	214	73439.2523364486	15716000	Adygei (16)	EUR
Basque	23	155	71625.80645161291	11102000	Basque (23)	EUR
Sardinian	28	182	64434.06593406593	11727000	Sardinian (28)	EUR
BergamoItalian	12	132	71886.36363636363	9489000	BergamoItalian (12)	EUR
Tuscan	8	113	62451.32743362832	7057000	Tuscan (8)	EUR
French	28	213	73666.66666666667	15691000	French (28)	EUR
Orcadian	15	157	70681.52866242039	11097000	Orcadian (15)	EUR
Bedouin	46	335	79059.70149253731	26485000	Bedouin (46)	MID
Palestinian	46	314	72522.29299363057	22772000	Palestinian (46)	MID
Druze	42	283	72399.29328621908	20489000	Druze (42)	MID
Russian	25	293	72232.0819112628	21164000	Russian (25)	EUR
Balochi	24	481	84783.78378378379	40781000	Balochi (24)	SAS
Brahui	25	505	80449.50495049504	40627000	Brahui (25)	SAS
Makrani	25	465	84103.2258064516	39108000	Makrani (25)	SAS
Kalash	22	340	87223.5294117647	29656000	Kalash (22)	SAS
Pathan	24	614	78737.78501628664	48345000	Pathan (24)	SAS
Sindhi	24	652	80912.57668711657	52755000	Sindhi (24)	SAS
Mozabite	26	182	74697.8021978022	13595000	Mozabite (26)	MID
