pop	ind_number	frag_number	mean_frag_len	total_seq_len	pop_ind_number	reg
Burusho	24	5664	83004.2372881356	470136000	Burusho (24)	SAS
Hazara	19	5142	84074.29015947103	432310000	Hazara (19)	SAS
Uygur	10	3958	88113.44113188479	348753000	Uygur (10)	SAS
Bougainville	11	2623	100468.92870758673	263530000	Bougainville (11)	OCE
PapuanHighlands	9	2145	96848.01864801865	207739000	PapuanHighlands (9)	OCE
PapuanSepik	8	2191	95321.77088087631	208850000	PapuanSepik (8)	OCE
Colombian	7	1754	90187.00114025085	158188000	Colombian (7)	AMR
Karitiana	12	1777	89790.09566685425	159557000	Karitiana (12)	AMR
Surui	8	1399	94387.41958541816	132048000	Surui (8)	AMR
Pima	13	2089	90849.21014839636	189784000	Pima (13)	AMR
Maya	21	3177	86030.21718602456	273318000	Maya (21)	AMR
Yakut	25	4557	85160.19310950187	388075000	Yakut (25)	EAS
Oroqen	9	3110	83778.13504823152	260550000	Oroqen (9)	EAS
Daur	9	3072	87494.140625	268782000	Daur (9)	EAS
Hezhen	9	3097	85640.29706167258	265228000	Hezhen (9)	EAS
Mongolian	9	3193	87875.03914813655	280585000	Mongolian (9)	EAS
Xibo	9	3111	88987.14239794278	276839000	Xibo (9)	EAS
Japanese	27	4591	78430.189501198	360073000	Japanese (27)	EAS
NorthernHan	10	3222	85439.47858472998	275286000	NorthernHan (10)	EAS
Naxi	8	2942	88766.8252889191	261152000	Naxi (8)	EAS
Yi	10	3292	87185.6014580802	287015000	Yi (10)	EAS
Tu	10	3431	86606.52870883125	297147000	Tu (10)	EAS
Tujia	9	2978	89896.23908663532	267711000	Tujia (9)	EAS
Cambodian	9	3411	85110.81794195251	290313000	Cambodian (9)	EAS
Dai	9	3022	84013.2362673726	253888000	Dai (9)	EAS
Lahu	8	2725	89675.22935779816	244365000	Lahu (8)	EAS
Miao	10	3137	87096.5890978642	273222000	Miao (10)	EAS
Han	33	5061	78911.08476585655	399369000	Han (33)	EAS
She	10	2998	88498.33222148099	265318000	She (10)	EAS
Adygei	16	4100	87799.51219512195	359978000	Adygei (16)	EUR
Basque	23	4028	84647.71598808342	340961000	Basque (23)	EUR
Sardinian	28	4244	83547.36098020735	354575000	Sardinian (28)	EUR
BergamoItalian	12	3300	89985.15151515152	296951000	BergamoItalian (12)	EUR
Tuscan	8	2668	89399.92503748125	238519000	Tuscan (8)	EUR
French	28	4776	81519.47236180905	389337000	French (28)	EUR
Orcadian	15	3631	85381.43762049022	310020000	Orcadian (15)	EUR
Bedouin	46	5275	79872.41706161137	421327000	Bedouin (46)	MID
Palestinian	46	5502	78281.71573973101	430706000	Palestinian (46)	MID
Druze	42	5178	79069.13866357667	409420000	Druze (42)	MID
Russian	25	5009	83296.06707925734	417230000	Russian (25)	EUR
Balochi	24	5348	83252.24382946896	445233000	Balochi (24)	SAS
Brahui	25	5198	83963.44747979993	436442000	Brahui (25)	SAS
Makrani	25	5193	82959.94608126325	430811000	Makrani (25)	SAS
Kalash	22	3891	85339.24441017733	332055000	Kalash (22)	SAS
Pathan	24	5725	83494.3231441048	478005000	Pathan (24)	SAS
Sindhi	24	5620	83600.0	469832000	Sindhi (24)	SAS
Mozabite	27	3459	86723.33044232437	299976000	Mozabite (27)	MID
