chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	6742000	6849000	107000	0.92003	30	17	7	17	4	17	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	7864000	8041000	177000	0.9717	66	23	23	21	3	22	HGDP01306	HGDP	Altai	Neanderthal
chr10	8490000	8534000	44000	0.83085	23	15	15	15	0	15	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	9609000	9926000	317000	0.97237	101	55	43	54	20	46	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	12346000	12360000	14000	0.76989	6	4	3	4	0	3	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	13859000	13950000	91000	0.96916	33	13	11	11	4	13	HGDP01306	HGDP	Vindija	Neanderthal
chr10	16902000	16993000	91000	0.98145	36	10	7	8	4	10	HGDP01306	HGDP	Vindija	Neanderthal
chr10	17283000	17507000	224000	0.94981	67	29	26	25	2	29	HGDP01306	HGDP	Vindija	Neanderthal
chr10	18095000	18119000	24000	0.83126	9	5	3	0	0	4	HGDP01306	HGDP	Vindija	Neanderthal
chr10	20337000	20354000	17000	0.81072	7	3	2	3	0	2	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	23359000	23403000	44000	0.6886	9	4	3	4	1	3	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	24200000	24255000	55000	0.93587	28	13	7	8	6	12	HGDP01306	HGDP	Vindija	Neanderthal
chr10	24413000	24496000	83000	0.96603	30	21	20	20	3	21	HGDP01306	HGDP	Vindija	Neanderthal
chr10	27385000	28126000	741000	0.97394	220	86	63	62	19	64	HGDP01306	HGDP	Vindija	Neanderthal
chr10	29674000	29717000	43000	0.95498	25	12	12	12	0	12	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	29836000	29855000	19000	0.94534	11	5	3	5	1	5	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	30331000	30393000	62000	0.85613	20	6	1	6	1	3	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	34233000	34413000	180000	0.98323	62	32	22	32	4	20	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	43128000	43213000	85000	0.95833	25	12	8	12	0	12	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	44998000	45207000	209000	0.92809	47	11	11	11	2	11	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	61886000	62023000	137000	0.96539	38	21	18	17	1	21	HGDP01306	HGDP	Vindija	Neanderthal
chr10	62547000	62640000	93000	0.91668	26	11	11	11	0	11	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	62691000	62881000	190000	0.95025	56	23	21	23	6	21	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	62943000	63398000	455000	0.96206	114	47	35	45	1	37	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	63436000	63644000	208000	0.97762	51	21	17	19	1	15	HGDP01306	HGDP	Chagyrskaya	Neanderthal
chr10	64758000	64807000	49000	0.92497	21	13	12	11	0	13	HGDP01306	HGDP	Vindija	Neanderthal
chr10	66498000	66516000	18000	0.81909	8	3	3	3	0	3	HGDP01306	HGDP	AmbigNean	Neanderthal
chr10	66762000	67009000	247000	0.95815	69	28	16	25	3	27	HGDP01306	HGDP	Vindija	Neanderthal
chr10	67612000	67949000	337000	0.96634	67	26	15	22	2	26	HGDP01306	HGDP	Vindija	Neanderthal
chr10	67967000	68139000	172000	0.92337	34	13	5	10	0	13	HGDP01306	HGDP	Vindija	Neanderthal
chr10	68213000	68316000	103000	0.94109	39	22	21	22	9	21	HGDP01306	HGDP	Chagyrskaya	Neanderthal
