chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7339000	7389000	49000	0.95412	22	6	0	0	5	1	HGDP00810	HGDP	Denisova	Denisova
chr10	8221000	8322000	100000	0.93639	31	9	0	0	9	0	HGDP00810	HGDP	Denisova	Denisova
chr10	61799000	61843000	43000	0.92135	20	5	0	0	5	0	HGDP00810	HGDP	Denisova	Denisova
chr11	402000	445000	42000	0.89849	16	5	1	1	5	1	HGDP00810	HGDP	Denisova	Denisova
chr12	52256000	52294000	37000	0.94273	12	6	2	2	5	1	HGDP00810	HGDP	Denisova	Denisova
chr14	40003000	40056000	52000	0.93851	31	2	0	0	2	0	HGDP00810	HGDP	Denisova	Denisova
chr17	80023000	80036000	12000	0.73605	6	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr19	48029000	48044000	14000	0.65827	6	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr1	147259000	147363000	103000	0.90773	30	2	0	0	2	0	HGDP00810	HGDP	Denisova	Denisova
chr1	177321000	177458000	136000	0.97579	77	4	0	1	3	0	HGDP00810	HGDP	Denisova	Denisova
chr1	234901000	234981000	79000	0.92468	32	9	2	3	9	3	HGDP00810	HGDP	Denisova	Denisova
chr22	48506000	48532000	25000	0.80596	13	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr2	227157000	227177000	19000	0.87395	8	2	1	1	2	1	HGDP00810	HGDP	Denisova	Denisova
chr3	24667000	24778000	110000	0.94452	44	9	0	0	9	0	HGDP00810	HGDP	Denisova	Denisova
chr3	127469000	127494000	24000	0.79674	9	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr3	127774000	127805000	30000	0.82936	9	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr4	60008000	60032000	23000	0.9126	12	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr4	182481000	182554000	72000	0.91375	18	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr7	154238000	154281000	42000	0.82789	13	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr8	91110000	91226000	115000	0.95543	29	1	0	0	1	0	HGDP00810	HGDP	Denisova	Denisova
chr8	100508000	100580000	71000	0.90619	24	2	0	0	2	0	HGDP00810	HGDP	Denisova	Denisova
chr8	138932000	138963000	30000	0.88887	16	3	0	0	3	0	HGDP00810	HGDP	Denisova	Denisova
chr10	17305000	17390000	84000	0.96453	31	3	0	0	3	0	HGDP00799	HGDP	Denisova	Denisova
chr10	43728000	43783000	54000	0.90862	17	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr10	55424000	55468000	43000	0.95278	37	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr10	62015000	62070000	54000	0.93492	19	5	1	1	5	1	HGDP00799	HGDP	Denisova	Denisova
chr10	110275000	110443000	167000	0.89191	45	2	1	0	2	0	HGDP00799	HGDP	Denisova	Denisova
chr11	400000	443000	42000	0.90262	16	5	1	1	5	1	HGDP00799	HGDP	Denisova	Denisova
chr12	47052000	47070000	17000	0.52712	5	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr12	52274000	52286000	11000	0.53854	4	2	1	1	2	0	HGDP00799	HGDP	Denisova	Denisova
chr14	64550000	64598000	47000	0.94546	17	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr15	43314000	43395000	80000	0.865	20	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr17	80024000	80070000	45000	0.72745	12	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr18	47027000	47191000	163000	0.94851	58	2	0	0	2	0	HGDP00799	HGDP	Denisova	Denisova
chr19	48029000	48050000	20000	0.71825	7	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr1	30210000	30265000	54000	0.90247	29	13	9	9	11	9	HGDP00799	HGDP	Denisova	Denisova
chr1	57737000	57769000	31000	0.88269	13	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr20	50531000	50587000	55000	0.79594	13	4	0	0	4	0	HGDP00799	HGDP	Denisova	Denisova
chr22	27366000	27398000	31000	0.67967	10	1	0	0	1	0	HGDP00799	HGDP	Denisova	Denisova
chr22	48505000	48548000	42000	0.95895	22	7	2	2	7	2	HGDP00799	HGDP	Denisova	Denisova
chr2	46181000	46252000	70000	0.97508	35	14	0	0	14	0	HGDP00799	HGDP	Denisova	Denisova
chr2	67509000	67570000	60000	0.72797	21	3	0	0	3	0	HGDP00799	HGDP	Denisova	Denisova
chr2	70895000	70950000	54000	0.90023	21	6	1	1	5	1	HGDP00799	HGDP	Denisova	Denisova
