chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	8189000	8287000	97000	0.92702	34	9	6	6	9	6	HGDP01103	HGDP	Denisova	Denisova
chr10	10648000	10902000	253000	0.97578	91	21	7	7	21	7	HGDP01103	HGDP	Denisova	Denisova
chr10	18922000	19050000	127000	0.89871	73	6	0	0	6	0	HGDP01103	HGDP	Denisova	Denisova
chr11	2621000	2669000	47000	0.96615	27	12	9	9	12	9	HGDP01103	HGDP	Denisova	Denisova
chr11	115770000	115871000	100000	0.93621	41	1	0	0	1	0	HGDP01103	HGDP	Denisova	Denisova
chr11	120542000	120663000	120000	0.9296	29	6	2	1	5	1	HGDP01103	HGDP	Denisova	Denisova
chr11	134510000	134516000	5000	0.6374	5	1	0	0	1	0	HGDP01103	HGDP	Denisova	Denisova
chr12	556000	644000	87000	0.97633	34	16	3	2	16	2	HGDP01103	HGDP	Denisova	Denisova
chr12	8547000	8610000	62000	0.87773	17	7	3	3	5	3	HGDP01103	HGDP	Denisova	Denisova
chr12	24404000	24471000	66000	0.94862	35	9	2	2	9	2	HGDP01103	HGDP	Denisova	Denisova
chr12	47051000	47071000	19000	0.60087	6	1	0	0	1	0	HGDP01103	HGDP	Denisova	Denisova
chr12	102684000	102690000	5000	0.6519	5	4	1	0	3	1	HGDP01103	HGDP	Denisova	Denisova
chr13	23493000	23585000	91000	0.97458	44	6	0	0	6	0	HGDP01103	HGDP	Denisova	Denisova
chr13	66044000	66133000	88000	0.95361	32	14	2	2	14	2	HGDP01103	HGDP	Denisova	Denisova
chr13	79218000	79234000	15000	0.81808	9	3	2	2	3	2	HGDP01103	HGDP	Denisova	Denisova
chr13	92198000	92286000	87000	0.88736	29	4	0	0	4	0	HGDP01103	HGDP	Denisova	Denisova
chr13	113167000	113190000	22000	0.91308	17	5	2	2	5	2	HGDP01103	HGDP	Denisova	Denisova
chr13	113227000	113279000	51000	0.8279	16	2	1	1	2	1	HGDP01103	HGDP	Denisova	Denisova
chr14	25155000	25227000	71000	0.98156	24	5	0	0	5	0	HGDP01103	HGDP	Denisova	Denisova
chr14	25662000	25692000	29000	0.83243	13	3	0	0	3	0	HGDP01103	HGDP	Denisova	Denisova
