chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1780000	1829000	49000	0.97517	31	16	15	16	1	13	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	5561000	5596000	35000	0.9193	17	9	7	9	0	7	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	6214000	6262000	48000	0.89037	16	5	5	5	2	5	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	6713000	6855000	142000	0.93104	40	19	8	19	4	19	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	7006000	7127000	121000	0.89658	31	10	8	10	0	8	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	12200000	12310000	110000	0.96261	30	14	10	6	0	14	HGDP01217	HGDP	Vindija	Neanderthal
chr10	13266000	13426000	160000	0.94825	44	10	9	10	1	10	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	13683000	13698000	15000	0.85283	9	5	5	5	4	5	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	13785000	13809000	24000	0.90273	18	8	8	6	0	5	HGDP01217	HGDP	Altai	Neanderthal
chr10	21027000	21070000	43000	0.93552	13	6	6	6	1	2	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	24468000	24521000	53000	0.94679	16	10	8	8	2	10	HGDP01217	HGDP	Vindija	Neanderthal
chr10	26517000	26563000	46000	0.89687	14	6	6	6	1	5	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	26639000	27034000	395000	0.96456	98	31	26	30	6	31	HGDP01217	HGDP	Vindija	Neanderthal
chr10	27120000	27820000	700000	0.95044	157	61	54	53	4	56	HGDP01217	HGDP	Vindija	Neanderthal
chr10	28969000	28989000	20000	0.91593	9	7	3	4	2	7	HGDP01217	HGDP	Vindija	Neanderthal
chr10	29675000	29714000	39000	0.95217	23	13	13	13	0	13	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	29835000	29875000	40000	0.94286	19	10	4	10	2	10	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	36468000	36582000	114000	0.92602	38	21	0	21	0	21	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	44051000	44369000	318000	0.97566	161	64	55	55	29	62	HGDP01217	HGDP	Vindija	Neanderthal
chr10	61591000	61671000	80000	0.9125	28	11	11	11	4	11	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	62089000	62118000	29000	0.84167	9	6	3	3	0	6	HGDP01217	HGDP	Vindija	Neanderthal
chr10	62938000	63396000	458000	0.97774	119	48	35	46	1	38	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	63444000	63650000	206000	0.97917	51	21	17	19	1	15	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	65786000	66011000	225000	0.98488	79	35	35	31	9	22	HGDP01217	HGDP	Altai	Neanderthal
chr10	66220000	66455000	235000	0.98953	79	30	27	30	0	30	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	66765000	66866000	101000	0.92514	26	6	5	6	1	6	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	66927000	66996000	69000	0.95501	24	12	4	11	2	11	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	67380000	67920000	540000	0.97309	122	45	33	40	3	45	HGDP01217	HGDP	Vindija	Neanderthal
chr10	67991000	68576000	585000	0.96297	129	61	49	55	13	58	HGDP01217	HGDP	Vindija	Neanderthal
chr10	68633000	68650000	17000	0.59412	5	3	0	3	0	3	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	69314000	69380000	66000	0.93652	18	6	6	5	0	5	HGDP01217	HGDP	Altai	Neanderthal
chr10	69958000	70091000	133000	0.97946	44	21	19	15	2	21	HGDP01217	HGDP	Vindija	Neanderthal
chr10	70760000	70777000	17000	0.6777	8	3	0	3	0	0	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	71578000	71592000	14000	0.84863	9	5	5	5	4	5	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	78311000	78359000	48000	0.8412	13	6	5	6	1	5	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	82008000	82121000	113000	0.94068	34	7	5	7	0	7	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	84695000	84768000	73000	0.92843	19	4	4	3	0	4	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	85526000	85544000	18000	0.8828	9	4	4	4	0	4	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	86232000	86686000	454000	0.98333	145	56	28	44	2	56	HGDP01217	HGDP	Vindija	Neanderthal
chr10	88765000	88853000	88000	0.97315	53	13	13	13	4	13	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	89446000	89539000	93000	0.92866	27	10	10	10	0	10	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	89582000	89629000	47000	0.92473	17	5	0	5	0	1	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	90318000	90579000	261000	0.98898	88	31	31	31	10	29	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	108140000	108414000	274000	0.97627	104	53	53	45	0	50	HGDP01217	HGDP	Altai	Neanderthal
chr10	109537000	109592000	55000	0.95348	18	6	3	5	1	6	HGDP01217	HGDP	Vindija	Neanderthal
chr10	119365000	119450000	85000	0.88864	23	8	4	8	1	7	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	121377000	121402000	25000	0.85051	9	3	3	3	1	3	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	121747000	121803000	56000	0.94312	22	1	0	0	0	1	HGDP01217	HGDP	Vindija	Neanderthal
chr10	122141000	122179000	38000	0.9165	15	7	6	7	0	7	HGDP01217	HGDP	AmbigNean	Neanderthal
chr10	123895000	124134000	239000	0.94255	69	21	15	21	6	19	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr10	126203000	126227000	24000	0.93084	14	6	6	4	1	4	HGDP01217	HGDP	Altai	Neanderthal
chr10	129802000	129833000	31000	0.93271	14	8	8	2	0	3	HGDP01217	HGDP	Altai	Neanderthal
chr10	132134000	132153000	19000	0.95117	11	3	3	3	0	3	HGDP01217	HGDP	AmbigNean	Neanderthal
chr11	11487000	11535000	48000	0.95824	24	11	10	11	0	11	HGDP01217	HGDP	AmbigNean	Neanderthal
chr11	19453000	19485000	32000	0.88703	11	1	1	0	0	0	HGDP01217	HGDP	Altai	Neanderthal
chr11	20127000	20226000	99000	0.88015	35	14	13	14	6	13	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr11	20288000	20525000	237000	0.97266	67	23	13	22	2	15	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr11	21199000	21230000	31000	0.85642	10	1	0	0	0	1	HGDP01217	HGDP	Vindija	Neanderthal
chr11	21630000	21982000	352000	0.98737	176	74	68	65	0	64	HGDP01217	HGDP	Altai	Neanderthal
chr11	23228000	23274000	46000	0.89203	14	8	5	8	0	6	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr11	23434000	23554000	120000	0.92404	35	17	15	17	7	15	HGDP01217	HGDP	Chagyrskaya	Neanderthal
chr11	24821000	24874000	53000	0.86412	18	8	8	8	0	8	HGDP01217	HGDP	AmbigNean	Neanderthal
chr11	26743000	26762000	19000	0.75788	7	5	3	4	0	5	HGDP01217	HGDP	Vindija	Neanderthal
chr11	26786000	26894000	108000	0.90432	33	14	0	12	0	14	HGDP01217	HGDP	Vindija	Neanderthal
chr11	35542000	35613000	71000	0.97184	24	5	5	5	0	5	HGDP01217	HGDP	AmbigNean	Neanderthal
chr11	36032000	36125000	93000	0.95362	38	13	13	13	9	13	HGDP01217	HGDP	AmbigNean	Neanderthal
chr11	37098000	37122000	24000	0.75014	9	3	0	1	0	3	HGDP01217	HGDP	Vindija	Neanderthal
