chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	19434000	19513000	79000	0.95287	35	7	0	0	7	0	HGDP00855	HGDP	Denisova	Denisova
chr10	112827000	112923000	96000	0.90745	35	10	5	5	10	5	HGDP00855	HGDP	Denisova	Denisova
chr11	36044000	36121000	77000	0.94685	25	9	7	7	8	7	HGDP00855	HGDP	Denisova	Denisova
chr11	36392000	36443000	51000	0.96525	21	15	3	3	15	3	HGDP00855	HGDP	Denisova	Denisova
chr12	114222000	114250000	28000	0.8087	9	2	0	0	2	0	HGDP00855	HGDP	Denisova	Denisova
chr13	23478000	23615000	137000	0.99185	71	10	3	0	10	0	HGDP00855	HGDP	Denisova	Denisova
chr13	51689000	51774000	85000	0.87493	28	4	0	0	4	0	HGDP00855	HGDP	Denisova	Denisova
chr13	70979000	71152000	173000	0.98657	57	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr13	110998000	111067000	69000	0.95452	25	8	1	1	7	1	HGDP00855	HGDP	Denisova	Denisova
chr13	113266000	113303000	37000	0.837	14	5	3	3	5	3	HGDP00855	HGDP	Denisova	Denisova
chr13	114040000	114339000	299000	0.98884	134	44	2	2	42	3	HGDP00855	HGDP	Denisova	Denisova
chr14	98279000	98470000	191000	0.95883	95	47	9	7	47	6	HGDP00855	HGDP	Denisova	Denisova
chr15	27043000	27062000	19000	0.726	9	3	2	2	3	2	HGDP00855	HGDP	Denisova	Denisova
chr16	17218000	17233000	15000	0.86724	11	4	0	1	4	1	HGDP00855	HGDP	Denisova	Denisova
chr16	21236000	21278000	42000	0.86006	12	5	2	2	5	2	HGDP00855	HGDP	Denisova	Denisova
chr16	22272000	22461000	189000	0.92904	52	19	0	0	19	0	HGDP00855	HGDP	Denisova	Denisova
chr17	7134000	7148000	14000	0.6932	5	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr17	49896000	49916000	20000	0.88424	9	4	2	2	4	2	HGDP00855	HGDP	Denisova	Denisova
chr17	58227000	58329000	102000	0.83299	19	2	1	1	2	1	HGDP00855	HGDP	Denisova	Denisova
chr17	66241000	66276000	35000	0.86953	18	10	0	1	10	1	HGDP00855	HGDP	Denisova	Denisova
chr17	79839000	79889000	50000	0.91227	20	6	0	0	6	0	HGDP00855	HGDP	Denisova	Denisova
chr17	80024000	80073000	49000	0.77389	13	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr1	9275000	9295000	20000	0.85894	9	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr1	30736000	30784000	48000	0.90343	15	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr1	57100000	57314000	214000	0.98476	111	64	20	17	60	21	HGDP00855	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.92661	10	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr1	61557000	61645000	88000	0.93534	31	11	4	5	11	4	HGDP00855	HGDP	Denisova	Denisova
chr20	50294000	50321000	27000	0.83503	11	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr20	62063000	62075000	12000	0.51682	5	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr2	11646000	11686000	40000	0.94886	22	7	3	3	5	3	HGDP00855	HGDP	Denisova	Denisova
chr2	67546000	67569000	23000	0.82678	12	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr2	227195000	227455000	260000	0.92466	93	31	10	10	30	11	HGDP00855	HGDP	Denisova	Denisova
chr2	232602000	232682000	80000	0.89788	17	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr3	14272000	14317000	45000	0.90918	16	2	1	1	2	1	HGDP00855	HGDP	Denisova	Denisova
chr3	125455000	125591000	136000	0.85868	49	15	0	0	15	0	HGDP00855	HGDP	Denisova	Denisova
chr4	3412000	3426000	14000	0.79336	7	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr4	59455000	59587000	132000	0.97943	49	14	3	3	14	3	HGDP00855	HGDP	Denisova	Denisova
chr4	113075000	113099000	24000	0.9251	10	2	1	1	2	1	HGDP00855	HGDP	Denisova	Denisova
chr4	142549000	142562000	13000	0.86572	8	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr4	161417000	161460000	43000	0.86235	12	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr4	185818000	185841000	23000	0.92039	12	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr5	96642000	97149000	507000	0.98821	176	59	20	15	48	20	HGDP00855	HGDP	Denisova	Denisova
chr5	122316000	122369000	53000	0.74543	13	4	0	0	4	0	HGDP00855	HGDP	Denisova	Denisova
chr6	119074000	119108000	34000	0.90317	11	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr6	135217000	135236000	19000	0.78427	7	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr7	14012000	14103000	91000	0.9572	46	15	1	1	15	0	HGDP00855	HGDP	Denisova	Denisova
chr7	80792000	80826000	34000	0.89244	18	6	0	0	6	0	HGDP00855	HGDP	Denisova	Denisova
chr8	129631000	129671000	40000	0.89133	14	3	0	0	3	0	HGDP00855	HGDP	Denisova	Denisova
chr8	138866000	138962000	96000	0.98435	44	10	7	5	8	5	HGDP00855	HGDP	Denisova	Denisova
chr9	2149000	2155000	6000	0.71287	6	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr9	109793000	109871000	78000	0.91811	31	15	12	13	14	13	HGDP00855	HGDP	Denisova	Denisova
chr9	112516000	112623000	107000	0.95891	31	14	0	4	6	5	HGDP00855	HGDP	Denisova	Denisova
chrX	45227000	45259000	32000	0.92826	14	1	0	0	1	0	HGDP00855	HGDP	Denisova	Denisova
chr10	6006000	6181000	175000	0.96326	89	12	5	4	11	5	HGDP00863	HGDP	Denisova	Denisova
chr10	7197000	7270000	73000	0.93153	39	10	0	0	10	0	HGDP00863	HGDP	Denisova	Denisova
chr10	10535000	10587000	52000	0.91067	15	6	0	0	6	0	HGDP00863	HGDP	Denisova	Denisova
chr10	19434000	19509000	75000	0.96086	33	7	0	0	7	0	HGDP00863	HGDP	Denisova	Denisova
chr10	61800000	61840000	40000	0.94329	20	5	0	0	5	0	HGDP00863	HGDP	Denisova	Denisova
chr11	2621000	2806000	185000	0.86813	69	34	20	20	34	20	HGDP00863	HGDP	Denisova	Denisova
chr12	52256000	52291000	35000	0.81407	10	5	2	2	5	0	HGDP00863	HGDP	Denisova	Denisova
chr14	36094000	36207000	113000	0.90708	25	1	0	0	1	0	HGDP00863	HGDP	Denisova	Denisova
