chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7860000	8046000	186000	0.97825	67	21	4	4	21	4	HGDP01149	HGDP	Denisova	Denisova
chr11	4118000	4206000	88000	0.88923	19	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr12	115897000	115929000	32000	0.86109	14	2	1	1	2	1	HGDP01149	HGDP	Denisova	Denisova
chr16	56850000	56906000	56000	0.80327	12	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr1	13688000	13797000	109000	0.95662	33	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr1	57749000	57768000	19000	0.91487	10	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr1	234960000	234980000	20000	0.86889	9	4	2	3	4	3	HGDP01149	HGDP	Denisova	Denisova
chr22	48528000	48547000	19000	0.93898	13	4	2	2	4	2	HGDP01149	HGDP	Denisova	Denisova
chr2	67531000	67570000	39000	0.84628	16	3	0	0	3	0	HGDP01149	HGDP	Denisova	Denisova
chr2	227203000	227229000	26000	0.88824	10	5	0	0	5	0	HGDP01149	HGDP	Denisova	Denisova
chr2	227272000	227403000	131000	0.9599	37	9	0	0	8	1	HGDP01149	HGDP	Denisova	Denisova
chr3	2576000	2622000	46000	0.9623	30	20	19	19	20	19	HGDP01149	HGDP	Denisova	Denisova
chr3	24435000	24494000	59000	0.94857	23	5	0	0	5	0	HGDP01149	HGDP	Denisova	Denisova
chr3	69965000	70022000	57000	0.78791	12	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr3	127477000	127515000	38000	0.71123	12	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr4	57216000	57253000	37000	0.89422	13	5	0	2	5	2	HGDP01149	HGDP	Denisova	Denisova
chr6	44554000	44627000	73000	0.92986	20	4	2	1	3	1	HGDP01149	HGDP	Denisova	Denisova
chr6	151604000	151662000	58000	0.84859	15	5	4	3	5	4	HGDP01149	HGDP	Denisova	Denisova
chr7	36075000	36162000	87000	0.95924	34	11	7	7	11	7	HGDP01149	HGDP	Denisova	Denisova
chr8	55953000	55999000	46000	0.92208	18	2	0	0	2	0	HGDP01149	HGDP	Denisova	Denisova
chr8	116459000	116499000	40000	0.8306	13	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr8	129604000	129672000	68000	0.91715	21	3	0	0	3	0	HGDP01149	HGDP	Denisova	Denisova
chr8	138882000	138962000	80000	0.9621	28	5	2	0	3	0	HGDP01149	HGDP	Denisova	Denisova
chr9	22002000	22067000	65000	0.95111	30	1	0	0	1	0	HGDP01149	HGDP	Denisova	Denisova
chr9	112472000	112637000	165000	0.93954	46	19	0	4	11	5	HGDP01149	HGDP	Denisova	Denisova
chr9	130138000	130143000	5000	0.64144	5	2	0	0	2	0	HGDP01149	HGDP	Denisova	Denisova
chr10	7206000	7211000	5000	0.63941	5	1	0	0	1	0	HGDP01177	HGDP	Denisova	Denisova
chr10	8094000	8321000	227000	0.94277	85	26	14	14	26	14	HGDP01177	HGDP	Denisova	Denisova
chr10	55422000	55482000	60000	0.88656	39	1	0	0	1	0	HGDP01177	HGDP	Denisova	Denisova
chr10	129895000	129921000	26000	0.88873	10	3	1	1	3	1	HGDP01177	HGDP	Denisova	Denisova
chr11	118102000	118137000	35000	0.91638	17	4	0	0	4	0	HGDP01177	HGDP	Denisova	Denisova
chr11	120211000	120242000	31000	0.72953	8	3	0	0	3	0	HGDP01177	HGDP	Denisova	Denisova
chr12	115897000	115946000	49000	0.87616	18	2	1	1	2	1	HGDP01177	HGDP	Denisova	Denisova
