chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	43743000	43783000	39000	0.8865	12	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr10	55423000	55483000	59000	0.86707	37	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr11	134511000	134514000	2000	0.50865	4	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr12	130121000	130150000	28000	0.90648	18	2	0	0	2	0	HGDP01152	HGDP	Denisova	Denisova
chr16	19990000	20030000	39000	0.83107	12	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr17	80024000	80045000	20000	0.78675	8	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr18	8846000	8921000	74000	0.89832	19	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr19	48023000	48036000	12000	0.61118	5	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr1	147257000	147359000	101000	0.95938	31	2	0	0	2	0	HGDP01152	HGDP	Denisova	Denisova
chr1	161656000	161795000	138000	0.78168	23	1	0	0	1	0	HGDP01152	HGDP	Denisova	Denisova
chr2	171667000	172001000	333000	0.96822	102	3	0	0	3	0	HGDP01152	HGDP	Denisova	Denisova
chr2	227583000	227644000	60000	0.91538	28	8	2	2	8	2	HGDP01152	HGDP	Denisova	Denisova
chr3	24425000	24499000	73000	0.97917	30	5	0	0	5	0	HGDP01152	HGDP	Denisova	Denisova
chr3	55903000	55974000	70000	0.94971	19	2	0	0	2	0	HGDP01152	HGDP	Denisova	Denisova
chr4	59539000	59597000	57000	0.90912	16	4	0	0	4	0	HGDP01152	HGDP	Denisova	Denisova
chr6	11092000	11239000	146000	0.98525	53	17	5	5	13	5	HGDP01152	HGDP	Denisova	Denisova
chr6	51242000	51272000	29000	0.77205	11	3	0	0	3	0	HGDP01152	HGDP	Denisova	Denisova
