chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5953000	6018000	65000	0.95034	21	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr10	61800000	61839000	39000	0.9252	18	5	0	0	5	0	HGDP01233	HGDP	Denisova	Denisova
chr10	128870000	128895000	25000	0.94316	17	4	3	3	4	3	HGDP01233	HGDP	Denisova	Denisova
chr11	2724000	2803000	79000	0.86295	29	10	6	6	10	6	HGDP01233	HGDP	Denisova	Denisova
chr11	21493000	21892000	399000	0.97887	145	40	14	14	27	15	HGDP01233	HGDP	Denisova	Denisova
chr11	40488000	40581000	93000	0.84543	21	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr11	80633000	80650000	17000	0.80207	7	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr11	115796000	115872000	76000	0.94351	25	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr11	123591000	123633000	42000	0.93891	17	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr11	134497000	134518000	21000	0.66109	7	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr12	566000	654000	88000	0.95875	29	15	3	2	15	2	HGDP01233	HGDP	Denisova	Denisova
chr12	8532000	8601000	69000	0.96128	31	9	4	4	7	4	HGDP01233	HGDP	Denisova	Denisova
chr12	8883000	8899000	16000	0.57578	5	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr13	72200000	72386000	186000	0.98772	74	29	8	10	27	8	HGDP01233	HGDP	Denisova	Denisova
chr13	72872000	72923000	51000	0.75442	11	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr13	72944000	73051000	107000	0.95257	28	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr13	112805000	112858000	53000	0.95681	22	6	0	0	6	0	HGDP01233	HGDP	Denisova	Denisova
chr13	113164000	113189000	25000	0.92326	17	5	2	2	5	2	HGDP01233	HGDP	Denisova	Denisova
chr13	113227000	113276000	49000	0.8222	15	2	1	1	2	1	HGDP01233	HGDP	Denisova	Denisova
chr14	33618000	33650000	32000	0.86344	16	8	0	4	8	4	HGDP01233	HGDP	Denisova	Denisova
chr14	98186000	98292000	106000	0.97397	46	7	5	5	7	5	HGDP01233	HGDP	Denisova	Denisova
chr15	26909000	26942000	33000	0.85904	15	3	1	1	3	1	HGDP01233	HGDP	Denisova	Denisova
chr15	26967000	26975000	8000	0.68981	6	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr16	144000	149000	5000	0.52661	4	2	0	0	2	0	HGDP01233	HGDP	Denisova	Denisova
chr16	218000	278000	60000	0.93231	21	7	0	0	7	0	HGDP01233	HGDP	Denisova	Denisova
chr17	80024000	80034000	10000	0.72253	6	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr18	8843000	8920000	77000	0.87307	18	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr18	51444000	51456000	12000	0.72679	6	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr1	10696000	10714000	18000	0.88343	11	6	0	0	6	0	HGDP01233	HGDP	Denisova	Denisova
chr1	30179000	30264000	85000	0.93663	39	16	10	10	14	10	HGDP01233	HGDP	Denisova	Denisova
chr1	30463000	30518000	55000	0.77214	13	4	3	3	4	3	HGDP01233	HGDP	Denisova	Denisova
chr1	47404000	47474000	70000	0.96529	22	11	1	1	11	1	HGDP01233	HGDP	Denisova	Denisova
chr1	47592000	47637000	45000	0.88657	16	10	0	0	10	0	HGDP01233	HGDP	Denisova	Denisova
chr1	57122000	57327000	205000	0.96556	106	51	16	17	51	17	HGDP01233	HGDP	Denisova	Denisova
chr1	61583000	61635000	52000	0.91448	16	3	2	2	3	2	HGDP01233	HGDP	Denisova	Denisova
chr1	91214000	91405000	191000	0.97343	46	23	0	0	23	0	HGDP01233	HGDP	Denisova	Denisova
chr1	228468000	228575000	107000	0.88174	35	10	0	0	10	0	HGDP01233	HGDP	Denisova	Denisova
chr21	17477000	17574000	97000	0.94941	26	9	3	3	9	3	HGDP01233	HGDP	Denisova	Denisova
chr22	48588000	48607000	19000	0.86124	20	3	1	1	3	1	HGDP01233	HGDP	Denisova	Denisova
chr22	48697000	48779000	82000	0.95222	38	10	1	1	10	1	HGDP01233	HGDP	Denisova	Denisova
chr2	39796000	39855000	59000	0.94672	22	9	7	7	9	7	HGDP01233	HGDP	Denisova	Denisova
chr2	46009000	46070000	61000	0.93153	22	3	0	0	3	0	HGDP01233	HGDP	Denisova	Denisova
chr2	232689000	232944000	255000	0.95396	60	11	2	2	11	2	HGDP01233	HGDP	Denisova	Denisova
chr3	3215000	3280000	65000	0.95848	50	13	4	3	9	3	HGDP01233	HGDP	Denisova	Denisova
chr3	73916000	74065000	149000	0.98919	58	13	2	2	13	2	HGDP01233	HGDP	Denisova	Denisova
chr4	2350000	2408000	58000	0.93586	26	15	0	0	15	0	HGDP01233	HGDP	Denisova	Denisova
chr4	3678000	3707000	29000	0.92665	16	4	2	1	4	1	HGDP01233	HGDP	Denisova	Denisova
chr4	37603000	37663000	60000	0.94146	24	5	2	2	5	2	HGDP01233	HGDP	Denisova	Denisova
chr4	60780000	60817000	37000	0.88245	15	3	0	0	3	0	HGDP01233	HGDP	Denisova	Denisova
chr4	77349000	77416000	67000	0.94297	25	3	2	2	3	2	HGDP01233	HGDP	Denisova	Denisova
chr4	182454000	182550000	96000	0.96029	26	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr5	22657000	22810000	153000	0.98337	91	50	23	23	50	23	HGDP01233	HGDP	Denisova	Denisova
chr5	67805000	67826000	21000	0.79181	7	3	0	0	3	0	HGDP01233	HGDP	Denisova	Denisova
chr5	73935000	74064000	129000	0.89275	34	16	3	3	16	3	HGDP01233	HGDP	Denisova	Denisova
chr5	121852000	122086000	234000	0.99009	118	62	42	42	62	42	HGDP01233	HGDP	Denisova	Denisova
chr5	142691000	142854000	163000	0.94569	57	19	4	4	19	4	HGDP01233	HGDP	Denisova	Denisova
chr5	153428000	153449000	21000	0.60409	6	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr6	76861000	77067000	206000	0.98743	69	10	0	2	8	0	HGDP01233	HGDP	Denisova	Denisova
chr6	143776000	143841000	65000	0.93402	16	5	3	3	5	2	HGDP01233	HGDP	Denisova	Denisova
chr6	150680000	150782000	102000	0.95324	31	9	3	1	6	1	HGDP01233	HGDP	Denisova	Denisova
chr6	155331000	155417000	86000	0.93462	28	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr7	13758000	13923000	165000	0.98261	65	11	4	4	11	4	HGDP01233	HGDP	Denisova	Denisova
chr7	14101000	14136000	35000	0.96239	19	4	0	0	4	0	HGDP01233	HGDP	Denisova	Denisova
chr7	33297000	33489000	192000	0.91725	58	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr7	36065000	36162000	97000	0.94288	39	12	7	7	12	7	HGDP01233	HGDP	Denisova	Denisova
chr7	125352000	125475000	123000	0.93895	47	23	0	0	23	0	HGDP01233	HGDP	Denisova	Denisova
chr8	8512000	8536000	24000	0.80657	9	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr8	102819000	102908000	89000	0.97074	26	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr8	116462000	116493000	31000	0.92875	24	6	0	0	6	0	HGDP01233	HGDP	Denisova	Denisova
chr9	106302000	106372000	70000	0.91117	26	1	0	0	1	0	HGDP01233	HGDP	Denisova	Denisova
chr9	109792000	109844000	52000	0.9178	25	10	8	8	10	8	HGDP01233	HGDP	Denisova	Denisova
chr10	26730000	26843000	113000	0.91072	37	4	2	2	4	2	HGDP01240	HGDP	Denisova	Denisova
chr10	61799000	61838000	39000	0.94179	20	5	0	0	5	0	HGDP01240	HGDP	Denisova	Denisova
chr10	128511000	128659000	148000	0.98079	68	25	2	2	25	2	HGDP01240	HGDP	Denisova	Denisova
chr10	128834000	128894000	60000	0.92444	18	3	1	2	3	2	HGDP01240	HGDP	Denisova	Denisova
chr11	2606000	2718000	112000	0.97644	64	30	20	20	30	20	HGDP01240	HGDP	Denisova	Denisova
chr11	113939000	113998000	59000	0.90785	16	3	1	1	3	1	HGDP01240	HGDP	Denisova	Denisova
chr11	117837000	117936000	99000	0.97129	90	46	6	2	41	8	HGDP01240	HGDP	Denisova	Denisova
chr11	134506000	134529000	23000	0.62811	8	1	0	0	1	0	HGDP01240	HGDP	Denisova	Denisova
chr12	8613000	8797000	184000	0.96819	40	14	2	2	14	2	HGDP01240	HGDP	Denisova	Denisova
chr12	47043000	47072000	29000	0.84714	9	1	0	0	1	0	HGDP01240	HGDP	Denisova	Denisova
chr12	52257000	52284000	27000	0.64026	9	4	1	1	4	0	HGDP01240	HGDP	Denisova	Denisova
