chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	52782000	52923000	140000	0.89624	35	12	9	8	12	8	HGDP00708	HGDP	Denisova	Denisova
chr11	404000	502000	97000	0.86122	24	9	5	5	6	5	HGDP00708	HGDP	Denisova	Denisova
chr11	36044000	36075000	30000	0.94458	25	9	6	6	9	6	HGDP00708	HGDP	Denisova	Denisova
chr11	36393000	36402000	8000	0.71398	5	4	0	0	4	0	HGDP00708	HGDP	Denisova	Denisova
chr11	96148000	96246000	97000	0.94097	35	7	0	0	7	0	HGDP00708	HGDP	Denisova	Denisova
chr12	114222000	114317000	94000	0.83718	23	3	1	1	3	1	HGDP00708	HGDP	Denisova	Denisova
chr13	23478000	23624000	145000	0.97428	72	10	3	0	10	0	HGDP00708	HGDP	Denisova	Denisova
chr13	71219000	71274000	54000	0.94571	22	3	0	0	3	0	HGDP00708	HGDP	Denisova	Denisova
chr13	79219000	79239000	19000	0.81482	9	3	2	2	3	2	HGDP00708	HGDP	Denisova	Denisova
chr13	85795000	86017000	221000	0.98539	102	35	5	5	35	5	HGDP00708	HGDP	Denisova	Denisova
chr13	111001000	111132000	130000	0.96126	51	11	2	2	10	2	HGDP00708	HGDP	Denisova	Denisova
chr13	113143000	113191000	47000	0.93446	22	4	1	1	4	1	HGDP00708	HGDP	Denisova	Denisova
chr14	36095000	36209000	113000	0.90528	25	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr15	26666000	26721000	54000	0.92508	21	7	0	0	7	0	HGDP00708	HGDP	Denisova	Denisova
chr15	98214000	98281000	66000	0.94785	34	15	0	0	15	0	HGDP00708	HGDP	Denisova	Denisova
chr15	100266000	100328000	61000	0.9816	37	11	3	3	11	3	HGDP00708	HGDP	Denisova	Denisova
chr16	7994000	8011000	16000	0.8681	9	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr16	21243000	21280000	36000	0.91133	12	5	2	2	5	2	HGDP00708	HGDP	Denisova	Denisova
chr16	22272000	22462000	189000	0.93109	53	20	0	0	20	0	HGDP00708	HGDP	Denisova	Denisova
chr17	12457000	12475000	17000	0.86015	10	4	0	0	4	0	HGDP00708	HGDP	Denisova	Denisova
chr17	14050000	14210000	159000	0.87505	49	20	12	12	20	12	HGDP00708	HGDP	Denisova	Denisova
chr17	53660000	53681000	20000	0.88999	9	4	0	0	4	0	HGDP00708	HGDP	Denisova	Denisova
chr17	66237000	66282000	44000	0.81181	17	10	0	1	10	1	HGDP00708	HGDP	Denisova	Denisova
chr17	79844000	79888000	43000	0.93629	20	6	0	0	6	0	HGDP00708	HGDP	Denisova	Denisova
chr1	30226000	30265000	38000	0.94424	27	12	9	9	10	9	HGDP00708	HGDP	Denisova	Denisova
chr1	47544000	47580000	35000	0.91319	14	7	0	0	7	0	HGDP00708	HGDP	Denisova	Denisova
chr1	48016000	48057000	40000	0.91917	22	11	4	4	11	4	HGDP00708	HGDP	Denisova	Denisova
chr1	57750000	57769000	18000	0.93123	10	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr1	61451000	61646000	194000	0.98003	61	22	6	7	22	6	HGDP00708	HGDP	Denisova	Denisova
chr1	167612000	167666000	53000	0.82101	20	7	3	3	7	3	HGDP00708	HGDP	Denisova	Denisova
chr1	234750000	234788000	37000	0.77983	9	3	1	1	3	1	HGDP00708	HGDP	Denisova	Denisova
chr20	62061000	62076000	14000	0.61997	6	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr21	16915000	17092000	176000	0.97444	68	30	15	15	23	16	HGDP00708	HGDP	Denisova	Denisova
chr21	30194000	30207000	12000	0.78269	6	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr2	11647000	11688000	40000	0.94203	24	7	3	3	5	3	HGDP00708	HGDP	Denisova	Denisova
chr2	11960000	11989000	28000	0.90985	11	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr2	67545000	67571000	25000	0.84217	13	3	0	0	3	0	HGDP00708	HGDP	Denisova	Denisova
chr2	188768000	188850000	81000	0.87208	22	2	0	0	2	0	HGDP00708	HGDP	Denisova	Denisova
chr2	227156000	227200000	43000	0.93013	13	3	1	1	3	1	HGDP00708	HGDP	Denisova	Denisova
chr2	227385000	227598000	212000	0.98161	76	22	14	14	22	14	HGDP00708	HGDP	Denisova	Denisova
chr3	2597000	2644000	46000	0.9688	25	11	8	8	11	8	HGDP00708	HGDP	Denisova	Denisova
chr3	14266000	14297000	30000	0.86533	12	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr3	105901000	105990000	88000	0.95036	27	8	0	0	8	0	HGDP00708	HGDP	Denisova	Denisova
chr3	127473000	127491000	17000	0.88475	10	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr4	26038000	26129000	90000	0.96085	28	7	4	4	7	4	HGDP00708	HGDP	Denisova	Denisova
chr4	33650000	34359000	708000	0.9793	200	37	5	4	37	5	HGDP00708	HGDP	Denisova	Denisova
chr4	59454000	59498000	43000	0.9436	19	4	3	3	4	3	HGDP00708	HGDP	Denisova	Denisova
chr4	142519000	142938000	418000	0.98884	163	40	4	4	40	4	HGDP00708	HGDP	Denisova	Denisova
chr4	167935000	168037000	101000	0.91459	38	5	0	0	5	0	HGDP00708	HGDP	Denisova	Denisova
chr5	86869000	86911000	41000	0.87336	11	4	0	0	4	0	HGDP00708	HGDP	Denisova	Denisova
chr5	122342000	122369000	26000	0.81672	8	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr6	40688000	40742000	53000	0.88275	35	10	0	0	10	0	HGDP00708	HGDP	Denisova	Denisova
chr6	91654000	91727000	72000	0.96572	23	2	0	0	2	0	HGDP00708	HGDP	Denisova	Denisova
chr6	119074000	119109000	34000	0.91169	13	3	0	0	3	0	HGDP00708	HGDP	Denisova	Denisova
chr6	138751000	138876000	124000	0.96743	28	5	2	2	5	2	HGDP00708	HGDP	Denisova	Denisova
chr7	125577000	125832000	254000	0.99057	112	53	13	13	53	17	HGDP00708	HGDP	Denisova	Denisova
chr7	145430000	145444000	13000	0.8538	7	4	1	1	4	1	HGDP00708	HGDP	Denisova	Denisova
chr7	147622000	147659000	36000	0.93107	23	3	0	0	3	0	HGDP00708	HGDP	Denisova	Denisova
chr8	17562000	17591000	28000	0.88544	28	12	10	2	12	2	HGDP00708	HGDP	Denisova	Denisova
chr8	26212000	26423000	210000	0.94264	56	7	4	4	7	4	HGDP00708	HGDP	Denisova	Denisova
chr8	41366000	41503000	136000	0.96582	37	2	1	1	2	1	HGDP00708	HGDP	Denisova	Denisova
chr8	138877000	138963000	85000	0.95003	31	5	2	0	3	0	HGDP00708	HGDP	Denisova	Denisova
chr9	13461000	13507000	45000	0.96103	18	6	2	2	6	2	HGDP00708	HGDP	Denisova	Denisova
chr9	104945000	104985000	39000	0.63238	8	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr9	106311000	106388000	76000	0.93113	25	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr9	112365000	112384000	18000	0.73746	7	2	0	0	2	0	HGDP00708	HGDP	Denisova	Denisova
chrX	45228000	45261000	32000	0.88867	11	1	0	0	1	0	HGDP00708	HGDP	Denisova	Denisova
chr10	7207000	7389000	181000	0.99111	80	22	0	1	21	2	HGDP00702	HGDP	Denisova	Denisova
chr10	19434000	19510000	75000	0.95956	31	7	0	0	7	0	HGDP00702	HGDP	Denisova	Denisova
chr10	112986000	113065000	78000	0.9587	27	11	1	0	11	0	HGDP00702	HGDP	Denisova	Denisova
chr11	349000	504000	154000	0.90588	44	15	11	11	12	11	HGDP00702	HGDP	Denisova	Denisova
chr11	36044000	36119000	74000	0.94923	35	12	9	9	11	9	HGDP00702	HGDP	Denisova	Denisova
chr11	36391000	36445000	53000	0.95482	20	15	3	3	15	3	HGDP00702	HGDP	Denisova	Denisova
chr11	134511000	134517000	5000	0.56286	5	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr12	52256000	52290000	33000	0.92892	12	5	2	2	5	0	HGDP00702	HGDP	Denisova	Denisova
chr12	114200000	114247000	46000	0.92009	16	2	0	0	2	0	HGDP00702	HGDP	Denisova	Denisova
chr13	114041000	114340000	298000	0.99723	137	43	2	2	42	2	HGDP00702	HGDP	Denisova	Denisova
chr14	36095000	36212000	116000	0.89523	25	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr15	26667000	26710000	42000	0.94673	18	7	0	0	7	0	HGDP00702	HGDP	Denisova	Denisova
chr15	26915000	26929000	13000	0.84298	8	2	1	1	2	1	HGDP00702	HGDP	Denisova	Denisova
chr15	27031000	27064000	32000	0.78945	12	3	2	2	3	2	HGDP00702	HGDP	Denisova	Denisova
chr15	62853000	62926000	72000	0.94729	33	9	5	4	7	5	HGDP00702	HGDP	Denisova	Denisova
chr16	62737000	62828000	90000	0.94578	27	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr17	7133000	7150000	16000	0.70811	5	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr17	49860000	49899000	38000	0.85769	12	8	4	4	8	4	HGDP00702	HGDP	Denisova	Denisova
chr17	66246000	66277000	30000	0.85478	16	10	0	1	10	1	HGDP00702	HGDP	Denisova	Denisova
chr17	79844000	79882000	37000	0.95567	16	6	0	0	6	0	HGDP00702	HGDP	Denisova	Denisova
chr17	80024000	80048000	23000	0.74443	8	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr18	8839000	8930000	90000	0.9176	22	3	2	2	3	2	HGDP00702	HGDP	Denisova	Denisova
chr18	51138000	51164000	25000	0.82528	8	5	0	0	5	0	HGDP00702	HGDP	Denisova	Denisova
chr19	48030000	48035000	4000	0.5269	4	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr1	9274000	9296000	21000	0.83326	9	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr1	30183000	30259000	75000	0.9743	34	16	10	10	14	10	HGDP00702	HGDP	Denisova	Denisova
chr1	47539000	47580000	40000	0.88014	13	7	0	0	7	0	HGDP00702	HGDP	Denisova	Denisova
chr1	57738000	57769000	30000	0.79729	12	1	0	0	1	0	HGDP00702	HGDP	Denisova	Denisova
chr1	61448000	61651000	202000	0.96172	60	22	6	7	22	6	HGDP00702	HGDP	Denisova	Denisova
