chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	8149000	8255000	105000	0.97282	39	13	9	9	13	9	HGDP01162	HGDP	Denisova	Denisova
chr10	13160000	13240000	79000	0.97076	26	10	1	0	10	0	HGDP01162	HGDP	Denisova	Denisova
chr10	55426000	55431000	4000	0.58395	5	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr10	110194000	110258000	63000	0.85493	20	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr11	4115000	4198000	82000	0.82694	17	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr12	52263000	52291000	27000	0.83348	9	4	2	2	3	1	HGDP01162	HGDP	Denisova	Denisova
chr13	23449000	23640000	190000	0.96114	69	3	0	0	3	0	HGDP01162	HGDP	Denisova	Denisova
chr13	91412000	91463000	50000	0.96264	38	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr16	7731000	7791000	59000	0.97411	65	4	0	0	4	0	HGDP01162	HGDP	Denisova	Denisova
chr16	58169000	58188000	18000	0.64443	6	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr17	66255000	66306000	50000	0.74505	18	10	0	1	10	1	HGDP01162	HGDP	Denisova	Denisova
chr19	48028000	48055000	26000	0.83566	8	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr1	210595000	210715000	119000	0.97644	74	12	4	5	10	4	HGDP01162	HGDP	Denisova	Denisova
chr1	234840000	234898000	57000	0.93219	16	7	2	0	5	2	HGDP01162	HGDP	Denisova	Denisova
chr1	236469000	236495000	25000	0.73035	8	2	0	0	2	0	HGDP01162	HGDP	Denisova	Denisova
chr20	57492000	57510000	17000	0.54896	7	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr2	19664000	19690000	25000	0.58355	8	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr3	10780000	10795000	14000	0.76239	7	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr3	194510000	194550000	39000	0.87696	18	2	0	0	2	0	HGDP01162	HGDP	Denisova	Denisova
chr4	43353000	43431000	77000	0.96143	79	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
chr5	3620000	3654000	33000	0.70179	11	1	0	0	1	0	HGDP01162	HGDP	Denisova	Denisova
