chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1723000	1771000	48000	0.92797	19	3	0	0	3	0	HGDP01245	HGDP	Denisova	Denisova
chr10	6152000	6185000	33000	0.93519	44	1	0	0	1	0	HGDP01245	HGDP	Denisova	Denisova
chr10	7191000	7387000	196000	0.97412	88	23	0	1	22	2	HGDP01245	HGDP	Denisova	Denisova
chr10	128549000	128585000	36000	0.87104	19	7	1	1	7	1	HGDP01245	HGDP	Denisova	Denisova
chr10	128840000	128863000	23000	0.59026	8	3	1	2	3	2	HGDP01245	HGDP	Denisova	Denisova
chr11	3162000	3188000	26000	0.91297	12	2	0	0	2	0	HGDP01245	HGDP	Denisova	Denisova
chr11	36392000	36443000	51000	0.96402	24	15	3	3	15	3	HGDP01245	HGDP	Denisova	Denisova
chr11	83657000	83845000	188000	0.98934	66	28	1	2	28	2	HGDP01245	HGDP	Denisova	Denisova
chr11	120516000	120522000	6000	0.76376	7	3	0	0	3	0	HGDP01245	HGDP	Denisova	Denisova
chr11	132185000	132233000	48000	0.82512	14	6	2	2	6	2	HGDP01245	HGDP	Denisova	Denisova
chr12	15682000	15722000	40000	0.91916	14	1	0	0	1	0	HGDP01245	HGDP	Denisova	Denisova
chr12	114914000	114942000	28000	0.88897	18	11	9	10	11	9	HGDP01245	HGDP	Denisova	Denisova
chr13	51696000	51774000	78000	0.86969	29	4	0	0	4	0	HGDP01245	HGDP	Denisova	Denisova
chr13	75260000	75305000	45000	0.95658	15	5	2	2	5	2	HGDP01245	HGDP	Denisova	Denisova
chr13	79219000	79229000	10000	0.85956	8	2	1	1	2	1	HGDP01245	HGDP	Denisova	Denisova
chr13	112805000	112857000	52000	0.91195	21	6	0	0	6	0	HGDP01245	HGDP	Denisova	Denisova
chr14	33566000	33625000	59000	0.96093	32	10	3	3	7	3	HGDP01245	HGDP	Denisova	Denisova
chr14	100782000	100801000	19000	0.75252	8	3	0	0	3	0	HGDP01245	HGDP	Denisova	Denisova
chr15	24789000	24812000	23000	0.93504	15	4	0	0	4	0	HGDP01245	HGDP	Denisova	Denisova
chr15	69780000	69793000	13000	0.6065	7	1	0	0	1	0	HGDP01245	HGDP	Denisova	Denisova
