chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	6056000	6165000	109000	0.96959	41	11	5	4	10	5	HGDP01212	HGDP	Denisova	Denisova
chr10	7559000	7582000	23000	0.8895	10	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr10	71310000	71341000	31000	0.92488	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr11	2621000	2717000	96000	0.97303	55	28	18	18	28	18	HGDP01212	HGDP	Denisova	Denisova
chr11	3130000	3190000	60000	0.80209	18	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr11	36376000	36430000	54000	0.82119	18	10	1	1	10	1	HGDP01212	HGDP	Denisova	Denisova
chr11	123575000	123628000	53000	0.97213	29	6	1	1	6	1	HGDP01212	HGDP	Denisova	Denisova
chr11	130840000	130871000	31000	0.92122	11	6	1	1	6	1	HGDP01212	HGDP	Denisova	Denisova
chr11	134464000	134528000	64000	0.87913	16	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr12	15518000	15593000	75000	0.94344	36	14	8	8	14	8	HGDP01212	HGDP	Denisova	Denisova
chr12	15608000	15727000	119000	0.93905	27	5	3	3	5	3	HGDP01212	HGDP	Denisova	Denisova
chr13	23400000	23618000	218000	0.98097	101	18	11	2	16	2	HGDP01212	HGDP	Denisova	Denisova
chr13	111008000	111155000	147000	0.97251	54	10	2	2	9	2	HGDP01212	HGDP	Denisova	Denisova
chr13	113279000	113293000	14000	0.76164	9	3	2	2	3	2	HGDP01212	HGDP	Denisova	Denisova
chr14	97978000	98521000	543000	0.99363	258	120	17	15	120	14	HGDP01212	HGDP	Denisova	Denisova
chr15	24735000	24790000	55000	0.95853	30	10	0	0	10	0	HGDP01212	HGDP	Denisova	Denisova
chr15	25763000	25775000	12000	0.61173	6	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr15	26962000	26978000	16000	0.77478	8	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr15	62854000	62924000	70000	0.9052	24	8	5	4	6	5	HGDP01212	HGDP	Denisova	Denisova
chr16	212000	550000	338000	0.78285	55	12	3	3	12	3	HGDP01212	HGDP	Denisova	Denisova
chr16	21223000	21279000	56000	0.78977	12	5	2	2	5	2	HGDP01212	HGDP	Denisova	Denisova
chr16	22272000	22458000	186000	0.93812	56	20	0	0	20	0	HGDP01212	HGDP	Denisova	Denisova
chr16	22697000	22702000	5000	0.5091	2	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58515000	58563000	48000	0.75468	10	5	0	0	5	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58589000	58648000	59000	0.79774	11	6	0	0	6	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58868000	58939000	71000	0.88796	16	4	0	0	4	0	HGDP01212	HGDP	Denisova	Denisova
chr17	14008000	14230000	222000	0.9758	83	22	13	13	22	13	HGDP01212	HGDP	Denisova	Denisova
chr17	19581000	19703000	122000	0.94828	31	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr17	73090000	73103000	13000	0.72087	6	2	1	1	2	1	HGDP01212	HGDP	Denisova	Denisova
chr18	555000	574000	19000	0.88963	8	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr18	8846000	8906000	60000	0.92217	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr1	30175000	30224000	49000	0.80538	13	4	1	1	4	1	HGDP01212	HGDP	Denisova	Denisova
chr1	47192000	47236000	44000	0.92771	23	12	0	0	12	0	HGDP01212	HGDP	Denisova	Denisova
chr1	53153000	53269000	116000	0.93699	29	12	6	4	12	4	HGDP01212	HGDP	Denisova	Denisova
chr1	193539000	193586000	47000	0.94603	16	9	0	0	9	0	HGDP01212	HGDP	Denisova	Denisova
chr20	907000	941000	34000	0.89354	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr21	16567000	16629000	62000	0.95091	25	13	2	2	13	2	HGDP01212	HGDP	Denisova	Denisova
chr22	47463000	47492000	29000	0.96706	24	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr22	48453000	48469000	16000	0.82314	12	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr2	19574000	19717000	143000	0.93365	43	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr2	39796000	39853000	57000	0.9788	23	9	7	7	9	7	HGDP01212	HGDP	Denisova	Denisova
chr2	136275000	136409000	134000	0.95124	39	4	1	1	4	1	HGDP01212	HGDP	Denisova	Denisova
chr2	172259000	172266000	7000	0.52921	4	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr2	188755000	188864000	109000	0.92058	31	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr2	223215000	223386000	171000	0.95943	53	10	4	5	10	1	HGDP01212	HGDP	Denisova	Denisova
chr2	227663000	227706000	43000	0.91827	15	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr3	14304000	14408000	104000	0.8583	33	8	5	5	6	5	HGDP01212	HGDP	Denisova	Denisova
chr3	105658000	105888000	230000	0.96941	65	32	4	4	32	4	HGDP01212	HGDP	Denisova	Denisova
chr4	3765000	3821000	56000	0.93411	27	11	3	3	11	3	HGDP01212	HGDP	Denisova	Denisova
chr4	7359000	7370000	11000	0.86025	11	4	2	2	4	2	HGDP01212	HGDP	Denisova	Denisova
chr4	23472000	23562000	90000	0.94077	34	10	3	3	10	3	HGDP01212	HGDP	Denisova	Denisova
chr4	29129000	29295000	166000	0.98125	62	17	0	0	17	0	HGDP01212	HGDP	Denisova	Denisova
chr4	112510000	112671000	161000	0.95517	33	11	0	0	11	0	HGDP01212	HGDP	Denisova	Denisova
chr4	175275000	175645000	370000	0.98608	153	50	1	1	50	1	HGDP01212	HGDP	Denisova	Denisova
chr4	185654000	185659000	5000	0.57138	5	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr4	186557000	186580000	23000	0.9002	10	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr5	396000	487000	91000	0.97758	40	21	0	1	21	0	HGDP01212	HGDP	Denisova	Denisova
chr5	6284000	6323000	39000	0.90558	13	4	1	1	4	1	HGDP01212	HGDP	Denisova	Denisova
chr5	16902000	16959000	57000	0.78134	14	2	1	1	2	1	HGDP01212	HGDP	Denisova	Denisova
chr5	73935000	74073000	138000	0.91004	36	17	3	3	17	3	HGDP01212	HGDP	Denisova	Denisova
chr5	74463000	74480000	17000	0.60105	5	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr5	91156000	91196000	40000	0.93891	15	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr5	121852000	122086000	234000	0.98433	115	62	42	42	62	42	HGDP01212	HGDP	Denisova	Denisova
chr5	142700000	142844000	144000	0.93643	49	19	4	4	19	4	HGDP01212	HGDP	Denisova	Denisova
chr5	176738000	176813000	75000	0.91385	24	11	4	4	11	4	HGDP01212	HGDP	Denisova	Denisova
chr6	119118000	119434000	316000	0.96397	161	69	9	9	69	9	HGDP01212	HGDP	Denisova	Denisova
