chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	55418000	55470000	52000	0.93386	39	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr10	114725000	114752000	27000	0.90387	9	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr12	1473000	1482000	9000	0.64889	5	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr13	71325000	71352000	27000	0.77557	9	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr13	85793000	85927000	134000	0.95866	62	11	0	0	11	0	HGDP00808	HGDP	Denisova	Denisova
chr16	8997000	9051000	54000	0.95516	18	5	0	0	5	0	HGDP00808	HGDP	Denisova	Denisova
chr16	87659000	87702000	43000	0.94539	17	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr18	49626000	49655000	29000	0.86176	10	2	0	0	2	0	HGDP00808	HGDP	Denisova	Denisova
chr18	64763000	64852000	89000	0.73191	31	4	0	0	4	0	HGDP00808	HGDP	Denisova	Denisova
chr1	234745000	234789000	44000	0.79911	15	4	2	1	4	1	HGDP00808	HGDP	Denisova	Denisova
chr1	234943000	234980000	37000	0.82884	14	5	2	3	5	3	HGDP00808	HGDP	Denisova	Denisova
chr1	236462000	236498000	36000	0.84116	10	4	1	1	4	1	HGDP00808	HGDP	Denisova	Denisova
chr1	240122000	240138000	16000	0.85579	11	3	0	0	3	0	HGDP00808	HGDP	Denisova	Denisova
chr2	19677000	19691000	14000	0.69358	6	1	0	0	1	0	HGDP00808	HGDP	Denisova	Denisova
chr2	227203000	227248000	45000	0.90258	15	7	0	2	5	0	HGDP00808	HGDP	Denisova	Denisova
chr2	227373000	227646000	273000	0.97661	105	30	16	16	30	16	HGDP00808	HGDP	Denisova	Denisova
chr3	2629000	2654000	25000	0.81881	10	3	0	0	3	0	HGDP00808	HGDP	Denisova	Denisova
chr3	24435000	24497000	62000	0.95922	24	5	0	0	5	0	HGDP00808	HGDP	Denisova	Denisova
chr6	80508000	80602000	94000	0.97678	39	3	1	1	3	1	HGDP00808	HGDP	Denisova	Denisova
chr8	129603000	129667000	64000	0.79966	18	3	0	0	3	0	HGDP00808	HGDP	Denisova	Denisova
chr10	13179000	13244000	65000	0.91045	15	5	1	0	5	0	HGDP00802	HGDP	Denisova	Denisova
chr10	43731000	43782000	51000	0.87802	16	1	0	0	1	0	HGDP00802	HGDP	Denisova	Denisova
chr10	61796000	61846000	50000	0.89232	23	5	0	0	5	0	HGDP00802	HGDP	Denisova	Denisova
chr10	110271000	110339000	68000	0.94783	28	2	1	0	2	0	HGDP00802	HGDP	Denisova	Denisova
chr11	120211000	120234000	23000	0.65026	7	2	0	0	2	0	HGDP00802	HGDP	Denisova	Denisova
chr12	115891000	115935000	44000	0.88186	18	2	1	1	2	1	HGDP00802	HGDP	Denisova	Denisova
chr13	85795000	86116000	321000	0.99143	145	56	5	5	56	5	HGDP00802	HGDP	Denisova	Denisova
chr16	7713000	7787000	74000	0.97928	73	6	2	2	6	2	HGDP00802	HGDP	Denisova	Denisova
chr18	8846000	8919000	73000	0.90138	18	1	0	0	1	0	HGDP00802	HGDP	Denisova	Denisova
chr1	9277000	9310000	33000	0.90143	12	1	0	0	1	0	HGDP00802	HGDP	Denisova	Denisova
chr1	147258000	147362000	104000	0.97169	31	2	0	0	2	0	HGDP00802	HGDP	Denisova	Denisova
chr1	179596000	179648000	52000	0.87428	16	1	0	0	1	0	HGDP00802	HGDP	Denisova	Denisova
chr1	234841000	234937000	96000	0.91897	27	10	2	0	8	2	HGDP00802	HGDP	Denisova	Denisova
chr21	31993000	32016000	23000	0.8305	9	1	0	0	1	0	HGDP00802	HGDP	Denisova	Denisova
chr22	26073000	26124000	51000	0.9665	29	8	1	1	8	1	HGDP00802	HGDP	Denisova	Denisova
