chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7433000	7479000	46000	0.92418	17	2	1	1	2	1	HGDP00302	HGDP	Denisova	Denisova
chr10	50511000	50634000	123000	0.9605	43	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr10	55425000	55467000	42000	0.96938	36	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr10	110271000	110314000	43000	0.90879	19	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr11	364000	499000	135000	0.91375	40	15	11	11	12	11	HGDP00302	HGDP	Denisova	Denisova
chr11	4115000	4208000	93000	0.89792	21	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr11	5614000	5633000	19000	0.85068	8	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr11	37820000	38337000	517000	0.99199	227	64	19	8	63	7	HGDP00302	HGDP	Denisova	Denisova
chr11	80633000	80833000	200000	0.97611	73	21	1	1	21	1	HGDP00302	HGDP	Denisova	Denisova
chr11	119846000	120016000	170000	0.92244	84	27	5	0	27	5	HGDP00302	HGDP	Denisova	Denisova
chr11	132001000	132053000	52000	0.91957	26	5	0	0	5	0	HGDP00302	HGDP	Denisova	Denisova
chr11	132186000	132207000	21000	0.81875	8	2	1	1	2	1	HGDP00302	HGDP	Denisova	Denisova
chr12	13810000	13950000	140000	0.92994	39	6	2	2	6	2	HGDP00302	HGDP	Denisova	Denisova
chr12	126925000	126973000	48000	0.88078	19	7	5	5	7	5	HGDP00302	HGDP	Denisova	Denisova
chr13	91410000	91462000	52000	0.95141	35	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr15	69776000	69794000	18000	0.81531	8	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr15	71485000	71536000	51000	0.96217	22	7	0	0	7	0	HGDP00302	HGDP	Denisova	Denisova
chr15	93587000	93604000	17000	0.92339	18	10	4	4	10	4	HGDP00302	HGDP	Denisova	Denisova
chr17	79927000	79931000	4000	0.5305	4	2	0	0	2	0	HGDP00302	HGDP	Denisova	Denisova
chr18	64759000	64856000	97000	0.91853	34	4	0	0	4	0	HGDP00302	HGDP	Denisova	Denisova
chr1	6246000	6502000	256000	0.98089	73	15	0	4	15	4	HGDP00302	HGDP	Denisova	Denisova
chr1	22707000	22747000	40000	0.90677	13	4	0	0	4	0	HGDP00302	HGDP	Denisova	Denisova
chr1	57749000	57768000	19000	0.91938	11	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr22	48373000	48521000	148000	0.87174	78	20	0	0	20	0	HGDP00302	HGDP	Denisova	Denisova
chr22	48584000	48609000	25000	0.89052	18	3	1	1	3	1	HGDP00302	HGDP	Denisova	Denisova
chr22	48783000	48805000	22000	0.89903	16	7	1	2	6	1	HGDP00302	HGDP	Denisova	Denisova
chr2	127627000	127675000	48000	0.93272	17	2	1	1	2	1	HGDP00302	HGDP	Denisova	Denisova
chr2	227585000	227650000	65000	0.92994	28	8	2	2	8	2	HGDP00302	HGDP	Denisova	Denisova
chr2	235450000	235472000	22000	0.63288	8	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr5	5830000	5914000	84000	0.92886	32	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr6	44570000	44630000	60000	0.8601	14	4	2	1	3	1	HGDP00302	HGDP	Denisova	Denisova
chr6	52664000	52695000	31000	0.75961	8	2	0	0	2	0	HGDP00302	HGDP	Denisova	Denisova
chr6	162276000	162306000	30000	0.89696	13	4	0	0	4	0	HGDP00302	HGDP	Denisova	Denisova
chr6	169307000	169335000	28000	0.8193	13	2	0	0	2	0	HGDP00302	HGDP	Denisova	Denisova
chr7	135513000	135537000	24000	0.80362	7	6	5	5	6	5	HGDP00302	HGDP	Denisova	Denisova
chr8	55949000	55999000	50000	0.86438	14	2	0	0	2	0	HGDP00302	HGDP	Denisova	Denisova
chr8	116462000	116489000	27000	0.94568	23	6	0	0	6	0	HGDP00302	HGDP	Denisova	Denisova
chr8	125558000	125617000	59000	0.85463	14	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr9	21991000	22067000	76000	0.96457	33	1	0	0	1	0	HGDP00302	HGDP	Denisova	Denisova
chr10	43730000	43782000	52000	0.8525	17	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr10	55424000	55466000	42000	0.96392	35	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr10	110269000	110322000	53000	0.90004	20	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr10	115728000	115883000	155000	0.96792	44	6	0	0	6	0	HGDP00281	HGDP	Denisova	Denisova
chr11	37190000	37216000	26000	0.81081	9	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr11	61216000	61353000	137000	0.92234	30	6	2	2	5	0	HGDP00281	HGDP	Denisova	Denisova
chr11	79228000	79554000	326000	0.96578	137	32	18	18	20	18	HGDP00281	HGDP	Denisova	Denisova
chr11	102755000	102799000	44000	0.92154	14	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr11	104913000	104999000	86000	0.84506	21	5	1	1	5	1	HGDP00281	HGDP	Denisova	Denisova
chr12	2638000	2644000	6000	0.55851	4	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr13	112000000	112041000	41000	0.93511	15	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr14	64555000	64597000	42000	0.9163	14	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr15	86022000	86105000	83000	0.98351	57	25	2	2	25	2	HGDP00281	HGDP	Denisova	Denisova
chr1	34864000	34894000	30000	0.8682	11	4	1	1	4	1	HGDP00281	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.92316	10	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr1	177339000	177453000	114000	0.98126	77	4	0	1	3	0	HGDP00281	HGDP	Denisova	Denisova
chr21	17449000	17577000	128000	0.91915	30	10	3	3	10	3	HGDP00281	HGDP	Denisova	Denisova
chr22	27028000	27051000	23000	0.82313	19	9	1	1	9	1	HGDP00281	HGDP	Denisova	Denisova
chr2	20650000	20882000	232000	0.94678	94	34	0	9	34	0	HGDP00281	HGDP	Denisova	Denisova
chr2	20924000	21165000	241000	0.97183	101	30	11	11	30	11	HGDP00281	HGDP	Denisova	Denisova
chr2	40429000	40483000	54000	0.91873	20	2	0	0	2	0	HGDP00281	HGDP	Denisova	Denisova
chr3	2627000	2647000	20000	0.91261	11	3	0	0	3	0	HGDP00281	HGDP	Denisova	Denisova
chr3	21550000	21598000	48000	0.67628	13	3	1	1	3	1	HGDP00281	HGDP	Denisova	Denisova
chr4	163788000	163815000	27000	0.90437	11	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr5	31769000	31861000	92000	0.98288	48	19	12	12	15	12	HGDP00281	HGDP	Denisova	Denisova
chr6	44570000	44623000	53000	0.78087	12	3	1	0	3	0	HGDP00281	HGDP	Denisova	Denisova
chr6	51243000	51266000	23000	0.82083	10	3	0	0	3	0	HGDP00281	HGDP	Denisova	Denisova
chr7	36074000	36153000	79000	0.93161	27	9	5	5	9	5	HGDP00281	HGDP	Denisova	Denisova
chr7	80793000	80838000	45000	0.86669	19	6	0	0	6	0	HGDP00281	HGDP	Denisova	Denisova
chr7	149844000	149864000	20000	0.89491	9	5	1	1	5	1	HGDP00281	HGDP	Denisova	Denisova
chr7	158448000	158519000	71000	0.85712	28	11	1	1	11	1	HGDP00281	HGDP	Denisova	Denisova
chr8	4136000	4140000	4000	0.56958	5	2	0	0	2	0	HGDP00281	HGDP	Denisova	Denisova
chr8	5743000	5772000	29000	0.61003	14	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr8	8513000	8517000	4000	0.51989	4	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr8	116472000	116489000	17000	0.91997	17	5	0	0	5	0	HGDP00281	HGDP	Denisova	Denisova
chr9	2093000	2119000	26000	0.82048	13	4	1	1	4	1	HGDP00281	HGDP	Denisova	Denisova
chr9	21996000	22066000	70000	0.92791	28	1	0	0	1	0	HGDP00281	HGDP	Denisova	Denisova
chr9	108106000	108121000	15000	0.85218	9	5	3	3	4	3	HGDP00281	HGDP	Denisova	Denisova
chr10	7437000	7479000	42000	0.89736	16	2	1	1	2	1	HGDP00311	HGDP	Denisova	Denisova
chr10	114725000	114752000	27000	0.89863	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	1401000	1412000	11000	0.53146	6	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	4115000	4208000	93000	0.91481	24	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	37820000	37975000	155000	0.9858	59	10	2	2	9	1	HGDP00311	HGDP	Denisova	Denisova
chr11	39389000	39421000	32000	0.90456	12	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr11	80539000	80562000	23000	0.74216	8	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	104906000	105001000	95000	0.92364	23	5	1	1	5	1	HGDP00311	HGDP	Denisova	Denisova
chr11	114241000	114391000	150000	0.96025	110	42	11	11	42	11	HGDP00311	HGDP	Denisova	Denisova
chr11	120212000	120263000	51000	0.93261	14	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr12	6106000	6199000	93000	0.86182	22	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr13	22319000	22435000	116000	0.97101	52	8	3	1	7	1	HGDP00311	HGDP	Denisova	Denisova
chr13	91407000	91463000	56000	0.93169	36	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr13	108366000	108607000	241000	0.97701	92	13	2	1	13	1	HGDP00311	HGDP	Denisova	Denisova
chr13	111954000	111967000	13000	0.72952	7	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr15	86022000	86104000	82000	0.97324	56	25	2	2	25	2	HGDP00311	HGDP	Denisova	Denisova
chr15	97966000	98178000	212000	0.94657	101	28	10	11	20	10	HGDP00311	HGDP	Denisova	Denisova
chr16	79434000	79444000	10000	0.91583	11	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr16	80356000	80368000	12000	0.6872	7	3	2	2	3	2	HGDP00311	HGDP	Denisova	Denisova
chr18	49623000	49729000	106000	0.94887	28	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr1	9258000	9310000	52000	0.86893	19	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.94158	11	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	117502000	117514000	12000	0.54955	5	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	241306000	241419000	113000	0.97774	53	20	0	0	20	0	HGDP00311	HGDP	Denisova	Denisova
chr20	15588000	15639000	51000	0.90065	18	3	1	1	3	1	HGDP00311	HGDP	Denisova	Denisova
chr2	19900000	20003000	103000	0.89964	23	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr2	25969000	26173000	204000	0.91254	107	40	3	3	40	3	HGDP00311	HGDP	Denisova	Denisova
chr2	67546000	67597000	51000	0.87637	21	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr2	178389000	179338000	949000	0.9862	339	117	43	40	109	44	HGDP00311	HGDP	Denisova	Denisova
chr2	227946000	228075000	129000	0.94813	32	12	1	1	12	1	HGDP00311	HGDP	Denisova	Denisova
chr2	228130000	228198000	68000	0.88888	15	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr3	32331000	32423000	92000	0.95599	29	4	0	0	4	0	HGDP00311	HGDP	Denisova	Denisova
chr3	39854000	40044000	190000	0.93825	40	7	2	2	5	2	HGDP00311	HGDP	Denisova	Denisova
chr3	175010000	175134000	124000	0.94733	36	5	1	1	5	1	HGDP00311	HGDP	Denisova	Denisova
chr4	19338000	19548000	210000	0.93226	97	9	0	0	9	0	HGDP00311	HGDP	Denisova	Denisova
chr4	60007000	60027000	20000	0.88381	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr4	163786000	163814000	28000	0.86493	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr4	177230000	177305000	75000	0.95269	33	8	1	1	8	1	HGDP00311	HGDP	Denisova	Denisova
chr5	169833000	169936000	103000	0.94445	28	5	0	0	5	0	HGDP00311	HGDP	Denisova	Denisova
chr6	45930000	46028000	98000	0.89851	26	5	0	0	5	0	HGDP00311	HGDP	Denisova	Denisova
chr6	51234000	51267000	33000	0.83776	15	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr6	60677000	60720000	43000	0.86846	13	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr7	135519000	135537000	18000	0.84346	7	6	5	5	6	5	HGDP00311	HGDP	Denisova	Denisova
chr8	116458000	116494000	36000	0.90585	23	6	0	0	6	0	HGDP00311	HGDP	Denisova	Denisova
chr9	9998000	10167000	169000	0.92226	66	18	5	5	18	5	HGDP00311	HGDP	Denisova	Denisova
chr9	10206000	10277000	71000	0.97878	45	6	2	2	4	2	HGDP00311	HGDP	Denisova	Denisova
chr9	21999000	22059000	60000	0.953	33	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr9	27465000	27508000	43000	0.65115	12	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr9	132985000	133013000	28000	0.87973	16	7	0	0	7	0	HGDP00311	HGDP	Denisova	Denisova
chr10	7863000	8051000	188000	0.93011	63	19	3	3	19	3	HGDP00319	HGDP	Denisova	Denisova
chr10	55425000	55467000	42000	0.96593	35	1	0	0	1	0	HGDP00319	HGDP	Denisova	Denisova
chr10	61800000	61841000	41000	0.94247	19	5	0	0	5	0	HGDP00319	HGDP	Denisova	Denisova
chr10	65357000	65428000	71000	0.94068	22	10	2	2	10	2	HGDP00319	HGDP	Denisova	Denisova
chr11	21342000	21404000	62000	0.92745	31	11	2	2	9	2	HGDP00319	HGDP	Denisova	Denisova
chr11	37820000	38336000	516000	0.98742	213	64	19	8	63	7	HGDP00319	HGDP	Denisova	Denisova
chr11	39437000	39871000	434000	0.97408	117	30	5	5	29	6	HGDP00319	HGDP	Denisova	Denisova
chr11	80538000	80562000	24000	0.7427	8	1	0	0	1	0	HGDP00319	HGDP	Denisova	Denisova
chr11	102733000	102801000	68000	0.97237	26	1	0	0	1	0	HGDP00319	HGDP	Denisova	Denisova
chr11	104906000	105001000	95000	0.92413	23	5	1	1	5	1	HGDP00319	HGDP	Denisova	Denisova
