chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3785000	3834000	49000	0.91949	25	16	15	16	0	15	HGDP01102	HGDP	Chagyrskaya	Neanderthal
chr10	5567000	5649000	82000	0.97958	47	12	9	5	5	5	HGDP01102	HGDP	Altai	Neanderthal
chr10	5953000	6088000	135000	0.92021	47	5	3	4	3	3	HGDP01102	HGDP	Chagyrskaya	Neanderthal
chr10	6868000	6904000	36000	0.82491	12	4	4	4	0	4	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	6962000	7138000	176000	0.95741	61	29	26	29	4	27	HGDP01102	HGDP	Chagyrskaya	Neanderthal
chr10	11341000	11397000	56000	0.90121	20	9	8	8	1	8	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	13725000	13741000	16000	0.86812	9	4	4	4	1	4	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	13887000	13950000	63000	0.94285	23	10	8	8	3	10	HGDP01102	HGDP	Vindija	Neanderthal
chr10	13998000	14002000	4000	0.59262	5	3	3	2	0	3	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	14710000	14768000	58000	0.95362	42	19	18	18	16	19	HGDP01102	HGDP	Vindija	Neanderthal
chr10	20381000	20478000	97000	0.95349	35	18	15	15	0	18	HGDP01102	HGDP	Vindija	Neanderthal
chr10	20574000	20598000	24000	0.86212	10	6	6	6	0	5	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	21007000	21070000	63000	0.86757	15	6	6	6	1	2	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	23423000	23492000	69000	0.83534	15	5	3	3	1	5	HGDP01102	HGDP	Vindija	Neanderthal
chr10	24315000	24499000	184000	0.96304	55	32	29	29	7	26	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	24530000	24789000	259000	0.97753	88	45	38	41	5	45	HGDP01102	HGDP	Vindija	Neanderthal
chr10	26643000	26732000	89000	0.90321	20	1	1	1	0	1	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	27247000	27801000	554000	0.95553	138	50	44	43	1	45	HGDP01102	HGDP	Vindija	Neanderthal
chr10	29916000	29938000	22000	0.81472	9	3	2	3	0	3	HGDP01102	HGDP	AmbigNean	Neanderthal
chr10	43620000	44364000	744000	0.99647	350	159	141	145	60	153	HGDP01102	HGDP	Vindija	Neanderthal
chr10	44398000	44461000	63000	0.95782	27	12	8	8	0	12	HGDP01102	HGDP	Vindija	Neanderthal
