chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	2497000	2594000	97000	0.97431	74	34	34	33	1	33	HGDP01184	HGDP	Altai	Neanderthal
chr10	4765000	4778000	13000	0.63735	7	3	3	3	0	3	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	5564000	5648000	84000	0.95187	35	4	2	4	0	4	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	6888000	6906000	18000	0.86344	12	4	4	4	0	4	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	6963000	7147000	184000	0.94106	69	32	27	30	4	30	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	11355000	11403000	48000	0.82859	18	8	6	7	1	7	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	11451000	11689000	238000	0.96344	67	30	25	30	2	30	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	13818000	13847000	29000	0.85866	11	7	7	4	0	5	HGDP01184	HGDP	Altai	Neanderthal
chr10	13917000	13950000	33000	0.94349	14	3	3	3	0	3	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	14004000	14083000	79000	0.98409	38	17	13	17	8	17	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	14371000	14647000	276000	0.97957	76	40	36	33	5	36	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	17546000	17585000	39000	0.91862	15	9	9	8	0	7	HGDP01184	HGDP	Altai	Neanderthal
chr10	17677000	17736000	59000	0.72	13	6	6	5	0	6	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	20962000	20991000	29000	0.73725	10	2	2	2	1	2	HGDP01184	HGDP	AmbigNean	Neanderthal
chr10	21084000	21120000	36000	0.90692	11	3	0	3	0	0	HGDP01184	HGDP	Chagyrskaya	Neanderthal
chr10	24281000	24339000	58000	0.92145	30	11	9	10	7	11	HGDP01184	HGDP	Vindija	Neanderthal
chr10	24430000	24473000	43000	0.94728	17	13	12	12	0	13	HGDP01184	HGDP	Vindija	Neanderthal
chr10	27127000	27965000	838000	0.94951	186	67	57	57	4	60	HGDP01184	HGDP	Vindija	Neanderthal
