chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	757000	787000	30000	0.91082	11	3	3	1	0	1	HGDP00021	HGDP	Altai	Neanderthal
chr10	2279000	2318000	39000	0.94502	20	8	3	3	4	8	HGDP00021	HGDP	Vindija	Neanderthal
chr10	2913000	2982000	69000	0.97618	42	15	13	8	1	15	HGDP00021	HGDP	Vindija	Neanderthal
chr10	6008000	6032000	24000	0.88409	11	3	3	3	0	3	HGDP00021	HGDP	AmbigNean	Neanderthal
chr10	6344000	6362000	18000	0.86362	8	2	2	2	0	0	HGDP00021	HGDP	AmbigNean	Neanderthal
chr10	7270000	7331000	61000	0.85992	14	4	0	4	1	4	HGDP00021	HGDP	AmbigNean	Neanderthal
chr10	7439000	7504000	65000	0.92268	24	8	5	8	3	7	HGDP00021	HGDP	Chagyrskaya	Neanderthal
chr10	8407000	8535000	128000	0.95625	44	20	20	19	1	19	HGDP00021	HGDP	Altai	Neanderthal
chr10	10038000	10116000	78000	0.95335	22	8	6	7	1	8	HGDP00021	HGDP	Vindija	Neanderthal
chr10	11802000	12136000	334000	0.98651	134	64	59	59	22	64	HGDP00021	HGDP	Vindija	Neanderthal
chr10	12338000	12362000	24000	0.84123	9	4	3	4	0	3	HGDP00021	HGDP	Chagyrskaya	Neanderthal
chr10	16868000	16892000	24000	0.96909	23	7	5	5	0	7	HGDP00021	HGDP	Vindija	Neanderthal
chr10	17393000	17514000	121000	0.94089	42	16	15	12	3	16	HGDP00021	HGDP	Vindija	Neanderthal
chr10	17540000	17555000	15000	0.76385	6	2	2	2	0	2	HGDP00021	HGDP	AmbigNean	Neanderthal
chr10	17911000	18105000	194000	0.87337	55	12	5	6	1	12	HGDP00021	HGDP	Vindija	Neanderthal
chr10	19125000	19285000	160000	0.9662	77	38	34	30	2	38	HGDP00021	HGDP	Vindija	Neanderthal
chr10	24430000	24437000	7000	0.61135	5	1	0	0	0	1	HGDP00021	HGDP	Vindija	Neanderthal
chr10	24500000	24558000	58000	0.96198	18	7	5	5	1	7	HGDP00021	HGDP	Vindija	Neanderthal
chr10	25698000	25869000	171000	0.9529	55	15	12	13	0	15	HGDP00021	HGDP	Vindija	Neanderthal
