chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	2716000	2777000	60000	0.96247	26	2	0	0	2	0	HGDP01351	HGDP	Denisova	Denisova
chr10	10638000	10810000	171000	0.98276	69	18	6	6	17	7	HGDP01351	HGDP	Denisova	Denisova
chr10	16735000	16752000	16000	0.83538	8	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr10	21220000	21502000	281000	0.97155	76	12	6	6	12	6	HGDP01351	HGDP	Denisova	Denisova
chr10	61796000	61846000	49000	0.90493	21	5	0	0	5	0	HGDP01351	HGDP	Denisova	Denisova
chr10	89227000	89243000	15000	0.86847	9	4	0	0	4	0	HGDP01351	HGDP	Denisova	Denisova
chr10	112837000	112933000	95000	0.92497	34	10	5	5	10	5	HGDP01351	HGDP	Denisova	Denisova
chr10	128873000	128894000	20000	0.95013	11	4	3	3	4	3	HGDP01351	HGDP	Denisova	Denisova
chr11	2743000	2807000	63000	0.80459	15	6	2	2	6	2	HGDP01351	HGDP	Denisova	Denisova
chr11	131052000	131125000	72000	0.97896	45	20	16	16	20	9	HGDP01351	HGDP	Denisova	Denisova
chr12	6064000	6108000	43000	0.97111	19	7	0	0	7	0	HGDP01351	HGDP	Denisova	Denisova
chr12	15408000	15733000	324000	0.98177	102	26	18	18	19	18	HGDP01351	HGDP	Denisova	Denisova
chr12	44880000	44944000	63000	0.93466	32	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr13	71905000	72100000	194000	0.97531	103	40	2	4	40	4	HGDP01351	HGDP	Denisova	Denisova
chr13	72442000	72541000	98000	0.95727	42	4	2	0	4	2	HGDP01351	HGDP	Denisova	Denisova
chr14	34025000	34099000	73000	0.96924	30	9	0	0	9	2	HGDP01351	HGDP	Denisova	Denisova
chr14	36118000	36209000	90000	0.80378	19	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr15	24789000	24813000	23000	0.93575	15	4	0	0	4	0	HGDP01351	HGDP	Denisova	Denisova
chr15	26309000	26352000	42000	0.91073	18	6	0	0	6	0	HGDP01351	HGDP	Denisova	Denisova
chr15	27247000	27263000	15000	0.88843	11	4	0	3	4	0	HGDP01351	HGDP	Denisova	Denisova
chr15	60710000	60716000	5000	0.54517	4	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr16	21690000	21709000	18000	0.5228	3	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr16	58454000	58509000	54000	0.92778	20	7	3	3	7	3	HGDP01351	HGDP	Denisova	Denisova
chr16	62743000	62763000	19000	0.71822	7	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr17	8815000	8863000	47000	0.86418	22	9	0	0	9	0	HGDP01351	HGDP	Denisova	Denisova
chr17	12451000	12472000	20000	0.83992	11	4	0	0	4	0	HGDP01351	HGDP	Denisova	Denisova
chr17	14101000	14249000	147000	0.93724	50	13	7	7	13	7	HGDP01351	HGDP	Denisova	Denisova
chr17	66338000	66423000	84000	0.94504	29	8	4	4	7	4	HGDP01351	HGDP	Denisova	Denisova
chr17	80022000	80067000	44000	0.78148	13	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr18	24540000	24794000	253000	0.9761	96	26	15	12	26	12	HGDP01351	HGDP	Denisova	Denisova
chr1	30165000	30260000	94000	0.97268	41	16	10	10	14	10	HGDP01351	HGDP	Denisova	Denisova
chr1	33557000	33583000	25000	0.93533	12	8	7	7	8	7	HGDP01351	HGDP	Denisova	Denisova
chr1	53076000	53137000	60000	0.93973	24	8	2	0	8	0	HGDP01351	HGDP	Denisova	Denisova
chr1	151366000	151573000	206000	0.97938	52	7	2	2	6	2	HGDP01351	HGDP	Denisova	Denisova
chr1	214222000	214295000	72000	0.89293	17	4	1	0	2	1	HGDP01351	HGDP	Denisova	Denisova
chr20	230000	310000	79000	0.93717	29	5	0	0	5	0	HGDP01351	HGDP	Denisova	Denisova
chr20	900000	916000	15000	0.8388	8	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr22	39276000	39315000	38000	0.88835	23	10	0	0	10	0	HGDP01351	HGDP	Denisova	Denisova
chr22	47774000	47874000	99000	0.97569	55	7	0	0	7	0	HGDP01351	HGDP	Denisova	Denisova
chr22	48508000	48538000	29000	0.88071	15	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr2	40430000	40484000	53000	0.87427	18	2	0	0	2	0	HGDP01351	HGDP	Denisova	Denisova
chr2	46331000	46376000	44000	0.93477	17	6	1	1	6	1	HGDP01351	HGDP	Denisova	Denisova
chr2	46449000	46482000	32000	0.85495	15	7	5	5	7	5	HGDP01351	HGDP	Denisova	Denisova
chr2	46595000	46662000	66000	0.9143	20	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr2	46798000	46868000	69000	0.94391	35	12	4	3	12	2	HGDP01351	HGDP	Denisova	Denisova
chr2	62238000	62298000	59000	0.91713	27	13	1	1	13	1	HGDP01351	HGDP	Denisova	Denisova
chr2	67546000	67569000	22000	0.83279	13	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr2	97528000	97759000	230000	0.94633	38	4	2	2	4	2	HGDP01351	HGDP	Denisova	Denisova
chr2	136812000	136883000	70000	0.96824	35	7	4	4	7	4	HGDP01351	HGDP	Denisova	Denisova
chr3	2597000	2635000	37000	0.91953	18	11	8	8	11	8	HGDP01351	HGDP	Denisova	Denisova
chr3	3193000	3278000	84000	0.92378	55	14	4	3	10	3	HGDP01351	HGDP	Denisova	Denisova
chr3	105643000	105656000	12000	0.60357	5	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr4	7363000	7368000	4000	0.81779	7	2	1	1	2	1	HGDP01351	HGDP	Denisova	Denisova
chr4	38940000	38952000	11000	0.83688	9	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr4	43323000	43360000	36000	0.83806	14	2	0	0	2	0	HGDP01351	HGDP	Denisova	Denisova
chr4	84422000	84516000	93000	0.93896	28	7	1	1	7	1	HGDP01351	HGDP	Denisova	Denisova
chr4	154040000	154137000	96000	0.94846	43	7	0	1	7	1	HGDP01351	HGDP	Denisova	Denisova
chr4	187290000	187305000	14000	0.64788	6	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr4	187429000	187762000	332000	0.97935	101	30	14	13	30	14	HGDP01351	HGDP	Denisova	Denisova
chr5	17099000	17186000	86000	0.92066	22	9	1	0	9	0	HGDP01351	HGDP	Denisova	Denisova
chr5	17708000	17799000	90000	0.90233	22	12	0	0	12	0	HGDP01351	HGDP	Denisova	Denisova
chr5	107780000	107805000	24000	0.91037	10	4	0	1	4	1	HGDP01351	HGDP	Denisova	Denisova
chr5	122474000	122580000	105000	0.97258	36	13	2	2	13	2	HGDP01351	HGDP	Denisova	Denisova
chr6	51249000	51280000	30000	0.75664	12	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr6	119075000	119115000	39000	0.91648	14	3	0	0	3	0	HGDP01351	HGDP	Denisova	Denisova
chr7	80843000	80950000	106000	0.98041	51	28	5	5	21	7	HGDP01351	HGDP	Denisova	Denisova
chr8	12764000	12843000	78000	0.9468	33	8	1	1	7	1	HGDP01351	HGDP	Denisova	Denisova
chr8	102819000	102909000	89000	0.9514	27	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr8	128063000	128096000	32000	0.88112	11	2	1	1	2	0	HGDP01351	HGDP	Denisova	Denisova
chr8	133776000	133830000	53000	0.90814	16	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr9	106307000	106373000	65000	0.91872	27	1	0	0	1	0	HGDP01351	HGDP	Denisova	Denisova
chr9	109764000	109871000	106000	0.9743	42	17	13	14	16	14	HGDP01351	HGDP	Denisova	Denisova
chr9	112373000	112378000	4000	0.54218	4	2	0	0	2	0	HGDP01351	HGDP	Denisova	Denisova
chr10	5992000	6095000	102000	0.89987	30	3	2	2	3	2	HGDP01353	HGDP	Denisova	Denisova
chr10	61800000	61853000	52000	0.87321	24	5	0	0	5	0	HGDP01353	HGDP	Denisova	Denisova
chr10	128787000	128838000	50000	0.94947	16	7	6	6	7	6	HGDP01353	HGDP	Denisova	Denisova
chr11	2607000	2805000	197000	0.9411	92	40	26	26	40	26	HGDP01353	HGDP	Denisova	Denisova
chr11	115770000	115837000	66000	0.94722	37	1	0	0	1	0	HGDP01353	HGDP	Denisova	Denisova
chr11	117859000	117906000	46000	0.94144	71	38	1	1	37	1	HGDP01353	HGDP	Denisova	Denisova
chr11	134509000	134514000	4000	0.66337	5	1	0	0	1	0	HGDP01353	HGDP	Denisova	Denisova
chr12	46962000	47073000	110000	0.70838	20	1	0	0	1	0	HGDP01353	HGDP	Denisova	Denisova
chr12	52256000	52290000	33000	0.89399	11	5	2	2	5	0	HGDP01353	HGDP	Denisova	Denisova
