chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3832000	3861000	29000	0.9164	14	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr10	12550000	12734000	184000	0.98374	59	14	8	8	14	8	HGDP00788	HGDP	Denisova	Denisova
chr10	16524000	16619000	95000	0.90805	23	8	1	1	8	1	HGDP00788	HGDP	Denisova	Denisova
chr10	16675000	16776000	101000	0.95128	46	19	0	0	19	0	HGDP00788	HGDP	Denisova	Denisova
chr10	16884000	17026000	142000	0.9768	59	10	4	4	10	4	HGDP00788	HGDP	Denisova	Denisova
chr10	17815000	18009000	194000	0.96062	54	5	3	1	5	3	HGDP00788	HGDP	Denisova	Denisova
chr10	23409000	23472000	63000	0.93196	18	4	1	1	4	1	HGDP00788	HGDP	Denisova	Denisova
chr10	24201000	24341000	140000	0.97367	62	11	3	3	11	6	HGDP00788	HGDP	Denisova	Denisova
chr10	24387000	24440000	53000	0.92112	18	3	1	1	3	1	HGDP00788	HGDP	Denisova	Denisova
chr10	54665000	54803000	138000	0.97335	54	19	13	13	19	13	HGDP00788	HGDP	Denisova	Denisova
chr10	61800000	61840000	40000	0.92632	18	5	0	0	5	0	HGDP00788	HGDP	Denisova	Denisova
chr10	76958000	76977000	19000	0.856	10	4	3	3	4	3	HGDP00788	HGDP	Denisova	Denisova
chr10	77675000	77710000	35000	0.90479	16	7	0	0	7	0	HGDP00788	HGDP	Denisova	Denisova
chr10	128550000	128576000	26000	0.81447	9	3	0	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr10	128705000	128715000	10000	0.89566	8	2	1	1	2	1	HGDP00788	HGDP	Denisova	Denisova
chr11	2008000	2131000	123000	0.85198	32	9	0	0	9	0	HGDP00788	HGDP	Denisova	Denisova
chr11	3879000	3955000	76000	0.86402	16	4	1	1	3	1	HGDP00788	HGDP	Denisova	Denisova
chr11	4066000	4125000	59000	0.91984	16	6	0	0	6	0	HGDP00788	HGDP	Denisova	Denisova
chr11	21665000	21705000	40000	0.71427	9	2	0	0	2	0	HGDP00788	HGDP	Denisova	Denisova
chr11	103291000	103546000	255000	0.9849	86	16	2	1	14	1	HGDP00788	HGDP	Denisova	Denisova
