chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	6058000	6181000	123000	0.98449	83	12	5	4	11	5	HGDP00756	HGDP	Denisova	Denisova
chr10	61800000	61838000	38000	0.93807	20	5	0	0	5	0	HGDP00756	HGDP	Denisova	Denisova
chr11	117820000	117933000	113000	0.9432	96	53	10	6	43	15	HGDP00756	HGDP	Denisova	Denisova
chr11	123131000	123187000	56000	0.86286	22	6	4	4	5	3	HGDP00756	HGDP	Denisova	Denisova
chr12	201000	464000	263000	0.94865	61	9	0	0	9	0	HGDP00756	HGDP	Denisova	Denisova
chr12	44880000	44943000	63000	0.94038	33	1	0	0	1	0	HGDP00756	HGDP	Denisova	Denisova
chr12	47035000	47073000	38000	0.88335	10	1	0	0	1	0	HGDP00756	HGDP	Denisova	Denisova
chr12	52263000	52286000	23000	0.56504	7	3	2	2	3	0	HGDP00756	HGDP	Denisova	Denisova
chr13	51728000	51774000	46000	0.95253	22	4	0	0	4	0	HGDP00756	HGDP	Denisova	Denisova
chr13	66047000	66132000	85000	0.93902	32	14	2	2	14	2	HGDP00756	HGDP	Denisova	Denisova
chr13	72257000	72321000	64000	0.97002	24	12	0	2	12	0	HGDP00756	HGDP	Denisova	Denisova
chr13	75260000	75302000	42000	0.95324	13	5	2	2	5	2	HGDP00756	HGDP	Denisova	Denisova
chr13	113166000	113189000	23000	0.91195	17	4	1	1	4	1	HGDP00756	HGDP	Denisova	Denisova
chr14	33563000	33647000	84000	0.97412	42	16	3	7	13	7	HGDP00756	HGDP	Denisova	Denisova
chr14	98036000	98295000	259000	0.95657	97	30	8	8	30	8	HGDP00756	HGDP	Denisova	Denisova
chr15	26668000	26711000	43000	0.83685	17	7	0	0	7	0	HGDP00756	HGDP	Denisova	Denisova
chr15	26930000	26977000	47000	0.93698	17	2	0	0	2	0	HGDP00756	HGDP	Denisova	Denisova
chr17	12457000	12473000	16000	0.89105	11	4	0	0	4	0	HGDP00756	HGDP	Denisova	Denisova
chr17	14044000	14197000	153000	0.91784	56	18	11	11	18	11	HGDP00756	HGDP	Denisova	Denisova
chr17	78316000	78337000	21000	0.91327	10	2	0	0	2	0	HGDP00756	HGDP	Denisova	Denisova
chr17	79881000	79949000	68000	0.9558	32	12	0	0	12	0	HGDP00756	HGDP	Denisova	Denisova
