chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5945000	5985000	39000	0.8503	10	2	0	0	2	0	HGDP00762	HGDP	Denisova	Denisova
chr10	61800000	61839000	38000	0.93923	19	5	0	0	5	0	HGDP00762	HGDP	Denisova	Denisova
chr10	89249000	89319000	69000	0.88112	18	7	0	0	7	0	HGDP00762	HGDP	Denisova	Denisova
chr11	115770000	115869000	98000	0.88808	39	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr11	123170000	123184000	13000	0.63183	6	2	0	0	2	0	HGDP00762	HGDP	Denisova	Denisova
chr11	131048000	131096000	47000	0.93184	34	17	14	14	17	9	HGDP00762	HGDP	Denisova	Denisova
chr12	15421000	15664000	242000	0.88822	67	17	10	10	17	10	HGDP00762	HGDP	Denisova	Denisova
chr12	47042000	47078000	35000	0.82758	10	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr13	51689000	51777000	87000	0.92834	33	4	0	0	4	0	HGDP00762	HGDP	Denisova	Denisova
chr13	75233000	75304000	70000	0.81609	17	5	2	2	5	2	HGDP00762	HGDP	Denisova	Denisova
chr14	49982000	49994000	11000	0.62444	6	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr14	98210000	98353000	142000	0.98991	67	18	8	6	18	5	HGDP00762	HGDP	Denisova	Denisova
chr15	25765000	25805000	39000	0.93571	15	4	0	0	4	0	HGDP00762	HGDP	Denisova	Denisova
chr15	26364000	26396000	31000	0.66121	10	3	0	0	3	0	HGDP00762	HGDP	Denisova	Denisova
chr15	26916000	26942000	25000	0.93328	13	3	1	1	3	1	HGDP00762	HGDP	Denisova	Denisova
chr16	7994000	8001000	6000	0.75477	7	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr16	22844000	22934000	89000	0.93118	27	7	3	4	5	4	HGDP00762	HGDP	Denisova	Denisova
chr17	79844000	79882000	37000	0.95279	16	6	0	0	6	0	HGDP00762	HGDP	Denisova	Denisova
chr18	79843000	79904000	60000	0.94269	18	5	0	0	5	0	HGDP00762	HGDP	Denisova	Denisova
chr1	30214000	30260000	45000	0.91799	25	13	9	9	11	9	HGDP00762	HGDP	Denisova	Denisova
chr1	30523000	30705000	181000	0.98852	76	21	8	8	21	7	HGDP00762	HGDP	Denisova	Denisova
chr1	33013000	33113000	99000	0.94832	29	7	0	0	7	0	HGDP00762	HGDP	Denisova	Denisova
chr1	33156000	33259000	102000	0.94928	30	11	0	0	11	0	HGDP00762	HGDP	Denisova	Denisova
chr1	47404000	47475000	70000	0.96746	24	11	1	1	11	1	HGDP00762	HGDP	Denisova	Denisova
chr1	193539000	193587000	47000	0.91982	16	9	0	0	9	0	HGDP00762	HGDP	Denisova	Denisova
chr21	17087000	17175000	87000	0.85272	19	6	0	0	6	0	HGDP00762	HGDP	Denisova	Denisova
chr21	30187000	30208000	20000	0.78529	7	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr2	39926000	40056000	129000	0.9611	73	30	4	4	30	4	HGDP00762	HGDP	Denisova	Denisova
chr2	46231000	46245000	13000	0.7544	7	4	0	0	4	0	HGDP00762	HGDP	Denisova	Denisova
chr2	67540000	67570000	29000	0.89037	15	3	0	0	3	0	HGDP00762	HGDP	Denisova	Denisova
chr2	96290000	96498000	207000	0.94897	35	6	2	2	6	2	HGDP00762	HGDP	Denisova	Denisova
chr2	96926000	96979000	52000	0.86435	10	2	0	0	2	0	HGDP00762	HGDP	Denisova	Denisova
chr2	97533000	98025000	491000	0.95206	126	25	20	20	25	20	HGDP00762	HGDP	Denisova	Denisova
chr3	105613000	105956000	342000	0.98516	104	41	4	4	41	4	HGDP00762	HGDP	Denisova	Denisova
chr4	5232000	5459000	226000	0.98848	88	21	7	7	21	7	HGDP00762	HGDP	Denisova	Denisova
chr4	15947000	16073000	125000	0.97813	44	13	2	2	13	2	HGDP00762	HGDP	Denisova	Denisova
chr4	32264000	32307000	42000	0.93125	20	2	0	0	2	0	HGDP00762	HGDP	Denisova	Denisova
chr4	33198000	33221000	22000	0.87461	9	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr4	185732000	185795000	62000	0.89538	18	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr5	17760000	17799000	38000	0.62222	9	7	0	0	7	0	HGDP00762	HGDP	Denisova	Denisova
chr5	74947000	75267000	319000	0.98317	97	31	1	1	31	1	HGDP00762	HGDP	Denisova	Denisova
chr5	76186000	76261000	74000	0.97448	30	13	0	0	13	0	HGDP00762	HGDP	Denisova	Denisova
chr5	91265000	91346000	80000	0.97288	34	15	0	0	15	0	HGDP00762	HGDP	Denisova	Denisova
chr5	135891000	135979000	87000	0.7573	18	3	1	1	3	1	HGDP00762	HGDP	Denisova	Denisova
chr6	51249000	51266000	16000	0.89119	10	3	0	0	3	0	HGDP00762	HGDP	Denisova	Denisova
chr7	33307000	33467000	159000	0.97977	55	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr7	125347000	125559000	211000	0.97863	81	41	0	7	41	0	HGDP00762	HGDP	Denisova	Denisova
chr8	10678000	10730000	51000	0.93074	32	7	1	1	7	0	HGDP00762	HGDP	Denisova	Denisova
chr8	24256000	24353000	96000	0.96835	28	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr8	116462000	116497000	34000	0.94113	23	6	0	0	6	0	HGDP00762	HGDP	Denisova	Denisova
chr9	21996000	22067000	70000	0.97151	30	1	0	0	1	0	HGDP00762	HGDP	Denisova	Denisova
chr9	109759000	109904000	144000	0.97531	49	20	17	17	19	16	HGDP00762	HGDP	Denisova	Denisova
chr9	136331000	136410000	78000	0.91325	28	3	0	0	3	0	HGDP00762	HGDP	Denisova	Denisova
chr10	5547000	5987000	439000	0.9501	143	48	20	25	33	23	HGDP00771	HGDP	Denisova	Denisova
chr10	112914000	112965000	50000	0.8377	11	7	0	0	7	0	HGDP00771	HGDP	Denisova	Denisova
chr11	2619000	2760000	140000	0.95264	70	32	22	22	32	22	HGDP00771	HGDP	Denisova	Denisova
chr11	3169000	3172000	2000	0.52004	3	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr11	80633000	80830000	196000	0.98509	71	21	1	1	21	1	HGDP00771	HGDP	Denisova	Denisova
chr11	130840000	130917000	76000	0.8804	21	13	2	2	13	2	HGDP00771	HGDP	Denisova	Denisova
chr12	15718000	15888000	169000	0.96525	54	15	12	12	15	12	HGDP00771	HGDP	Denisova	Denisova
chr12	102644000	102716000	71000	0.90514	23	9	3	1	6	2	HGDP00771	HGDP	Denisova	Denisova
chr13	71921000	71935000	13000	0.81711	7	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr13	75261000	75306000	44000	0.92418	14	4	2	2	4	2	HGDP00771	HGDP	Denisova	Denisova
chr13	113166000	113194000	27000	0.86406	14	4	1	1	4	1	HGDP00771	HGDP	Denisova	Denisova
chr13	113222000	113289000	66000	0.80454	18	2	1	1	2	1	HGDP00771	HGDP	Denisova	Denisova
chr14	98468000	98522000	53000	0.98635	36	26	0	0	26	0	HGDP00771	HGDP	Denisova	Denisova
chr15	27081000	27163000	81000	0.92233	33	7	2	2	7	2	HGDP00771	HGDP	Denisova	Denisova
chr15	60689000	60719000	29000	0.56709	9	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr16	58863000	58910000	46000	0.85934	14	4	0	0	4	0	HGDP00771	HGDP	Denisova	Denisova
chr17	49853000	49916000	62000	0.93211	26	14	6	6	14	6	HGDP00771	HGDP	Denisova	Denisova
chr17	58304000	58319000	14000	0.70639	6	2	1	1	2	1	HGDP00771	HGDP	Denisova	Denisova
chr17	78316000	78337000	20000	0.89064	9	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr17	79884000	79950000	65000	0.96836	32	12	0	0	12	0	HGDP00771	HGDP	Denisova	Denisova
chr18	8846000	8925000	78000	0.92859	18	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr18	51639000	51658000	18000	0.87294	10	3	1	0	3	0	HGDP00771	HGDP	Denisova	Denisova
chr18	62171000	62308000	136000	0.88623	30	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr1	10678000	10762000	83000	0.91237	30	7	3	2	7	3	HGDP00771	HGDP	Denisova	Denisova
chr1	22539000	22664000	124000	0.98515	62	23	6	6	22	6	HGDP00771	HGDP	Denisova	Denisova
chr1	29751000	29810000	58000	0.84185	20	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr1	30650000	30684000	33000	0.86911	13	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr1	30752000	30783000	30000	0.73279	10	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr1	33013000	33121000	107000	0.92886	29	7	0	0	7	0	HGDP00771	HGDP	Denisova	Denisova
chr1	33125000	33262000	136000	0.90398	37	13	0	0	13	0	HGDP00771	HGDP	Denisova	Denisova
chr1	91209000	91406000	196000	0.97989	48	23	0	0	23	0	HGDP00771	HGDP	Denisova	Denisova
chr1	193532000	193594000	61000	0.9518	19	9	0	0	9	0	HGDP00771	HGDP	Denisova	Denisova
chr21	17584000	17620000	35000	0.72636	9	5	0	0	5	0	HGDP00771	HGDP	Denisova	Denisova
chr22	44292000	44302000	9000	0.72459	7	3	0	0	3	0	HGDP00771	HGDP	Denisova	Denisova
chr22	47769000	47825000	55000	0.93336	28	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr2	25034000	25130000	95000	0.94494	23	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr2	39834000	39855000	20000	0.84853	10	5	4	4	5	4	HGDP00771	HGDP	Denisova	Denisova
chr2	46085000	46102000	16000	0.85679	8	6	1	2	5	2	HGDP00771	HGDP	Denisova	Denisova
chr2	47641000	47686000	44000	0.79949	14	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr2	62203000	62297000	93000	0.96965	40	21	2	2	21	2	HGDP00771	HGDP	Denisova	Denisova
chr2	67553000	67570000	16000	0.90342	11	3	0	0	3	0	HGDP00771	HGDP	Denisova	Denisova
chr2	100619000	100676000	56000	0.96201	31	11	3	1	8	3	HGDP00771	HGDP	Denisova	Denisova
chr2	122733000	123014000	280000	0.9922	171	57	35	35	44	35	HGDP00771	HGDP	Denisova	Denisova
chr2	188745000	188857000	111000	0.9345	29	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr2	227387000	227404000	16000	0.85944	7	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr3	88357000	88407000	49000	0.95169	18	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr3	105649000	105806000	156000	0.87387	32	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr4	2300000	2340000	39000	0.93911	21	8	2	2	8	2	HGDP00771	HGDP	Denisova	Denisova
chr4	32264000	32309000	44000	0.91648	21	2	0	0	2	0	HGDP00771	HGDP	Denisova	Denisova
chr4	60791000	60807000	15000	0.6432	7	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr4	118311000	118376000	64000	0.9061	15	1	0	0	1	0	HGDP00771	HGDP	Denisova	Denisova
chr4	187126000	187188000	61000	0.95691	22	4	2	1	3	1	HGDP00771	HGDP	Denisova	Denisova
