chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3308000	3345000	36000	0.97291	27	15	0	0	15	0	HGDP00549	HGDP	Denisova	Denisova
chr10	4785000	4844000	58000	0.91425	23	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr10	4888000	4922000	33000	0.76928	12	7	0	0	7	0	HGDP00549	HGDP	Denisova	Denisova
chr10	4939000	4978000	38000	0.74443	7	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr10	5286000	5387000	100000	0.96513	58	14	3	3	8	6	HGDP00549	HGDP	Denisova	Denisova
chr10	13245000	13296000	50000	0.88448	14	3	0	0	3	0	HGDP00549	HGDP	Denisova	Denisova
chr10	15195000	15245000	49000	0.84939	24	15	12	12	15	12	HGDP00549	HGDP	Denisova	Denisova
chr10	24206000	24410000	203000	0.96515	82	18	6	6	18	7	HGDP00549	HGDP	Denisova	Denisova
chr10	24424000	24562000	137000	0.95291	47	18	4	4	18	4	HGDP00549	HGDP	Denisova	Denisova
chr10	54443000	54499000	55000	0.92909	25	10	0	2	8	2	HGDP00549	HGDP	Denisova	Denisova
chr10	54558000	54611000	52000	0.89674	17	4	0	0	4	0	HGDP00549	HGDP	Denisova	Denisova
chr10	75378000	75470000	91000	0.9697	37	8	6	6	7	6	HGDP00549	HGDP	Denisova	Denisova
chr10	76173000	76293000	119000	0.96887	47	18	12	15	17	14	HGDP00549	HGDP	Denisova	Denisova
chr10	76469000	76945000	475000	0.97975	128	25	2	2	25	2	HGDP00549	HGDP	Denisova	Denisova
chr10	78199000	78259000	59000	0.92447	23	4	1	0	4	1	HGDP00549	HGDP	Denisova	Denisova
chr10	120462000	120468000	5000	0.56851	4	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr10	120534000	120652000	117000	0.96926	57	29	9	9	29	9	HGDP00549	HGDP	Denisova	Denisova
chr11	2011000	2126000	114000	0.90279	34	11	0	0	11	0	HGDP00549	HGDP	Denisova	Denisova
chr11	2411000	2448000	36000	0.91046	15	2	1	1	2	1	HGDP00549	HGDP	Denisova	Denisova
chr11	3114000	3156000	41000	0.94573	28	6	2	1	6	2	HGDP00549	HGDP	Denisova	Denisova
chr11	4386000	4417000	30000	0.96846	13	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr11	5079000	5198000	118000	0.95661	38	5	1	1	5	1	HGDP00549	HGDP	Denisova	Denisova
chr11	8015000	8071000	55000	0.72574	16	3	1	0	3	0	HGDP00549	HGDP	Denisova	Denisova
chr11	11282000	11308000	25000	0.5891	9	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr11	84351000	84674000	322000	0.92827	108	21	1	1	20	1	HGDP00549	HGDP	Denisova	Denisova
chr11	86626000	86850000	223000	0.97144	83	12	5	5	12	5	HGDP00549	HGDP	Denisova	Denisova
chr11	121637000	121985000	347000	0.95876	143	45	16	16	43	16	HGDP00549	HGDP	Denisova	Denisova
chr12	477000	485000	7000	0.52868	5	2	1	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr12	1923000	1928000	4000	0.50634	2	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr12	1928000	1933000	4000	0.50325	2	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr12	3062000	3099000	36000	0.88677	28	12	3	3	12	3	HGDP00549	HGDP	Denisova	Denisova
chr12	3219000	3258000	38000	0.9123	21	8	5	1	8	3	HGDP00549	HGDP	Denisova	Denisova
chr12	3358000	3509000	150000	0.88355	42	10	0	0	8	2	HGDP00549	HGDP	Denisova	Denisova
chr12	3509000	3593000	83000	0.86989	24	5	1	3	5	2	HGDP00549	HGDP	Denisova	Denisova
chr12	4378000	4390000	11000	0.68898	6	3	0	0	3	0	HGDP00549	HGDP	Denisova	Denisova
chr12	6968000	7138000	169000	0.92541	49	16	2	2	14	2	HGDP00549	HGDP	Denisova	Denisova
chr12	8521000	8588000	66000	0.91658	23	6	1	1	6	1	HGDP00549	HGDP	Denisova	Denisova
chr12	12580000	12723000	142000	0.9053	38	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr12	26378000	26580000	201000	0.98461	95	9	5	5	9	5	HGDP00549	HGDP	Denisova	Denisova
chr12	26672000	26778000	105000	0.94407	32	7	4	4	7	3	HGDP00549	HGDP	Denisova	Denisova
chr12	31640000	31726000	85000	0.8062	14	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr12	31929000	31999000	69000	0.90685	23	2	0	0	2	0	HGDP00549	HGDP	Denisova	Denisova
chr12	32300000	32364000	63000	0.64006	11	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr12	32375000	32459000	83000	0.92943	18	4	0	0	4	0	HGDP00549	HGDP	Denisova	Denisova
chr12	32564000	32759000	194000	0.98187	71	20	8	8	20	8	HGDP00549	HGDP	Denisova	Denisova
chr12	47051000	47079000	27000	0.85846	9	1	0	0	1	0	HGDP00549	HGDP	Denisova	Denisova
chr12	52265000	52294000	28000	0.59864	8	4	2	2	3	1	HGDP00549	HGDP	Denisova	Denisova
chr12	52564000	52662000	97000	0.86713	35	9	2	1	6	0	HGDP00549	HGDP	Denisova	Denisova
chr12	53847000	53894000	46000	0.88511	13	5	2	2	5	2	HGDP00549	HGDP	Denisova	Denisova
chr12	77012000	77085000	72000	0.95821	28	4	0	0	4	0	HGDP00549	HGDP	Denisova	Denisova
chr12	77117000	77240000	122000	0.93575	32	4	0	0	4	0	HGDP00549	HGDP	Denisova	Denisova
chr12	78913000	79693000	779000	0.96732	228	67	21	21	67	21	HGDP00549	HGDP	Denisova	Denisova
