chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1293000	1348000	55000	0.96247	18	6	6	6	1	6	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	1570000	1609000	39000	0.84221	14	2	2	2	0	2	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	1699000	1731000	32000	0.90251	13	7	0	4	0	7	HGDP01196	HGDP	Vindija	Neanderthal
chr10	1756000	1828000	72000	0.92699	29	20	18	20	1	17	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	3953000	4133000	180000	0.97171	70	40	25	34	3	40	HGDP01196	HGDP	Vindija	Neanderthal
chr10	5285000	5317000	32000	0.8809	11	3	0	0	0	3	HGDP01196	HGDP	Vindija	Neanderthal
chr10	5549000	5645000	96000	0.98301	58	17	12	7	5	10	HGDP01196	HGDP	Altai	Neanderthal
chr10	5853000	5942000	89000	0.97237	30	13	12	13	8	12	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	6963000	7117000	154000	0.97902	61	25	18	18	3	25	HGDP01196	HGDP	Vindija	Neanderthal
chr10	7615000	7667000	52000	0.90074	15	9	6	9	1	9	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	13862000	13934000	72000	0.97265	28	12	10	10	4	12	HGDP01196	HGDP	Vindija	Neanderthal
chr10	14727000	14768000	41000	0.91911	17	8	7	7	5	8	HGDP01196	HGDP	Vindija	Neanderthal
chr10	18193000	18225000	32000	0.95827	16	8	5	2	0	8	HGDP01196	HGDP	Vindija	Neanderthal
chr10	19528000	19845000	317000	0.99456	142	73	52	50	35	70	HGDP01196	HGDP	Vindija	Neanderthal
chr10	20963000	21012000	49000	0.77359	12	3	2	2	1	3	HGDP01196	HGDP	Vindija	Neanderthal
chr10	23971000	23993000	22000	0.78389	8	4	3	3	2	4	HGDP01196	HGDP	Vindija	Neanderthal
chr10	24272000	24328000	56000	0.9257	32	11	9	10	7	11	HGDP01196	HGDP	Vindija	Neanderthal
chr10	24426000	24496000	70000	0.98125	32	20	18	18	3	20	HGDP01196	HGDP	Vindija	Neanderthal
chr10	24886000	24938000	52000	0.9219	21	8	6	8	0	6	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	26639000	27034000	395000	0.95288	92	31	26	30	6	31	HGDP01196	HGDP	Vindija	Neanderthal
chr10	27117000	27575000	458000	0.94276	109	30	26	30	4	29	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	29292000	29324000	32000	0.89868	15	5	5	1	0	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	30150000	30283000	133000	0.94914	49	16	15	14	4	15	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	30329000	30367000	38000	0.88831	16	6	1	6	1	3	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	42480000	42731000	251000	0.9807	46	5	0	0	1	4	HGDP01196	HGDP	Vindija	Neanderthal
chr10	43696000	44387000	691000	0.9924	331	139	120	124	45	134	HGDP01196	HGDP	Vindija	Neanderthal
chr10	62689000	62881000	192000	0.97636	65	23	21	23	6	21	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	62942000	63001000	59000	0.84121	18	7	5	5	0	7	HGDP01196	HGDP	Vindija	Neanderthal
chr10	63125000	63731000	606000	0.93755	132	53	41	50	3	38	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	63980000	64078000	98000	0.91861	41	22	21	20	5	22	HGDP01196	HGDP	Vindija	Neanderthal
chr10	64535000	64610000	75000	0.92177	19	7	7	7	1	7	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	64836000	65015000	179000	0.94206	38	11	5	0	0	11	HGDP01196	HGDP	Vindija	Neanderthal
chr10	65313000	65332000	19000	0.77055	7	2	2	2	0	2	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	65786000	66011000	225000	0.98258	78	35	35	31	9	22	HGDP01196	HGDP	Altai	Neanderthal
chr10	66177000	66211000	34000	0.94255	14	5	3	3	1	5	HGDP01196	HGDP	Vindija	Neanderthal
chr10	66261000	66309000	48000	0.91698	15	5	5	5	0	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	66447000	66516000	69000	0.87842	17	7	6	7	1	7	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	66653000	66674000	21000	0.7464	8	2	1	1	0	2	HGDP01196	HGDP	Vindija	Neanderthal
chr10	66874000	66996000	122000	0.88279	36	18	10	17	2	17	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	68092000	68141000	49000	0.93629	14	3	3	3	0	3	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	69620000	69639000	19000	0.57763	6	4	4	4	0	4	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	70147000	70281000	134000	0.9489	37	12	2	9	0	12	HGDP01196	HGDP	Vindija	Neanderthal
chr10	70977000	71072000	95000	0.96124	37	18	17	15	9	18	HGDP01196	HGDP	Vindija	Neanderthal
chr10	71406000	71524000	118000	0.95769	64	16	14	16	8	16	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	71681000	71698000	17000	0.84598	8	5	5	5	0	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	73539000	73636000	97000	0.921	21	9	5	9	5	9	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	75924000	76013000	89000	0.97124	27	15	14	14	6	15	HGDP01196	HGDP	Vindija	Neanderthal
chr10	76711000	76823000	112000	0.93537	37	5	5	5	0	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	83666000	83699000	33000	0.94503	12	4	2	2	0	2	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	84037000	84108000	71000	0.94178	22	5	4	5	0	3	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	85052000	85087000	35000	0.88264	10	4	4	4	1	4	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	88092000	88136000	44000	0.78423	11	3	3	3	0	3	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	88189000	88227000	38000	0.71183	9	3	3	3	2	3	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	89320000	89459000	139000	0.96294	33	4	4	4	1	4	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	89524000	89833000	309000	0.98475	91	50	35	48	0	45	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	102980000	103189000	209000	0.94232	42	1	1	1	0	1	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	119097000	119143000	46000	0.88793	11	2	2	2	1	2	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	119373000	119463000	90000	0.87824	33	13	8	13	1	12	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	121745000	121808000	63000	0.93214	21	1	0	0	0	1	HGDP01196	HGDP	Vindija	Neanderthal
chr10	122145000	122253000	108000	0.90688	30	16	10	15	0	14	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	123138000	123164000	26000	0.93721	13	6	4	6	0	5	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr10	123281000	123502000	221000	0.97011	57	22	1	4	3	22	HGDP01196	HGDP	Vindija	Neanderthal
chr10	123933000	124041000	108000	0.89812	29	14	12	13	5	14	HGDP01196	HGDP	Vindija	Neanderthal
chr10	124340000	124370000	30000	0.89915	11	5	3	5	2	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	126201000	126221000	20000	0.93334	12	4	4	3	0	4	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	126460000	126484000	24000	0.78654	9	2	0	2	0	2	HGDP01196	HGDP	AmbigNean	Neanderthal
chr10	130892000	130907000	15000	0.7961	8	4	4	4	1	3	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	11294000	11311000	17000	0.80542	8	4	3	3	0	4	HGDP01196	HGDP	Vindija	Neanderthal
chr11	11973000	12010000	37000	0.66866	12	6	5	5	4	6	HGDP01196	HGDP	Vindija	Neanderthal
chr11	20104000	20142000	38000	0.93795	14	8	8	7	1	8	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	21474000	21495000	21000	0.73838	10	1	0	1	0	1	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	21670000	21870000	200000	0.97353	87	41	40	40	0	40	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	21900000	22152000	252000	0.97758	69	30	22	30	0	23	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr11	22342000	22362000	20000	0.75919	8	4	2	3	0	3	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	22519000	22602000	83000	0.95392	52	28	27	27	0	28	HGDP01196	HGDP	Vindija	Neanderthal
chr11	22669000	22793000	124000	0.9697	44	24	22	23	6	17	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr11	23248000	23278000	30000	0.8182	9	4	2	4	0	3	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr11	23434000	23554000	120000	0.84063	33	15	13	15	6	13	HGDP01196	HGDP	Chagyrskaya	Neanderthal
chr11	24493000	24515000	22000	0.6428	8	6	6	4	3	6	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	36033000	36091000	58000	0.88101	23	7	7	7	6	7	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	36119000	36169000	50000	0.78072	11	5	5	5	1	5	HGDP01196	HGDP	AmbigNean	Neanderthal
chr11	36489000	36853000	364000	0.98934	146	63	54	53	12	52	HGDP01196	HGDP	Altai	Neanderthal
chr11	37122000	37182000	60000	0.86908	16	5	3	3	0	5	HGDP01196	HGDP	Vindija	Neanderthal
