chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	16718000	16780000	61000	0.82364	22	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr10	19443000	19510000	66000	0.88833	20	7	0	0	7	0	HGDP01290	HGDP	Denisova	Denisova
chr10	112840000	112963000	122000	0.97479	40	16	5	5	16	5	HGDP01290	HGDP	Denisova	Denisova
chr11	2600000	2718000	117000	0.94257	62	30	20	20	30	20	HGDP01290	HGDP	Denisova	Denisova
chr11	102700000	102802000	101000	0.90718	34	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr11	117850000	118034000	183000	0.89069	103	55	16	17	39	18	HGDP01290	HGDP	Denisova	Denisova
chr12	6209000	6311000	101000	0.9603	40	22	10	8	22	8	HGDP01290	HGDP	Denisova	Denisova
chr12	12664000	12682000	17000	0.83836	8	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr12	47052000	47070000	17000	0.54876	5	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr13	23398000	23616000	217000	0.98872	99	22	15	6	16	6	HGDP01290	HGDP	Denisova	Denisova
chr14	33566000	33648000	81000	0.97558	48	20	7	11	13	11	HGDP01290	HGDP	Denisova	Denisova
chr14	97962000	98074000	111000	0.97154	55	24	2	2	24	2	HGDP01290	HGDP	Denisova	Denisova
chr15	26916000	26941000	24000	0.93287	12	3	1	1	3	1	HGDP01290	HGDP	Denisova	Denisova
chr16	21249000	21280000	30000	0.91353	10	5	2	2	5	2	HGDP01290	HGDP	Denisova	Denisova
chr16	22252000	22469000	216000	0.88943	56	20	0	0	20	0	HGDP01290	HGDP	Denisova	Denisova
chr16	62740000	62826000	85000	0.9547	24	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr16	78695000	78706000	10000	0.60102	7	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr17	19504000	19604000	99000	0.94366	32	6	2	2	6	2	HGDP01290	HGDP	Denisova	Denisova
chr17	66255000	66282000	26000	0.83359	15	10	0	1	10	1	HGDP01290	HGDP	Denisova	Denisova
chr17	79915000	79934000	18000	0.85857	10	3	0	0	3	0	HGDP01290	HGDP	Denisova	Denisova
chr18	12279000	12586000	306000	0.97645	83	31	1	1	31	1	HGDP01290	HGDP	Denisova	Denisova
chr18	12687000	12733000	45000	0.91516	12	5	0	0	5	0	HGDP01290	HGDP	Denisova	Denisova
chr19	51544000	51683000	138000	0.87368	85	3	0	0	3	0	HGDP01290	HGDP	Denisova	Denisova
chr1	22433000	22625000	191000	0.96452	79	31	15	14	30	15	HGDP01290	HGDP	Denisova	Denisova
chr1	30224000	30265000	40000	0.91101	25	12	9	9	10	9	HGDP01290	HGDP	Denisova	Denisova
chr1	30505000	30689000	183000	0.96302	75	22	9	9	22	8	HGDP01290	HGDP	Denisova	Denisova
chr1	30767000	30782000	14000	0.60919	6	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr1	53087000	53285000	197000	0.96881	56	23	9	9	14	13	HGDP01290	HGDP	Denisova	Denisova
chr1	57129000	57195000	65000	0.92214	28	15	0	0	15	0	HGDP01290	HGDP	Denisova	Denisova
chr1	193533000	193587000	53000	0.93528	17	9	0	0	9	0	HGDP01290	HGDP	Denisova	Denisova
chr20	900000	942000	41000	0.83339	21	6	1	1	6	0	HGDP01290	HGDP	Denisova	Denisova
chr22	29133000	29154000	20000	0.72075	7	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr22	47625000	47667000	41000	0.86229	23	9	1	1	9	1	HGDP01290	HGDP	Denisova	Denisova
chr22	48373000	48432000	58000	0.98251	48	19	0	0	19	0	HGDP01290	HGDP	Denisova	Denisova
chr22	48507000	48548000	40000	0.97253	24	7	2	2	7	2	HGDP01290	HGDP	Denisova	Denisova
chr22	48587000	48608000	20000	0.85653	20	3	1	1	3	1	HGDP01290	HGDP	Denisova	Denisova
chr22	49383000	49406000	22000	0.9409	16	8	0	0	8	0	HGDP01290	HGDP	Denisova	Denisova
chr2	19680000	19691000	10000	0.54494	5	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr2	25054000	25127000	72000	0.94151	15	2	0	0	2	0	HGDP01290	HGDP	Denisova	Denisova
chr2	33137000	33241000	103000	0.98736	71	34	0	1	34	1	HGDP01290	HGDP	Denisova	Denisova
chr2	46107000	46237000	129000	0.97471	60	37	1	1	37	1	HGDP01290	HGDP	Denisova	Denisova
chr2	79716000	79743000	26000	0.91815	11	5	2	2	3	1	HGDP01290	HGDP	Denisova	Denisova
chr2	232954000	233003000	48000	0.87791	11	3	0	0	3	0	HGDP01290	HGDP	Denisova	Denisova
chr3	105637000	105657000	19000	0.80585	7	3	0	0	3	0	HGDP01290	HGDP	Denisova	Denisova
chr4	4367000	4426000	58000	0.97517	29	9	2	2	9	3	HGDP01290	HGDP	Denisova	Denisova
chr4	37585000	37601000	15000	0.8425	7	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr4	38938000	38981000	42000	0.93199	34	16	1	2	16	1	HGDP01290	HGDP	Denisova	Denisova
chr4	142564000	142935000	370000	0.98803	144	35	3	3	35	3	HGDP01290	HGDP	Denisova	Denisova
chr4	149817000	150014000	196000	0.97402	62	2	0	0	2	0	HGDP01290	HGDP	Denisova	Denisova
chr4	175255000	175299000	43000	0.79175	13	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr4	187248000	187280000	31000	0.86369	11	5	2	0	5	0	HGDP01290	HGDP	Denisova	Denisova
chr5	83373000	83417000	43000	0.95581	18	2	0	0	2	0	HGDP01290	HGDP	Denisova	Denisova
chr5	90295000	90357000	61000	0.86118	17	4	3	3	4	3	HGDP01290	HGDP	Denisova	Denisova
chr5	135907000	136007000	99000	0.91778	25	2	1	1	2	1	HGDP01290	HGDP	Denisova	Denisova
chr6	51250000	51266000	15000	0.89585	11	3	0	0	3	0	HGDP01290	HGDP	Denisova	Denisova
chr6	80504000	80610000	105000	0.94162	39	2	0	0	2	0	HGDP01290	HGDP	Denisova	Denisova
chr6	106062000	106158000	95000	0.92132	30	4	1	1	3	1	HGDP01290	HGDP	Denisova	Denisova
chr6	138165000	138261000	95000	0.98043	50	12	2	2	12	2	HGDP01290	HGDP	Denisova	Denisova
chr6	139240000	139280000	39000	0.92737	15	4	0	0	4	0	HGDP01290	HGDP	Denisova	Denisova
chr7	14014000	14108000	93000	0.95499	50	15	1	1	15	0	HGDP01290	HGDP	Denisova	Denisova
chr7	33308000	33474000	165000	0.9464	39	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr7	36062000	36190000	127000	0.9017	35	11	7	7	11	7	HGDP01290	HGDP	Denisova	Denisova
chr7	43474000	43578000	103000	0.96948	33	5	1	1	5	0	HGDP01290	HGDP	Denisova	Denisova
chr7	105639000	105667000	27000	0.8338	8	1	0	0	1	0	HGDP01290	HGDP	Denisova	Denisova
chr7	125351000	125397000	45000	0.83006	15	8	0	0	8	0	HGDP01290	HGDP	Denisova	Denisova
chr8	116461000	116491000	29000	0.93823	22	6	0	0	6	0	HGDP01290	HGDP	Denisova	Denisova
chr9	109767000	109907000	139000	0.90051	49	20	16	17	18	16	HGDP01290	HGDP	Denisova	Denisova
chr10	6084000	6223000	138000	0.90254	79	13	5	3	10	5	HGDP01296	HGDP	Denisova	Denisova
chr10	21305000	21480000	174000	0.96473	51	10	5	5	10	5	HGDP01296	HGDP	Denisova	Denisova
chr10	43743000	43787000	43000	0.89013	15	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr10	128507000	128521000	13000	0.67032	7	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr11	95629000	95652000	22000	0.63299	6	3	1	1	3	1	HGDP01296	HGDP	Denisova	Denisova
chr11	130841000	131123000	281000	0.9606	103	45	18	18	45	11	HGDP01296	HGDP	Denisova	Denisova
chr11	134496000	134519000	22000	0.59546	6	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr12	4971000	4994000	22000	0.68227	7	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr12	52248000	52289000	40000	0.85836	12	5	2	2	5	0	HGDP01296	HGDP	Denisova	Denisova
chr13	79219000	79234000	14000	0.8341	9	3	2	2	3	2	HGDP01296	HGDP	Denisova	Denisova
chr13	113167000	113190000	22000	0.90897	15	5	2	2	5	2	HGDP01296	HGDP	Denisova	Denisova
chr14	33586000	33648000	61000	0.97228	26	13	0	4	13	4	HGDP01296	HGDP	Denisova	Denisova
chr14	98176000	98291000	114000	0.96504	57	6	5	5	6	5	HGDP01296	HGDP	Denisova	Denisova
chr14	98371000	98471000	99000	0.98483	57	30	1	1	30	1	HGDP01296	HGDP	Denisova	Denisova
chr15	27043000	27062000	18000	0.7197	9	3	2	2	3	2	HGDP01296	HGDP	Denisova	Denisova
chr15	100636000	100684000	47000	0.8487	20	9	4	4	5	4	HGDP01296	HGDP	Denisova	Denisova
chr16	21555000	21665000	109000	0.90951	40	12	10	10	12	10	HGDP01296	HGDP	Denisova	Denisova
chr17	49864000	49916000	51000	0.94172	22	14	6	6	14	6	HGDP01296	HGDP	Denisova	Denisova
chr17	80024000	80067000	42000	0.73327	12	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr18	8826000	8917000	90000	0.91816	21	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr1	30213000	30265000	51000	0.9256	28	13	9	9	11	9	HGDP01296	HGDP	Denisova	Denisova
chr1	30461000	30528000	66000	0.79333	17	4	3	3	4	3	HGDP01296	HGDP	Denisova	Denisova
chr1	47404000	47476000	71000	0.96973	23	11	1	1	11	1	HGDP01296	HGDP	Denisova	Denisova
chr1	53165000	53270000	104000	0.93834	28	12	6	4	12	4	HGDP01296	HGDP	Denisova	Denisova
chr1	57123000	57317000	193000	0.98562	103	55	16	17	55	17	HGDP01296	HGDP	Denisova	Denisova
chr1	167803000	167826000	22000	0.92598	13	5	0	0	5	0	HGDP01296	HGDP	Denisova	Denisova
chr1	228226000	228471000	244000	0.96752	94	32	1	2	32	2	HGDP01296	HGDP	Denisova	Denisova
chr1	234735000	234779000	43000	0.83108	14	4	2	1	4	1	HGDP01296	HGDP	Denisova	Denisova
chr1	240546000	240605000	58000	0.9458	34	14	1	1	14	1	HGDP01296	HGDP	Denisova	Denisova
chr21	16916000	16997000	80000	0.96401	31	13	0	1	13	0	HGDP01296	HGDP	Denisova	Denisova
chr21	17421000	17437000	15000	0.85569	7	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr21	30194000	30211000	16000	0.797	7	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr22	26075000	26125000	49000	0.97171	29	8	1	1	8	1	HGDP01296	HGDP	Denisova	Denisova
chr22	47773000	47874000	100000	0.97262	56	7	0	0	7	0	HGDP01296	HGDP	Denisova	Denisova
chr22	48348000	48415000	66000	0.98132	47	18	2	2	17	2	HGDP01296	HGDP	Denisova	Denisova
chr22	48640000	48686000	45000	0.96381	33	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr2	11677000	11710000	32000	0.91462	14	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr2	40431000	40486000	54000	0.92134	19	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr2	46084000	46101000	16000	0.84266	8	6	1	2	5	2	HGDP01296	HGDP	Denisova	Denisova
chr2	49319000	49421000	101000	0.89241	33	11	1	1	11	1	HGDP01296	HGDP	Denisova	Denisova
chr2	67537000	67572000	34000	0.9138	17	3	0	0	3	0	HGDP01296	HGDP	Denisova	Denisova
chr2	102697000	102784000	86000	0.92285	25	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr3	2942000	2972000	29000	0.94273	22	5	0	0	5	0	HGDP01296	HGDP	Denisova	Denisova
chr3	88054000	88222000	167000	0.93361	34	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr3	105574000	105764000	189000	0.8903	46	3	0	0	3	0	HGDP01296	HGDP	Denisova	Denisova
chr4	3676000	3722000	45000	0.77444	16	3	2	1	3	1	HGDP01296	HGDP	Denisova	Denisova
chr4	26040000	26090000	49000	0.9412	17	6	4	4	6	4	HGDP01296	HGDP	Denisova	Denisova
chr4	113066000	113100000	33000	0.88086	10	2	1	1	2	1	HGDP01296	HGDP	Denisova	Denisova
chr4	162562000	162831000	268000	0.97234	95	19	4	1	17	1	HGDP01296	HGDP	Denisova	Denisova
chr4	187057000	187083000	25000	0.77172	7	2	1	1	2	1	HGDP01296	HGDP	Denisova	Denisova
chr5	16420000	16483000	62000	0.92001	17	5	3	3	5	3	HGDP01296	HGDP	Denisova	Denisova
chr5	17154000	17185000	30000	0.71684	8	3	0	0	3	0	HGDP01296	HGDP	Denisova	Denisova
chr5	17258000	17325000	66000	0.9481	22	6	1	1	6	1	HGDP01296	HGDP	Denisova	Denisova
chr5	67801000	67827000	25000	0.90623	9	3	0	0	3	0	HGDP01296	HGDP	Denisova	Denisova
chr5	73926000	73993000	66000	0.92399	23	9	0	0	9	0	HGDP01296	HGDP	Denisova	Denisova
chr5	75820000	75937000	116000	0.92726	31	11	1	1	11	1	HGDP01296	HGDP	Denisova	Denisova
chr5	83375000	83417000	41000	0.94859	13	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr5	89912000	90112000	199000	0.98693	72	24	19	19	24	19	HGDP01296	HGDP	Denisova	Denisova
chr5	91359000	91490000	130000	0.97823	50	18	0	0	18	0	HGDP01296	HGDP	Denisova	Denisova
chr5	107798000	107823000	24000	0.80349	8	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr5	107855000	107927000	71000	0.93086	33	15	1	1	15	1	HGDP01296	HGDP	Denisova	Denisova
chr5	171572000	171583000	10000	0.63734	5	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr6	45577000	45825000	247000	0.98541	85	24	9	9	23	9	HGDP01296	HGDP	Denisova	Denisova
chr6	51250000	51266000	15000	0.89753	10	3	0	0	3	0	HGDP01296	HGDP	Denisova	Denisova
chr6	80510000	80598000	87000	0.9575	33	2	0	0	2	0	HGDP01296	HGDP	Denisova	Denisova
chr6	137555000	137686000	130000	0.97948	61	14	1	1	14	1	HGDP01296	HGDP	Denisova	Denisova
chr6	144449000	144500000	50000	0.95277	17	5	0	0	5	0	HGDP01296	HGDP	Denisova	Denisova
chr7	13937000	14152000	214000	0.9282	90	23	1	1	23	0	HGDP01296	HGDP	Denisova	Denisova
chr7	36082000	36167000	84000	0.95037	29	12	8	7	11	7	HGDP01296	HGDP	Denisova	Denisova
chr7	135368000	135763000	394000	0.99214	153	77	37	44	67	44	HGDP01296	HGDP	Denisova	Denisova
chr8	12764000	12843000	78000	0.96219	40	9	1	1	8	1	HGDP01296	HGDP	Denisova	Denisova
chr8	28483000	28588000	104000	0.96294	61	24	13	13	24	13	HGDP01296	HGDP	Denisova	Denisova
chr8	102816000	102907000	90000	0.93606	27	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr8	116460000	116495000	34000	0.90089	22	6	0	0	6	0	HGDP01296	HGDP	Denisova	Denisova
chr9	106311000	106376000	64000	0.96356	28	1	0	0	1	0	HGDP01296	HGDP	Denisova	Denisova
chr10	13698000	13741000	42000	0.91659	14	8	4	4	7	4	HGDP01289	HGDP	Denisova	Denisova
chr10	48277000	48465000	187000	0.97119	70	21	8	7	18	7	HGDP01289	HGDP	Denisova	Denisova
chr10	57801000	57818000	16000	0.65887	6	1	0	0	1	0	HGDP01289	HGDP	Denisova	Denisova
chr11	115800000	115878000	77000	0.95067	24	1	0	0	1	0	HGDP01289	HGDP	Denisova	Denisova
chr12	52249000	52288000	38000	0.69389	10	5	2	2	5	0	HGDP01289	HGDP	Denisova	Denisova
chr13	71219000	71270000	50000	0.96154	21	3	0	0	3	0	HGDP01289	HGDP	Denisova	Denisova
chr13	79219000	79234000	14000	0.83248	10	3	2	2	3	2	HGDP01289	HGDP	Denisova	Denisova
chr13	108356000	108391000	34000	0.67062	11	3	0	0	3	0	HGDP01289	HGDP	Denisova	Denisova
chr13	113147000	113191000	43000	0.92077	22	5	2	2	5	2	HGDP01289	HGDP	Denisova	Denisova
chr15	24789000	24812000	22000	0.91257	14	4	0	0	4	0	HGDP01289	HGDP	Denisova	Denisova
chr16	135000	168000	32000	0.7272	9	2	0	0	2	0	HGDP01289	HGDP	Denisova	Denisova
chr16	219000	322000	102000	0.93841	30	7	0	0	7	0	HGDP01289	HGDP	Denisova	Denisova
chr16	21553000	21717000	163000	0.92938	53	17	13	13	17	13	HGDP01289	HGDP	Denisova	Denisova
