chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1704000	1719000	15000	0.7784	8	5	0	3	0	5	HGDP00338	HGDP	Vindija	Neanderthal
chr10	2050000	2055000	5000	0.50386	3	2	1	1	0	2	HGDP00338	HGDP	Vindija	Neanderthal
chr10	4211000	4261000	50000	0.97997	29	17	14	17	8	17	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	5586000	5618000	32000	0.93252	16	5	2	3	1	3	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	7302000	7504000	202000	0.9832	84	34	25	22	3	31	HGDP00338	HGDP	Vindija	Neanderthal
chr10	7540000	7564000	24000	0.8425	10	2	2	2	1	2	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	7705000	7744000	39000	0.90499	12	3	3	1	0	3	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	9608000	9738000	130000	0.98384	54	29	24	29	16	24	HGDP00338	HGDP	Chagyrskaya	Neanderthal
chr10	11833000	11918000	85000	0.95621	37	13	12	12	1	13	HGDP00338	HGDP	Vindija	Neanderthal
chr10	13234000	13380000	146000	0.94088	39	11	8	11	3	11	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	13732000	13827000	95000	0.96452	76	36	36	34	4	33	HGDP00338	HGDP	Altai	Neanderthal
chr10	14145000	14351000	206000	0.99173	89	40	35	38	18	38	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	17384000	17515000	131000	0.94674	47	16	15	12	3	16	HGDP00338	HGDP	Vindija	Neanderthal
chr10	17537000	17565000	28000	0.68665	8	2	2	2	0	2	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	24991000	25078000	87000	0.94285	24	11	9	11	0	8	HGDP00338	HGDP	Chagyrskaya	Neanderthal
chr10	25093000	25121000	28000	0.86029	12	7	7	6	3	6	HGDP00338	HGDP	Altai	Neanderthal
chr10	25733000	25868000	135000	0.94548	43	15	12	13	0	15	HGDP00338	HGDP	Vindija	Neanderthal
chr10	28735000	28784000	49000	0.87063	11	4	4	0	0	4	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	28965000	29079000	114000	0.9392	49	24	14	18	11	24	HGDP00338	HGDP	Vindija	Neanderthal
chr10	30283000	30309000	26000	0.82734	8	3	1	3	1	0	HGDP00338	HGDP	Chagyrskaya	Neanderthal
chr10	30330000	30368000	38000	0.83646	16	6	1	6	1	3	HGDP00338	HGDP	Chagyrskaya	Neanderthal
chr10	36831000	37013000	182000	0.92984	39	10	9	10	2	9	HGDP00338	HGDP	Chagyrskaya	Neanderthal
chr10	42726000	42770000	44000	0.83812	8	1	1	1	0	1	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	42946000	43060000	114000	0.97151	70	27	22	27	4	27	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	43619000	43836000	217000	0.9834	106	56	49	53	30	56	HGDP00338	HGDP	Vindija	Neanderthal
chr10	61172000	61276000	104000	0.9825	36	12	11	11	3	12	HGDP00338	HGDP	Vindija	Neanderthal
chr10	62294000	62435000	141000	0.94625	35	14	7	7	0	14	HGDP00338	HGDP	Vindija	Neanderthal
chr10	62500000	62543000	43000	0.92587	13	5	5	5	3	1	HGDP00338	HGDP	AmbigNean	Neanderthal
chr10	64752000	64808000	56000	0.90019	23	16	15	13	0	16	HGDP00338	HGDP	Vindija	Neanderthal
chr10	64843000	64916000	73000	0.88697	17	6	5	0	0	6	HGDP00338	HGDP	Vindija	Neanderthal
chr10	65833000	65913000	80000	0.76941	20	4	4	4	3	4	HGDP00338	HGDP	AmbigNean	Neanderthal
