chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	43741000	43783000	42000	0.87573	12	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr10	51305000	51387000	82000	0.97202	27	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr10	114725000	114753000	28000	0.90162	10	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr11	4118000	4210000	92000	0.91137	20	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr11	64275000	64350000	75000	0.8291	13	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr12	115896000	115949000	53000	0.86864	18	2	1	1	2	1	HGDP01071	HGDP	Denisova	Denisova
chr16	87674000	87701000	27000	0.72733	9	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr19	48027000	48046000	19000	0.81612	8	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr1	9249000	9305000	56000	0.71495	14	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr1	57750000	57778000	28000	0.87167	13	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr20	45729000	45747000	18000	0.64182	5	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr3	125458000	125590000	132000	0.92962	52	15	0	0	15	0	HGDP01071	HGDP	Denisova	Denisova
chr6	1366000	1393000	27000	0.71304	8	2	0	0	2	0	HGDP01071	HGDP	Denisova	Denisova
chr6	80517000	80596000	79000	0.96317	38	2	0	0	2	0	HGDP01071	HGDP	Denisova	Denisova
chr8	55906000	56003000	97000	0.89957	22	2	0	0	2	0	HGDP01071	HGDP	Denisova	Denisova
chr8	91036000	91226000	190000	0.92757	44	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr8	116456000	116489000	33000	0.95376	25	6	0	0	6	0	HGDP01071	HGDP	Denisova	Denisova
chr9	106310000	106380000	70000	0.9594	25	1	0	0	1	0	HGDP01071	HGDP	Denisova	Denisova
chr10	8186000	8321000	135000	0.97973	54	14	5	5	14	5	HGDP01062	HGDP	Denisova	Denisova
chr10	55425000	55434000	9000	0.75773	6	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr11	24752000	24805000	53000	0.91895	27	13	11	11	12	10	HGDP01062	HGDP	Denisova	Denisova
chr13	51689000	51774000	85000	0.89351	29	4	0	0	4	0	HGDP01062	HGDP	Denisova	Denisova
chr13	85694000	85706000	12000	0.556	6	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr13	91412000	91475000	63000	0.9002	38	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr16	7730000	7787000	57000	0.96943	62	4	0	0	4	0	HGDP01062	HGDP	Denisova	Denisova
chr16	9014000	9053000	39000	0.76454	10	5	0	0	5	0	HGDP01062	HGDP	Denisova	Denisova
chr16	62744000	62823000	79000	0.93314	20	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr16	87623000	87638000	15000	0.60771	8	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr18	8846000	8866000	20000	0.81025	8	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr1	9263000	9295000	32000	0.90309	12	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr2	17060000	17096000	36000	0.89264	11	2	0	0	2	0	HGDP01062	HGDP	Denisova	Denisova
chr2	67509000	67650000	141000	0.89338	58	3	1	0	2	0	HGDP01062	HGDP	Denisova	Denisova
chr2	111879000	112060000	181000	0.93301	38	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr2	119272000	119320000	48000	0.9435	14	2	0	0	2	0	HGDP01062	HGDP	Denisova	Denisova
chr4	182475000	182558000	83000	0.91643	20	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr8	4136000	4158000	22000	0.82168	13	2	0	0	2	0	HGDP01062	HGDP	Denisova	Denisova
chr8	55960000	55998000	38000	0.83144	11	2	0	0	2	0	HGDP01062	HGDP	Denisova	Denisova
chr8	116462000	116494000	32000	0.9165	22	6	0	0	6	0	HGDP01062	HGDP	Denisova	Denisova
chr9	106310000	106372000	62000	0.93749	22	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chrX	45225000	45262000	37000	0.89336	15	1	0	0	1	0	HGDP01062	HGDP	Denisova	Denisova
chr10	8118000	8230000	112000	0.97412	53	16	13	13	16	13	HGDP01079	HGDP	Denisova	Denisova
chr10	55424000	55467000	43000	0.95558	37	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr11	120278000	120293000	15000	0.73701	6	2	0	0	2	0	HGDP01079	HGDP	Denisova	Denisova
chr13	51707000	51777000	70000	0.84506	25	4	0	0	4	0	HGDP01079	HGDP	Denisova	Denisova
chr15	56291000	56431000	140000	0.8365	27	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr16	9014000	9053000	39000	0.77092	9	4	0	0	4	0	HGDP01079	HGDP	Denisova	Denisova
chr17	66255000	66320000	65000	0.82734	22	10	0	1	10	1	HGDP01079	HGDP	Denisova	Denisova
chr17	75045000	75216000	171000	0.96803	45	6	5	5	6	5	HGDP01079	HGDP	Denisova	Denisova
chr17	80020000	80037000	17000	0.7726	7	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr18	49629000	49655000	26000	0.7095	8	2	0	0	2	0	HGDP01079	HGDP	Denisova	Denisova
chr19	33845000	33865000	20000	0.81581	7	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr1	57744000	57769000	25000	0.87364	12	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr1	147259000	147372000	113000	0.94899	31	2	0	0	2	0	HGDP01079	HGDP	Denisova	Denisova
chr1	240122000	240139000	17000	0.83974	10	3	0	0	3	0	HGDP01079	HGDP	Denisova	Denisova
chr21	30190000	30207000	17000	0.84121	8	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr2	68898000	68913000	15000	0.81714	7	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr3	127772000	127796000	24000	0.82225	8	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr4	182457000	182551000	94000	0.87693	20	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr5	161396000	161438000	42000	0.82892	13	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr6	52975000	52991000	16000	0.84414	8	2	0	0	2	0	HGDP01079	HGDP	Denisova	Denisova
chr8	8511000	8536000	25000	0.89176	10	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr9	132716000	132725000	9000	0.60444	5	1	0	0	1	0	HGDP01079	HGDP	Denisova	Denisova
chr10	51303000	51384000	81000	0.95612	26	1	0	0	1	0	HGDP01063	HGDP	Denisova	Denisova
chr10	55425000	55466000	41000	0.97271	35	1	0	0	1	0	HGDP01063	HGDP	Denisova	Denisova
chr11	408000	442000	34000	0.92537	13	2	0	0	2	0	HGDP01063	HGDP	Denisova	Denisova
