chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1700000	1776000	76000	0.89905	32	17	8	14	0	17	HGDP01322	HGDP	Vindija	Neanderthal
chr10	2015000	2036000	21000	0.64472	7	3	2	2	0	3	HGDP01322	HGDP	Vindija	Neanderthal
chr10	2440000	2594000	154000	0.91857	85	34	34	33	1	33	HGDP01322	HGDP	Altai	Neanderthal
chr10	5550000	5618000	68000	0.97249	37	18	12	15	0	16	HGDP01322	HGDP	Vindija	Neanderthal
chr10	5724000	5834000	110000	0.9672	29	13	12	13	0	12	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	6963000	7009000	46000	0.98133	29	17	12	13	3	17	HGDP01322	HGDP	Vindija	Neanderthal
chr10	7070000	7116000	46000	0.89174	14	5	1	1	0	5	HGDP01322	HGDP	Vindija	Neanderthal
chr10	11349000	11384000	35000	0.95443	15	9	8	8	1	8	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	12200000	12297000	97000	0.95831	30	14	10	6	0	14	HGDP01322	HGDP	Vindija	Neanderthal
chr10	12405000	12444000	39000	0.76516	9	3	3	3	0	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	13698000	13734000	36000	0.96136	33	17	17	17	2	17	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	13794000	13809000	15000	0.80821	9	3	3	1	0	1	HGDP01322	HGDP	Altai	Neanderthal
chr10	14024000	14121000	97000	0.97759	44	20	16	19	13	18	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	14655000	14696000	41000	0.95677	24	13	10	10	4	13	HGDP01322	HGDP	Vindija	Neanderthal
chr10	20330000	20378000	48000	0.9088	34	13	11	12	0	11	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	20962000	20991000	29000	0.68664	10	2	2	2	1	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	23364000	23490000	126000	0.91323	26	12	8	10	2	11	HGDP01322	HGDP	Vindija	Neanderthal
chr10	24429000	24471000	42000	0.95716	20	13	11	11	0	13	HGDP01322	HGDP	Vindija	Neanderthal
chr10	27782000	27907000	125000	0.89743	23	9	7	6	0	8	HGDP01322	HGDP	Vindija	Neanderthal
chr10	27920000	27965000	45000	0.85188	10	4	3	4	0	3	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	29674000	29711000	37000	0.94909	20	11	11	11	0	11	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	30329000	30370000	41000	0.86782	16	6	1	6	1	3	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	61797000	61838000	41000	0.943	12	4	3	3	0	4	HGDP01322	HGDP	Vindija	Neanderthal
chr10	62504000	62580000	76000	0.92698	27	14	14	14	3	10	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	62677000	62762000	85000	0.89374	33	9	7	9	0	7	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	63239000	63396000	157000	0.95039	34	13	8	13	0	8	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	63444000	63644000	200000	0.97053	47	21	17	19	1	15	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	64540000	64721000	181000	0.92483	45	20	20	20	1	20	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	65333000	65954000	621000	0.98987	248	111	98	105	28	104	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	66849000	66984000	135000	0.93116	32	18	10	17	1	17	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	67233000	67574000	341000	0.97674	105	47	45	44	1	47	HGDP01322	HGDP	Vindija	Neanderthal
chr10	69912000	69967000	55000	0.9303	24	14	10	8	1	14	HGDP01322	HGDP	Vindija	Neanderthal
chr10	70313000	70369000	56000	0.91866	17	6	6	6	1	6	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	71729000	71748000	19000	0.89907	16	9	9	7	7	7	HGDP01322	HGDP	Altai	Neanderthal
chr10	77448000	77611000	163000	0.96994	75	30	25	22	4	30	HGDP01322	HGDP	Vindija	Neanderthal
chr10	83965000	84015000	50000	0.9352	17	8	7	8	0	7	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	84693000	84741000	48000	0.95025	16	3	3	2	0	3	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	89435000	89498000	63000	0.94592	20	10	10	10	0	10	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	108142000	108427000	285000	0.96905	105	53	53	45	0	50	HGDP01322	HGDP	Altai	Neanderthal
chr10	110412000	110435000	23000	0.60296	7	4	4	4	0	4	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	119496000	119517000	21000	0.78719	7	5	5	5	0	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	120724000	120754000	30000	0.92736	15	10	9	10	2	10	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	121204000	121275000	71000	0.94316	30	15	15	12	2	12	HGDP01322	HGDP	Altai	Neanderthal
chr10	121433000	121478000	45000	0.90847	19	11	10	11	0	11	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	122251000	122439000	188000	0.97791	57	28	22	26	8	26	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	122748000	122768000	20000	0.80767	8	2	2	2	0	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	123132000	123194000	62000	0.96285	27	12	9	12	0	11	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr10	123558000	123646000	88000	0.98562	43	17	16	16	0	16	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	123726000	123736000	10000	0.68092	6	4	2	4	2	4	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	123895000	123943000	48000	0.91823	21	11	8	11	2	11	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	124467000	124499000	32000	0.94253	24	7	7	0	1	7	HGDP01322	HGDP	AmbigNean	Neanderthal
chr10	129782000	129802000	20000	0.90482	15	7	2	2	0	7	HGDP01322	HGDP	Vindija	Neanderthal
chr10	130129000	130253000	124000	0.96851	72	22	15	22	1	18	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	11971000	11990000	19000	0.86608	10	2	2	2	0	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	13777000	13842000	65000	0.93992	43	1	1	0	0	0	HGDP01322	HGDP	Altai	Neanderthal
chr11	19846000	19955000	109000	0.90386	31	13	12	11	2	13	HGDP01322	HGDP	Vindija	Neanderthal
chr11	20309000	20335000	26000	0.66603	7	5	4	5	0	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	20354000	20662000	308000	0.97216	105	39	27	39	14	30	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	21415000	21594000	179000	0.97169	122	66	59	66	0	66	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	21754000	22271000	517000	0.98213	191	84	75	84	0	75	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	22522000	22668000	146000	0.96485	79	44	41	41	0	44	HGDP01322	HGDP	Vindija	Neanderthal
chr11	23148000	23402000	254000	0.94097	72	31	24	31	3	17	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	23431000	23502000	71000	0.88864	19	8	6	8	1	6	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	23519000	23554000	35000	0.82554	13	9	9	9	6	9	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	35542000	35617000	75000	0.96364	41	16	14	16	1	16	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	35973000	36098000	125000	0.91372	43	16	13	12	10	10	HGDP01322	HGDP	Altai	Neanderthal
chr11	36128000	36176000	48000	0.8645	14	5	5	5	0	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	37274000	37469000	195000	0.89884	56	16	6	16	0	0	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	42491000	42515000	24000	0.7117	7	4	0	1	0	4	HGDP01322	HGDP	Vindija	Neanderthal
chr11	42617000	42666000	49000	0.97222	35	16	0	0	0	16	HGDP01322	HGDP	Vindija	Neanderthal
chr11	44757000	44791000	34000	0.92019	15	5	5	5	1	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	59272000	59472000	200000	0.97053	61	20	17	10	7	15	HGDP01322	HGDP	Altai	Neanderthal
chr11	69112000	69161000	49000	0.95057	21	5	5	5	0	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	69297000	69304000	7000	0.73248	6	1	0	1	0	1	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	71091000	71214000	123000	0.95461	34	12	8	4	0	12	HGDP01322	HGDP	Vindija	Neanderthal
chr11	72203000	72229000	26000	0.82653	8	3	0	3	0	1	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	98578000	98843000	265000	0.97555	79	21	19	21	2	20	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	99166000	99400000	234000	0.92862	75	31	14	25	0	30	HGDP01322	HGDP	Vindija	Neanderthal
chr11	99432000	99446000	14000	0.6507	6	3	3	3	1	3	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	99478000	99678000	200000	0.92165	74	31	29	31	9	31	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	100363000	100542000	179000	0.98642	60	19	18	17	2	19	HGDP01322	HGDP	Vindija	Neanderthal
chr11	100569000	100883000	314000	0.99058	108	51	48	51	4	47	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr11	101306000	101403000	97000	0.95691	30	11	8	9	1	11	HGDP01322	HGDP	Vindija	Neanderthal
chr11	102805000	102939000	134000	0.91802	42	16	13	14	0	14	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	103579000	103600000	21000	0.89661	14	4	4	4	1	4	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	116438000	116467000	29000	0.9151	12	4	4	2	0	2	HGDP01322	HGDP	Altai	Neanderthal
chr11	116608000	116633000	25000	0.70032	8	1	1	1	0	1	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	117665000	117703000	38000	0.81255	11	7	6	7	2	7	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	118919000	118958000	39000	0.89645	9	3	2	1	0	3	HGDP01322	HGDP	Vindija	Neanderthal
chr11	119701000	119797000	96000	0.95104	30	12	3	2	0	12	HGDP01322	HGDP	Vindija	Neanderthal
chr11	119898000	120073000	175000	0.98414	88	46	35	41	0	46	HGDP01322	HGDP	Vindija	Neanderthal
chr11	120209000	120632000	423000	0.97948	123	49	39	29	1	35	HGDP01322	HGDP	Altai	Neanderthal
chr11	120683000	120786000	103000	0.97914	32	11	11	11	4	10	HGDP01322	HGDP	AmbigNean	Neanderthal
chr11	122726000	122911000	185000	0.93016	43	11	7	6	4	11	HGDP01322	HGDP	Vindija	Neanderthal
chr12	3627000	3735000	108000	0.88954	28	13	7	13	0	7	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr12	7782000	7824000	42000	0.70213	7	1	1	1	0	1	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	13456000	13495000	39000	0.79408	12	6	6	5	0	6	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	15412000	15502000	90000	0.95352	33	6	6	6	0	6	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	16426000	16537000	111000	0.97836	47	26	21	25	3	26	HGDP01322	HGDP	Vindija	Neanderthal
chr12	23954000	24145000	191000	0.98013	79	41	34	39	9	38	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr12	24274000	24304000	30000	0.93704	14	8	7	7	0	8	HGDP01322	HGDP	Vindija	Neanderthal
chr12	24993000	25023000	30000	0.86839	19	11	11	11	7	11	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	25335000	25361000	26000	0.77945	8	3	3	3	0	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	26857000	26937000	80000	0.92481	23	5	5	5	4	5	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	27683000	27839000	156000	0.94088	40	14	11	14	7	13	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr12	29503000	29518000	15000	0.75267	7	3	3	3	2	2	HGDP01322	HGDP	AmbigNean	Neanderthal
chr12	30043000	30129000	86000	0.98623	58	15	13	15	5	14	HGDP01322	HGDP	Chagyrskaya	Neanderthal
chr12	31764000	31935000	171000	0.92619	36	14	10	14	3	11	HGDP01322	HGDP	Chagyrskaya	Neanderthal
