chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	6056000	6166000	109000	0.96959	41	11	5	4	10	5	HGDP01212	HGDP	Denisova	Denisova
chr10	7559000	7583000	23000	0.8895	10	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr10	71310000	71342000	31000	0.92488	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr11	2621000	2718000	96000	0.97303	55	28	18	18	28	18	HGDP01212	HGDP	Denisova	Denisova
chr11	3130000	3191000	60000	0.80209	18	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr11	36376000	36431000	54000	0.82119	18	10	1	1	10	1	HGDP01212	HGDP	Denisova	Denisova
chr11	123575000	123629000	53000	0.97213	29	6	1	1	6	1	HGDP01212	HGDP	Denisova	Denisova
chr11	130840000	130872000	31000	0.92122	11	6	1	1	6	1	HGDP01212	HGDP	Denisova	Denisova
chr11	134464000	134529000	64000	0.87913	16	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr12	15518000	15594000	75000	0.94344	36	14	8	8	14	8	HGDP01212	HGDP	Denisova	Denisova
chr12	15608000	15728000	119000	0.93905	27	5	3	3	5	3	HGDP01212	HGDP	Denisova	Denisova
chr13	23400000	23619000	218000	0.98097	101	18	11	2	16	2	HGDP01212	HGDP	Denisova	Denisova
chr13	111008000	111156000	147000	0.97251	54	10	2	2	9	2	HGDP01212	HGDP	Denisova	Denisova
chr13	113279000	113294000	14000	0.76164	9	3	2	2	3	2	HGDP01212	HGDP	Denisova	Denisova
chr14	97978000	98522000	543000	0.99363	258	120	17	15	120	14	HGDP01212	HGDP	Denisova	Denisova
chr15	24735000	24791000	55000	0.95853	30	10	0	0	10	0	HGDP01212	HGDP	Denisova	Denisova
chr15	25763000	25776000	12000	0.61173	6	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr15	26962000	26979000	16000	0.77478	8	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr15	62854000	62925000	70000	0.9052	24	8	5	4	6	5	HGDP01212	HGDP	Denisova	Denisova
chr16	212000	551000	338000	0.78285	55	12	3	3	12	3	HGDP01212	HGDP	Denisova	Denisova
chr16	21223000	21280000	56000	0.78977	12	5	2	2	5	2	HGDP01212	HGDP	Denisova	Denisova
chr16	22272000	22459000	186000	0.93812	56	20	0	0	20	0	HGDP01212	HGDP	Denisova	Denisova
chr16	22697000	22703000	5000	0.5091	2	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58515000	58564000	48000	0.75468	10	5	0	0	5	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58589000	58649000	59000	0.79774	11	6	0	0	6	0	HGDP01212	HGDP	Denisova	Denisova
chr16	58868000	58940000	71000	0.88796	16	4	0	0	4	0	HGDP01212	HGDP	Denisova	Denisova
chr17	14008000	14231000	222000	0.9758	83	22	13	13	22	13	HGDP01212	HGDP	Denisova	Denisova
chr17	19581000	19704000	122000	0.94828	31	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr17	73090000	73104000	13000	0.72087	6	2	1	1	2	1	HGDP01212	HGDP	Denisova	Denisova
chr18	555000	575000	19000	0.88963	8	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr18	8846000	8907000	60000	0.92217	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr1	30175000	30225000	49000	0.80538	13	4	1	1	4	1	HGDP01212	HGDP	Denisova	Denisova
chr1	47192000	47237000	44000	0.92771	23	12	0	0	12	0	HGDP01212	HGDP	Denisova	Denisova
chr1	53153000	53270000	116000	0.93699	29	12	6	4	12	4	HGDP01212	HGDP	Denisova	Denisova
chr1	193539000	193587000	47000	0.94603	16	9	0	0	9	0	HGDP01212	HGDP	Denisova	Denisova
chr20	907000	942000	34000	0.89354	15	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr21	16567000	16630000	62000	0.95091	25	13	2	2	13	2	HGDP01212	HGDP	Denisova	Denisova
chr22	47463000	47493000	29000	0.96706	24	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr22	48453000	48470000	16000	0.82314	12	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr2	19574000	19718000	143000	0.93365	43	1	0	0	1	0	HGDP01212	HGDP	Denisova	Denisova
chr2	39796000	39854000	57000	0.9788	23	9	7	7	9	7	HGDP01212	HGDP	Denisova	Denisova
chr2	136275000	136410000	134000	0.95124	39	4	1	1	4	1	HGDP01212	HGDP	Denisova	Denisova
chr2	172259000	172267000	7000	0.52921	4	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr2	188755000	188865000	109000	0.92058	31	2	0	0	2	0	HGDP01212	HGDP	Denisova	Denisova
chr2	223215000	223387000	171000	0.95943	53	10	4	5	10	1	HGDP01212	HGDP	Denisova	Denisova
chr2	227663000	227707000	43000	0.91827	15	3	0	0	3	0	HGDP01212	HGDP	Denisova	Denisova
chr3	14304000	14409000	104000	0.8583	33	8	5	5	6	5	HGDP01212	HGDP	Denisova	Denisova
chr3	105658000	105889000	230000	0.96941	65	32	4	4	32	4	HGDP01212	HGDP	Denisova	Denisova
chr4	3765000	3822000	56000	0.93411	27	11	3	3	11	3	HGDP01212	HGDP	Denisova	Denisova
chr4	7359000	7371000	11000	0.86025	11	4	2	2	4	2	HGDP01212	HGDP	Denisova	Denisova
chr4	23472000	23563000	90000	0.94077	34	10	3	3	10	3	HGDP01212	HGDP	Denisova	Denisova
chr4	29129000	29296000	166000	0.98125	62	17	0	0	17	0	HGDP01212	HGDP	Denisova	Denisova
chr4	112510000	112672000	161000	0.95517	33	11	0	0	11	0	HGDP01212	HGDP	Denisova	Denisova
chr4	175275000	175646000	370000	0.98608	153	50	1	1	50	1	HGDP01212	HGDP	Denisova	Denisova
