chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	10536000	10587000	50000	0.85354	14	6	0	0	6	0	HGDP01056	HGDP	Denisova	Denisova
chr10	13193000	13249000	55000	0.82326	12	3	0	0	3	0	HGDP01056	HGDP	Denisova	Denisova
chr10	61800000	61841000	40000	0.94311	19	5	0	0	5	0	HGDP01056	HGDP	Denisova	Denisova
chr10	89256000	89311000	54000	0.9486	15	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr10	112836000	113065000	228000	0.97883	76	33	6	9	33	5	HGDP01056	HGDP	Denisova	Denisova
chr11	5549000	5564000	14000	0.92068	11	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr11	115790000	115864000	73000	0.81963	22	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr12	114222000	114294000	71000	0.79495	18	3	1	1	3	1	HGDP01056	HGDP	Denisova	Denisova
chr13	105910000	105931000	20000	0.88375	11	7	1	1	7	1	HGDP01056	HGDP	Denisova	Denisova
chr13	105951000	106000000	48000	0.91636	21	17	0	0	17	0	HGDP01056	HGDP	Denisova	Denisova
chr13	114044000	114117000	72000	0.92622	30	9	1	1	8	1	HGDP01056	HGDP	Denisova	Denisova
chr14	34189000	34223000	33000	0.95284	13	5	0	0	5	0	HGDP01056	HGDP	Denisova	Denisova
chr14	98368000	98523000	154000	0.99294	138	81	14	14	57	25	HGDP01056	HGDP	Denisova	Denisova
chr16	7994000	8000000	5000	0.61982	6	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr16	17218000	17312000	93000	0.96515	34	4	0	1	4	1	HGDP01056	HGDP	Denisova	Denisova
chr16	62732000	62824000	91000	0.96213	27	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr17	19546000	19576000	29000	0.87004	8	3	1	1	3	1	HGDP01056	HGDP	Denisova	Denisova
chr17	49885000	49915000	29000	0.75743	9	4	2	2	4	2	HGDP01056	HGDP	Denisova	Denisova
chr17	66255000	66277000	21000	0.88022	15	10	0	1	10	1	HGDP01056	HGDP	Denisova	Denisova
chr17	79651000	79744000	92000	0.95978	32	14	1	1	14	1	HGDP01056	HGDP	Denisova	Denisova
chr17	80021000	80068000	46000	0.95287	16	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr18	8842000	8907000	64000	0.91633	15	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr19	51529000	51644000	114000	0.98145	108	7	4	5	6	5	HGDP01056	HGDP	Denisova	Denisova
chr1	57744000	57769000	24000	0.85383	10	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr1	61405000	61645000	239000	0.94469	68	24	6	7	24	6	HGDP01056	HGDP	Denisova	Denisova
chr21	16986000	17092000	105000	0.93635	32	19	5	5	19	5	HGDP01056	HGDP	Denisova	Denisova
chr21	18026000	18043000	16000	0.87884	8	3	0	0	3	0	HGDP01056	HGDP	Denisova	Denisova
chr22	47287000	47323000	35000	0.89535	15	2	0	0	2	0	HGDP01056	HGDP	Denisova	Denisova
chr22	48508000	48576000	67000	0.94141	33	8	3	3	8	3	HGDP01056	HGDP	Denisova	Denisova
chr2	11647000	11693000	45000	0.94672	23	7	3	3	5	3	HGDP01056	HGDP	Denisova	Denisova
chr2	49398000	49435000	36000	0.85921	12	1	0	0	1	0	HGDP01056	HGDP	Denisova	Denisova
chr2	67549000	67606000	56000	0.82328	18	3	0	0	3	0	HGDP01056	HGDP	Denisova	Denisova
chr2	70917000	70940000	22000	0.81373	12	5	1	1	4	1	HGDP01056	HGDP	Denisova	Denisova
chr2	232689000	232946000	256000	0.94655	62	11	2	2	11	2	HGDP01056	HGDP	Denisova	Denisova
chr3	105901000	105982000	80000	0.96311	24	8	0	0	8	0	HGDP01056	HGDP	Denisova	Denisova
