chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1949000	2036000	87000	0.96272	51	24	23	23	2	24	HGDP00660	HGDP	Vindija	Neanderthal
chr10	3945000	4131000	186000	0.98738	76	41	26	34	3	40	HGDP00660	HGDP	Vindija	Neanderthal
chr10	5509000	5526000	17000	0.83578	8	5	5	5	0	4	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	5587000	6032000	445000	0.98586	212	72	43	43	37	39	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	11444000	11652000	208000	0.97288	67	30	25	30	2	30	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	14055000	14095000	40000	0.915	17	4	4	4	3	4	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	14279000	14312000	33000	0.8142	11	5	4	4	1	5	HGDP00660	HGDP	Vindija	Neanderthal
chr10	14481000	14646000	165000	0.9062	49	25	23	24	5	22	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr10	20427000	20478000	51000	0.9595	16	11	8	8	0	11	HGDP00660	HGDP	Vindija	Neanderthal
chr10	24368000	24433000	65000	0.89965	18	8	6	6	4	1	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	29539000	29603000	64000	0.91766	21	7	7	7	4	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	35540000	35656000	116000	0.75181	30	6	6	6	0	6	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	42472000	42787000	315000	0.98386	55	5	0	0	0	5	HGDP00660	HGDP	Vindija	Neanderthal
chr10	43035000	43525000	490000	0.95197	152	59	46	59	11	53	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr10	44872000	44889000	17000	0.89777	11	8	5	8	0	8	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	62501000	62544000	43000	0.93919	13	6	6	6	3	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	62691000	62881000	190000	0.95937	54	23	21	23	6	21	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr10	62935000	63092000	157000	0.97306	46	20	15	18	1	18	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	64566000	64720000	154000	0.97819	48	17	17	17	0	17	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	65790000	65833000	43000	0.93905	22	10	10	6	6	10	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	66317000	66388000	71000	0.95499	24	14	13	14	0	14	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	66504000	66520000	16000	0.74827	7	3	3	3	0	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	68713000	69031000	318000	0.95983	64	26	23	26	4	26	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	69318000	69378000	60000	0.87299	14	5	5	4	0	4	HGDP00660	HGDP	Altai	Neanderthal
chr10	69659000	69686000	27000	0.93326	22	12	12	12	10	12	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	69835000	69856000	21000	0.57011	8	3	2	3	1	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	69963000	70101000	138000	0.96303	39	20	19	18	2	19	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	84268000	84574000	306000	0.96179	106	36	36	33	5	4	HGDP00660	HGDP	Altai	Neanderthal
chr10	84909000	85086000	177000	0.98309	59	28	24	26	4	28	HGDP00660	HGDP	Vindija	Neanderthal
chr10	111753000	111814000	61000	0.90901	19	13	13	13	3	13	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	118755000	118906000	151000	0.95485	36	13	12	12	0	13	HGDP00660	HGDP	Vindija	Neanderthal
chr10	119399000	119487000	88000	0.94319	39	19	14	19	1	18	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr10	120124000	120138000	14000	0.58699	6	2	2	2	0	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	121604000	121658000	54000	0.92708	20	8	8	8	2	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	123803000	123846000	43000	0.90308	13	7	7	7	1	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	128748000	128835000	87000	0.77557	25	2	2	2	1	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	129930000	129947000	17000	0.85939	9	7	3	6	0	7	HGDP00660	HGDP	Vindija	Neanderthal
chr10	131368000	131402000	34000	0.95075	16	8	6	8	2	8	HGDP00660	HGDP	AmbigNean	Neanderthal
chr10	131561000	131685000	124000	0.97847	51	15	15	14	14	15	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	4545000	4628000	83000	0.87976	32	10	7	7	5	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	11377000	11389000	12000	0.84757	8	5	3	5	1	5	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	11485000	11539000	54000	0.92364	18	3	3	3	0	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	11636000	11680000	44000	0.81165	13	7	5	7	0	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	11976000	12004000	28000	0.88258	12	2	2	2	0	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	19580000	19682000	102000	0.96354	47	23	21	23	7	23	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	23524000	23535000	11000	0.73935	6	1	1	1	0	1	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	36197000	36229000	32000	0.95833	35	14	13	14	9	14	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	36411000	36432000	21000	0.85597	16	8	5	5	3	8	HGDP00660	HGDP	Vindija	Neanderthal
chr11	59421000	59472000	51000	0.92925	14	7	7	0	0	4	HGDP00660	HGDP	Altai	Neanderthal
chr11	69572000	69613000	41000	0.93375	22	10	9	9	6	10	HGDP00660	HGDP	Vindija	Neanderthal
chr11	69789000	69876000	87000	0.96209	46	24	18	18	5	23	HGDP00660	HGDP	Vindija	Neanderthal
chr11	69969000	69995000	26000	0.84472	11	3	3	3	0	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	89336000	89476000	140000	0.94392	47	25	24	1	5	25	HGDP00660	HGDP	Vindija	Neanderthal
chr11	96802000	96975000	173000	0.97178	84	32	26	32	16	31	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr11	97160000	97254000	94000	0.96518	44	23	20	22	9	23	HGDP00660	HGDP	Vindija	Neanderthal
chr11	97413000	97685000	272000	0.98263	123	45	36	38	8	44	HGDP00660	HGDP	Vindija	Neanderthal
chr11	97993000	98014000	21000	0.60972	7	5	4	5	0	5	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	99964000	100011000	47000	0.94912	30	11	8	6	0	11	HGDP00660	HGDP	Vindija	Neanderthal
chr11	100198000	100262000	64000	0.96095	24	16	9	6	1	16	HGDP00660	HGDP	Vindija	Neanderthal
chr11	100543000	100746000	203000	0.97783	72	36	33	36	4	33	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr11	101304000	101404000	100000	0.96799	32	11	8	9	1	11	HGDP00660	HGDP	Vindija	Neanderthal
chr11	117643000	117675000	32000	0.90851	11	7	7	7	0	7	HGDP00660	HGDP	AmbigNean	Neanderthal
chr11	119595000	119629000	34000	0.90335	12	6	5	5	3	6	HGDP00660	HGDP	Vindija	Neanderthal
chr11	120132000	120200000	68000	0.96075	47	14	12	13	0	14	HGDP00660	HGDP	Vindija	Neanderthal
chr11	120283000	120315000	32000	0.85477	15	10	10	8	0	2	HGDP00660	HGDP	Altai	Neanderthal
chr12	2611000	2636000	25000	0.83927	10	4	2	4	1	4	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	2731000	2769000	38000	0.9539	20	6	6	6	1	6	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	6838000	7051000	213000	0.95166	60	25	12	23	3	25	HGDP00660	HGDP	Vindija	Neanderthal
chr12	10216000	10235000	19000	0.83416	9	3	3	0	0	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	15411000	15460000	49000	0.87374	13	2	2	2	0	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	22193000	22411000	218000	0.96904	62	27	23	27	6	27	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	22466000	22618000	152000	0.9201	37	9	3	6	0	9	HGDP00660	HGDP	Vindija	Neanderthal
chr12	26248000	26277000	29000	0.70854	8	4	4	2	1	2	HGDP00660	HGDP	Altai	Neanderthal
chr12	27698000	27815000	117000	0.98018	38	13	12	13	6	12	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr12	28591000	28786000	195000	0.98358	72	31	31	26	0	26	HGDP00660	HGDP	Altai	Neanderthal
chr12	41303000	41947000	644000	0.9869	239	102	92	102	26	99	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr12	46930000	47186000	256000	0.96026	84	47	46	44	15	44	HGDP00660	HGDP	Altai	Neanderthal
chr12	51351000	51385000	34000	0.85188	9	2	2	2	0	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	52502000	52541000	39000	0.89667	17	8	8	8	2	8	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	52562000	52704000	142000	0.96032	63	28	20	17	10	16	HGDP00660	HGDP	Altai	Neanderthal
chr12	53724000	53747000	23000	0.7993	8	5	5	5	0	4	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	54355000	54490000	135000	0.87419	26	11	10	11	1	11	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	54636000	54736000	100000	0.94047	32	14	14	9	1	14	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	54834000	54901000	67000	0.92629	20	8	7	6	0	8	HGDP00660	HGDP	Vindija	Neanderthal
chr12	55290000	55315000	25000	0.85316	8	3	2	2	0	3	HGDP00660	HGDP	Vindija	Neanderthal
chr12	55688000	55707000	19000	0.75505	7	3	1	1	1	3	HGDP00660	HGDP	Vindija	Neanderthal
chr12	55862000	55950000	88000	0.94583	18	5	4	5	4	5	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	57154000	57612000	458000	0.97719	102	47	36	39	2	47	HGDP00660	HGDP	Vindija	Neanderthal
chr12	57730000	57854000	124000	0.96399	39	20	15	15	0	20	HGDP00660	HGDP	Vindija	Neanderthal
chr12	57902000	57977000	75000	0.81294	15	8	7	7	3	8	HGDP00660	HGDP	Vindija	Neanderthal
chr12	58124000	58284000	160000	0.94853	48	22	21	22	11	22	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	58586000	59146000	560000	0.96675	156	71	58	52	16	71	HGDP00660	HGDP	Vindija	Neanderthal
chr12	59525000	59872000	347000	0.945	106	47	45	41	21	47	HGDP00660	HGDP	Vindija	Neanderthal
chr12	59923000	59973000	50000	0.93556	17	9	6	9	0	6	HGDP00660	HGDP	Chagyrskaya	Neanderthal
chr12	60043000	60512000	469000	0.95372	143	62	58	61	4	61	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	60516000	60626000	110000	0.87785	42	20	16	20	0	20	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	61344000	61372000	28000	0.91894	12	6	6	4	0	5	HGDP00660	HGDP	Altai	Neanderthal
chr12	80655000	80725000	70000	0.76315	15	3	2	2	1	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	92539000	92595000	56000	0.86676	14	3	3	3	2	3	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	93114000	93173000	59000	0.92926	18	2	2	2	1	2	HGDP00660	HGDP	AmbigNean	Neanderthal
chr12	94932000	95088000	156000	0.93502	30	5	5	0	4	0	HGDP00660	HGDP	Altai	Neanderthal
