chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1291000	1349000	58000	0.90641	16	6	6	6	1	6	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	1720000	1787000	67000	0.96813	39	13	7	10	3	10	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	5289000	5315000	26000	0.86799	10	3	0	0	0	3	HGDP01340	HGDP	Vindija	Neanderthal
chr10	5352000	5478000	126000	0.94549	53	27	26	27	6	27	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	5579000	5621000	42000	0.90414	16	4	2	4	0	4	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	6785000	6856000	71000	0.96002	20	12	4	12	2	12	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	6963000	7010000	47000	0.94473	24	12	12	12	3	12	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	7115000	7135000	20000	0.8697	11	6	6	6	1	6	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	11348000	11427000	79000	0.96487	26	12	8	11	1	11	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	12345000	12359000	14000	0.75068	6	4	3	4	0	3	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	17551000	17583000	32000	0.88826	12	7	7	7	0	6	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	20336000	20379000	43000	0.91757	32	12	10	12	0	10	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	20494000	20624000	130000	0.94578	46	22	22	22	0	21	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	20970000	20992000	22000	0.72313	8	2	2	2	1	2	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	24204000	24259000	55000	0.93464	28	13	7	8	6	12	HGDP01340	HGDP	Vindija	Neanderthal
chr10	24356000	24431000	75000	0.92409	18	11	10	10	5	5	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	26639000	27034000	395000	0.97121	100	31	26	30	6	31	HGDP01340	HGDP	Vindija	Neanderthal
chr10	27136000	27672000	536000	0.94996	103	36	29	36	4	31	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	29900000	29935000	35000	0.85977	11	3	2	3	0	3	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	44394000	44462000	68000	0.95561	30	12	8	8	0	12	HGDP01340	HGDP	Vindija	Neanderthal
chr10	44694000	44972000	278000	0.86997	83	36	14	36	3	36	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	61941000	61987000	46000	0.60243	10	7	7	7	0	7	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	62176000	62242000	66000	0.90289	18	9	5	5	0	9	HGDP01340	HGDP	Vindija	Neanderthal
chr10	62268000	62323000	55000	0.8597	14	5	0	0	0	5	HGDP01340	HGDP	Vindija	Neanderthal
chr10	62547000	62586000	39000	0.88887	15	7	7	7	0	7	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	63002000	63074000	72000	0.95199	22	10	8	10	1	8	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	64032000	64072000	40000	0.90793	20	13	13	11	5	13	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	64752000	64989000	237000	0.96241	65	26	20	13	0	26	HGDP01340	HGDP	Vindija	Neanderthal
chr10	66008000	66052000	44000	0.87969	13	2	1	1	0	2	HGDP01340	HGDP	Vindija	Neanderthal
chr10	66778000	66812000	34000	0.6165	9	3	3	3	0	3	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	66876000	66985000	109000	0.88622	27	14	9	14	1	13	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	69788000	69844000	56000	0.92516	19	12	11	12	1	12	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	70282000	70293000	11000	0.62681	6	1	1	1	0	1	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	70760000	70771000	11000	0.72606	7	3	0	3	0	0	HGDP01340	HGDP	Chagyrskaya	Neanderthal
chr10	70961000	71012000	51000	0.92957	25	17	16	12	7	16	HGDP01340	HGDP	AmbigNean	Neanderthal
chr10	71583000	71599000	16000	0.8443	11	6	6	6	5	6	HGDP01340	HGDP	AmbigNean	Neanderthal
