chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	61800000	61838000	38000	0.93085	18	5	0	0	5	0	HGDP01102	HGDP	Denisova	Denisova
chr11	70768000	70825000	57000	0.94394	37	12	0	0	12	0	HGDP01102	HGDP	Denisova	Denisova
chr11	96156000	96220000	64000	0.9712	25	5	0	0	5	0	HGDP01102	HGDP	Denisova	Denisova
chr12	4953000	4987000	34000	0.9696	17	5	3	3	4	3	HGDP01102	HGDP	Denisova	Denisova
chr12	8532000	8601000	69000	0.96024	30	9	4	4	7	4	HGDP01102	HGDP	Denisova	Denisova
chr12	44918000	44953000	35000	0.82866	12	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr12	52248000	52288000	40000	0.84628	12	5	2	2	5	0	HGDP01102	HGDP	Denisova	Denisova
chr12	94719000	94756000	37000	0.89554	15	5	4	1	5	0	HGDP01102	HGDP	Denisova	Denisova
chr13	113818000	113864000	46000	0.89418	17	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr14	72413000	72423000	10000	0.79261	7	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr14	97853000	97933000	80000	0.94019	34	15	0	0	15	0	HGDP01102	HGDP	Denisova	Denisova
chr15	60704000	60715000	11000	0.68183	7	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr16	7978000	8003000	25000	0.78505	12	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr16	22274000	22464000	190000	0.9224	54	20	0	0	20	0	HGDP01102	HGDP	Denisova	Denisova
chr17	78299000	78336000	37000	0.88021	14	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr17	80021000	80035000	14000	0.71762	6	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr1	30209000	30266000	57000	0.93602	31	12	8	8	10	8	HGDP01102	HGDP	Denisova	Denisova
chr1	30650000	30688000	38000	0.89999	18	4	0	0	4	0	HGDP01102	HGDP	Denisova	Denisova
chr1	57125000	57313000	188000	0.97995	106	59	16	17	59	17	HGDP01102	HGDP	Denisova	Denisova
chr1	240701000	240739000	38000	0.92205	17	5	2	2	5	2	HGDP01102	HGDP	Denisova	Denisova
chr21	30194000	30210000	16000	0.903	9	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr22	47097000	47151000	54000	0.91749	22	6	1	1	6	1	HGDP01102	HGDP	Denisova	Denisova
chr22	47287000	47322000	35000	0.83108	16	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr22	47817000	47873000	56000	0.94136	34	5	0	0	5	0	HGDP01102	HGDP	Denisova	Denisova
chr22	48457000	48462000	5000	0.78302	7	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr22	48509000	48548000	39000	0.95503	31	7	2	2	7	2	HGDP01102	HGDP	Denisova	Denisova
chr2	11677000	11690000	13000	0.82456	8	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr2	25056000	25125000	69000	0.90011	13	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr2	40432000	40484000	52000	0.92745	19	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr2	46009000	46181000	172000	0.97013	69	33	4	5	32	5	HGDP01102	HGDP	Denisova	Denisova
chr2	71061000	71175000	114000	0.8443	26	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr2	98097000	98201000	104000	0.90827	30	4	0	0	4	0	HGDP01102	HGDP	Denisova	Denisova
chr3	33945000	33999000	54000	0.95846	24	6	1	1	6	1	HGDP01102	HGDP	Denisova	Denisova
chr3	127476000	127518000	42000	0.70024	11	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr3	194511000	194549000	38000	0.86185	18	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr4	29129000	29416000	287000	0.9748	97	25	3	3	25	3	HGDP01102	HGDP	Denisova	Denisova
chr4	40586000	40671000	85000	0.906	22	3	0	0	3	0	HGDP01102	HGDP	Denisova	Denisova
chr4	60773000	60823000	50000	0.88126	18	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr4	77394000	77692000	298000	0.99165	125	36	31	31	35	31	HGDP01102	HGDP	Denisova	Denisova
chr4	112519000	112671000	152000	0.96702	35	11	0	0	11	0	HGDP01102	HGDP	Denisova	Denisova
chr5	84762000	84794000	32000	0.8603	11	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr5	121854000	122086000	232000	0.96412	114	62	42	42	62	42	HGDP01102	HGDP	Denisova	Denisova
chr5	175726000	175746000	20000	0.8016	8	4	0	0	4	0	HGDP01102	HGDP	Denisova	Denisova
chr6	51238000	51268000	30000	0.78288	11	3	0	0	3	0	HGDP01102	HGDP	Denisova	Denisova
chr6	80508000	80570000	62000	0.95433	28	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr6	144631000	144821000	190000	0.98907	80	49	31	31	49	31	HGDP01102	HGDP	Denisova	Denisova
chr7	13757000	13843000	86000	0.93481	29	7	3	3	7	3	HGDP01102	HGDP	Denisova	Denisova
chr7	13999000	14114000	115000	0.94436	54	14	1	1	14	0	HGDP01102	HGDP	Denisova	Denisova
chr7	36082000	36166000	84000	0.95855	31	12	8	7	11	7	HGDP01102	HGDP	Denisova	Denisova
chr8	128062000	128208000	146000	0.96228	40	5	3	3	5	0	HGDP01102	HGDP	Denisova	Denisova
chr9	21989000	22079000	90000	0.90241	36	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr9	25035000	25100000	65000	0.92259	17	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr9	90841000	90968000	127000	0.98834	59	25	8	12	13	12	HGDP01102	HGDP	Denisova	Denisova
chr9	106310000	106372000	62000	0.93259	27	1	0	0	1	0	HGDP01102	HGDP	Denisova	Denisova
chr9	112371000	112404000	33000	0.78121	9	2	0	0	2	0	HGDP01102	HGDP	Denisova	Denisova
chr10	6156000	6181000	25000	0.94739	44	1	0	0	1	0	HGDP01096	HGDP	Denisova	Denisova
chr10	128514000	128547000	33000	0.93297	19	10	0	0	10	0	HGDP01096	HGDP	Denisova	Denisova
chr11	96197000	96245000	48000	0.83841	19	3	0	0	3	0	HGDP01096	HGDP	Denisova	Denisova
chr11	102772000	102805000	33000	0.91822	15	1	0	0	1	0	HGDP01096	HGDP	Denisova	Denisova
chr11	115787000	115872000	85000	0.90402	26	1	0	0	1	0	HGDP01096	HGDP	Denisova	Denisova
chr11	120361000	120459000	98000	0.87951	22	12	1	0	12	0	HGDP01096	HGDP	Denisova	Denisova
chr11	134510000	134575000	65000	0.54939	15	1	0	0	1	0	HGDP01096	HGDP	Denisova	Denisova
chr12	8533000	8616000	83000	0.91427	33	9	4	4	7	4	HGDP01096	HGDP	Denisova	Denisova
chr12	52256000	52289000	33000	0.88962	11	5	2	2	5	0	HGDP01096	HGDP	Denisova	Denisova
chr13	23419000	23617000	198000	0.96762	94	21	13	4	16	5	HGDP01096	HGDP	Denisova	Denisova
chr13	92203000	92286000	83000	0.85515	26	4	0	0	4	0	HGDP01096	HGDP	Denisova	Denisova
chr13	113939000	114143000	204000	0.96293	77	13	4	3	9	3	HGDP01096	HGDP	Denisova	Denisova
chr14	44978000	45030000	52000	0.59546	11	1	0	0	1	0	HGDP01096	HGDP	Denisova	Denisova
