chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	700000	915000	215000	0.94209	50	17	17	13	0	15	HGDP00837	HGDP	Altai	Neanderthal
chr10	1698000	1733000	35000	0.86276	12	7	0	4	0	7	HGDP00837	HGDP	Vindija	Neanderthal
chr10	1785000	1874000	89000	0.9	38	15	14	15	1	12	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	1897000	1954000	57000	0.97645	34	13	12	11	0	12	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	5288000	5321000	33000	0.90268	13	3	0	0	0	3	HGDP00837	HGDP	Vindija	Neanderthal
chr10	5662000	5683000	21000	0.77007	7	3	3	3	1	3	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	7704000	7734000	30000	0.91583	10	3	3	1	0	3	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	11798000	11816000	18000	0.76704	6	1	1	1	0	1	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	12060000	12120000	60000	0.90627	15	6	6	6	2	6	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	12474000	12490000	16000	0.89425	8	2	0	2	0	2	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	13744000	13801000	57000	0.94787	44	24	24	24	3	23	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	24413000	24538000	125000	0.95705	41	27	24	24	3	27	HGDP00837	HGDP	Vindija	Neanderthal
chr10	30014000	30040000	26000	0.75842	8	4	3	4	1	4	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	36828000	37079000	251000	0.96222	66	15	14	15	5	14	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	43949000	44359000	410000	0.99386	197	79	70	70	28	74	HGDP00837	HGDP	Vindija	Neanderthal
chr10	45150000	45212000	62000	0.80535	10	2	2	2	0	2	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	62007000	62023000	16000	0.86204	11	6	5	5	0	6	HGDP00837	HGDP	Vindija	Neanderthal
chr10	62096000	62243000	147000	0.89412	31	11	4	4	0	11	HGDP00837	HGDP	Vindija	Neanderthal
chr10	62268000	62311000	43000	0.88467	12	5	0	0	0	5	HGDP00837	HGDP	Vindija	Neanderthal
chr10	62681000	63397000	716000	0.94202	177	61	47	59	6	51	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	63436000	63601000	165000	0.95001	37	16	12	16	0	12	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	65318000	65553000	235000	0.98537	108	55	45	55	11	54	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	66215000	66306000	91000	0.96689	30	7	7	7	0	7	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	66994000	67946000	952000	0.97904	256	114	96	103	4	114	HGDP00837	HGDP	Vindija	Neanderthal
chr10	67960000	68139000	179000	0.90236	28	13	4	10	0	13	HGDP00837	HGDP	Vindija	Neanderthal
chr10	69062000	69102000	40000	0.84486	10	1	1	1	0	1	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	69840000	69863000	23000	0.75723	7	2	2	2	0	2	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	69952000	70090000	138000	0.93614	38	16	15	11	2	16	HGDP00837	HGDP	Vindija	Neanderthal
chr10	71322000	71361000	39000	0.86835	18	4	3	3	2	3	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	71576000	71706000	130000	0.96887	52	26	21	22	8	26	HGDP00837	HGDP	Vindija	Neanderthal
chr10	84011000	84100000	89000	0.95094	29	8	6	8	0	5	HGDP00837	HGDP	Chagyrskaya	Neanderthal
chr10	84296000	84766000	470000	0.99109	169	63	63	52	8	26	HGDP00837	HGDP	Altai	Neanderthal
chr10	86216000	86693000	477000	0.97628	131	58	28	46	2	58	HGDP00837	HGDP	Vindija	Neanderthal
chr10	88209000	88250000	41000	0.93229	13	2	2	2	0	2	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	88995000	89142000	147000	0.9734	55	24	24	24	0	22	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	89591000	89857000	266000	0.96805	75	38	28	36	0	36	HGDP00837	HGDP	AmbigNean	Neanderthal
chr10	91027000	91110000	83000	0.94823	32	14	7	13	2	14	HGDP00837	HGDP	Vindija	Neanderthal
chr10	92407000	92736000	329000	0.98166	84	31	27	30	21	31	HGDP00837	HGDP	Vindija	Neanderthal
chr10	108127000	108308000	181000	0.94506	52	24	24	19	0	23	HGDP00837	HGDP	Altai	Neanderthal
chr10	108700000	108870000	170000	0.97453	78	35	32	32	8	35	HGDP00837	HGDP	Vindija	Neanderthal
chr10	110398000	110470000	72000	0.8908	23	9	9	9	0	9	HGDP00837	HGDP	AmbigNean	Neanderthal
