chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	10535000	10589000	54000	0.93941	16	6	0	0	6	0	HGDP01019	HGDP	Denisova	Denisova
chr11	417000	502000	85000	0.85077	20	8	4	4	5	4	HGDP01019	HGDP	Denisova	Denisova
chr11	2747000	2804000	57000	0.80036	15	6	2	2	6	2	HGDP01019	HGDP	Denisova	Denisova
chr11	36044000	36118000	74000	0.893	33	12	9	9	11	9	HGDP01019	HGDP	Denisova	Denisova
chr11	36392000	36402000	10000	0.71053	5	4	0	0	4	0	HGDP01019	HGDP	Denisova	Denisova
chr11	110354000	110376000	22000	0.66394	6	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr11	120210000	120240000	30000	0.78319	8	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr11	123573000	123616000	43000	0.93782	27	6	1	1	6	1	HGDP01019	HGDP	Denisova	Denisova
chr12	114222000	114290000	68000	0.89063	18	3	1	1	3	1	HGDP01019	HGDP	Denisova	Denisova
chr13	21217000	21224000	7000	0.58211	5	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr13	71219000	71278000	59000	0.96948	25	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr13	111065000	111156000	91000	0.84675	34	5	1	1	5	1	HGDP01019	HGDP	Denisova	Denisova
chr13	113891000	114339000	448000	0.99301	203	47	6	5	42	5	HGDP01019	HGDP	Denisova	Denisova
chr15	26928000	26977000	49000	0.84498	16	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr15	27246000	27261000	15000	0.8346	10	4	0	3	4	0	HGDP01019	HGDP	Denisova	Denisova
chr17	14047000	14210000	163000	0.96751	55	20	12	12	20	12	HGDP01019	HGDP	Denisova	Denisova
chr17	19539000	19583000	44000	0.91411	20	5	2	2	5	2	HGDP01019	HGDP	Denisova	Denisova
chr17	58225000	58322000	97000	0.88244	17	2	1	1	2	1	HGDP01019	HGDP	Denisova	Denisova
chr1	30226000	30264000	38000	0.94436	27	12	9	9	10	9	HGDP01019	HGDP	Denisova	Denisova
chr1	57128000	57314000	186000	0.98377	105	60	16	17	60	17	HGDP01019	HGDP	Denisova	Denisova
chr1	57750000	57771000	21000	0.94039	12	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr1	61559000	61648000	89000	0.94148	31	11	4	5	11	4	HGDP01019	HGDP	Denisova	Denisova
chr1	147259000	147358000	99000	0.97292	34	2	0	0	2	0	HGDP01019	HGDP	Denisova	Denisova
chr1	167623000	167663000	40000	0.88926	16	7	3	3	7	3	HGDP01019	HGDP	Denisova	Denisova
chr20	50298000	50312000	14000	0.80648	7	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr20	62061000	62083000	22000	0.7598	7	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr21	17458000	17474000	16000	0.63102	6	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr21	30194000	30215000	21000	0.88863	8	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr22	39276000	39325000	49000	0.91471	26	10	0	0	10	0	HGDP01019	HGDP	Denisova	Denisova
chr22	48509000	48537000	28000	0.88654	14	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr2	67541000	67569000	28000	0.86538	14	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr2	136222000	136277000	55000	0.94624	16	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr2	143836000	143853000	17000	0.58503	6	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr2	188768000	188862000	94000	0.91066	25	2	0	0	2	0	HGDP01019	HGDP	Denisova	Denisova
chr2	227206000	227253000	47000	0.95064	23	9	0	2	7	0	HGDP01019	HGDP	Denisova	Denisova
chr2	232602000	232631000	29000	0.64669	5	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr2	232642000	232945000	303000	0.95333	67	11	2	2	11	2	HGDP01019	HGDP	Denisova	Denisova
chr3	105896000	105978000	82000	0.96943	29	8	0	0	8	0	HGDP01019	HGDP	Denisova	Denisova
chr3	127473000	127490000	17000	0.87686	8	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr3	127776000	127798000	22000	0.71618	8	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr3	175078000	175135000	57000	0.93506	19	2	0	0	2	0	HGDP01019	HGDP	Denisova	Denisova
chr4	16046000	16070000	24000	0.90748	11	7	0	0	7	0	HGDP01019	HGDP	Denisova	Denisova
chr4	26080000	26128000	48000	0.86429	11	3	2	2	3	2	HGDP01019	HGDP	Denisova	Denisova
chr4	161309000	161393000	84000	0.96548	36	7	2	2	7	2	HGDP01019	HGDP	Denisova	Denisova
chr4	168149000	168222000	73000	0.97528	38	3	0	0	3	0	HGDP01019	HGDP	Denisova	Denisova
chr5	82856000	82912000	56000	0.90757	21	11	1	0	11	0	HGDP01019	HGDP	Denisova	Denisova
chr5	86868000	86909000	41000	0.91025	12	4	0	0	4	0	HGDP01019	HGDP	Denisova	Denisova
chr5	122338000	122368000	30000	0.82639	8	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
chr5	171571000	171580000	9000	0.79527	6	1	0	0	1	0	HGDP01019	HGDP	Denisova	Denisova
