chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1698000	1724000	26000	0.89028	13	7	0	4	0	7	HGDP01333	HGDP	Vindija	Neanderthal
chr10	3833000	3847000	14000	0.70315	7	2	2	1	0	2	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	4765000	4776000	11000	0.6925	6	3	3	3	0	3	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	5585000	5620000	35000	0.94036	17	4	2	4	0	4	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	6009000	6098000	89000	0.96011	39	10	9	9	2	10	HGDP01333	HGDP	Vindija	Neanderthal
chr10	6204000	6225000	21000	0.80014	8	2	1	0	0	1	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	6889000	6909000	20000	0.857	10	4	4	4	0	4	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	6963000	7109000	146000	0.98241	56	28	20	24	3	26	HGDP01333	HGDP	Vindija	Neanderthal
chr10	11246000	11306000	60000	0.90267	22	16	5	14	3	16	HGDP01333	HGDP	Vindija	Neanderthal
chr10	11347000	11384000	37000	0.89819	14	7	6	6	1	6	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	12948000	13016000	68000	0.90716	24	8	8	8	2	8	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	13358000	13383000	25000	0.91044	10	4	2	4	3	4	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	13794000	13823000	29000	0.90663	13	4	4	2	0	2	HGDP01333	HGDP	Altai	Neanderthal
chr10	13887000	13917000	30000	0.90671	10	5	3	3	3	5	HGDP01333	HGDP	Vindija	Neanderthal
chr10	14024000	14095000	71000	0.97477	35	14	10	14	7	14	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	17560000	17620000	60000	0.9252	18	7	7	7	0	6	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	18051000	18099000	48000	0.82481	16	1	1	0	0	1	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	20634000	20708000	74000	0.94698	27	9	9	7	1	7	HGDP01333	HGDP	Altai	Neanderthal
chr10	20971000	21070000	99000	0.96272	26	9	8	8	2	5	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	27247000	27820000	573000	0.95753	134	52	47	44	1	47	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	36366000	36628000	262000	0.91505	67	29	7	29	0	29	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	36669000	36875000	206000	0.79753	34	2	2	2	0	2	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	44134000	44319000	185000	0.98703	95	39	31	31	15	39	HGDP01333	HGDP	Vindija	Neanderthal
chr10	44362000	44386000	24000	0.75489	9	5	1	3	0	5	HGDP01333	HGDP	Vindija	Neanderthal
chr10	44469000	44519000	50000	0.90812	20	7	6	6	0	7	HGDP01333	HGDP	Vindija	Neanderthal
chr10	44694000	44728000	34000	0.67715	10	8	0	8	0	8	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	61308000	61936000	628000	0.98375	264	138	119	114	59	133	HGDP01333	HGDP	Vindija	Neanderthal
chr10	63078000	63399000	321000	0.91868	75	29	21	29	0	21	HGDP01333	HGDP	Chagyrskaya	Neanderthal
chr10	63424000	63650000	226000	0.94554	46	22	18	20	1	16	HGDP01333	HGDP	Chagyrskaya	Neanderthal
chr10	64950000	65017000	67000	0.77112	15	6	0	0	0	6	HGDP01333	HGDP	Vindija	Neanderthal
chr10	65061000	65077000	16000	0.53248	5	1	0	1	0	0	HGDP01333	HGDP	Chagyrskaya	Neanderthal
chr10	65791000	65954000	163000	0.96043	59	25	25	21	9	20	HGDP01333	HGDP	Altai	Neanderthal
chr10	66774000	66800000	26000	0.74338	8	3	3	3	0	3	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	66930000	67002000	72000	0.95175	26	11	4	11	2	10	HGDP01333	HGDP	Chagyrskaya	Neanderthal
chr10	68089000	68139000	50000	0.93259	12	4	4	4	0	4	HGDP01333	HGDP	AmbigNean	Neanderthal
chr10	68551000	68587000	36000	0.85657	9	4	2	2	0	4	HGDP01333	HGDP	Vindija	Neanderthal
chr10	68636000	68653000	17000	0.54627	4	2	0	2	0	2	HGDP01333	HGDP	AmbigNean	Neanderthal
