chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7488000	7534000	45000	0.85254	17	5	3	3	5	3	HGDP00653	HGDP	Denisova	Denisova
chr10	43738000	43787000	48000	0.85046	15	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr10	61800000	61839000	38000	0.9547	20	5	0	0	5	0	HGDP00653	HGDP	Denisova	Denisova
chr14	79183000	79202000	18000	0.84949	8	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr16	62743000	62764000	20000	0.87792	8	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr17	80017000	80038000	20000	0.80497	7	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr21	45238000	45290000	51000	0.9164	15	3	0	0	3	0	HGDP00653	HGDP	Denisova	Denisova
chr22	36368000	36377000	8000	0.86346	7	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr2	83304000	83326000	21000	0.53954	6	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr3	13679000	13801000	121000	0.88345	39	9	4	4	9	4	HGDP00653	HGDP	Denisova	Denisova
chr3	105656000	105804000	147000	0.91907	30	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr3	125507000	125605000	97000	0.88472	42	15	0	0	15	0	HGDP00653	HGDP	Denisova	Denisova
chr4	163784000	163817000	32000	0.85097	10	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr6	81056000	81196000	139000	0.95452	49	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr8	8506000	8547000	40000	0.84822	14	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr8	17561000	17588000	26000	0.91167	25	12	10	2	12	2	HGDP00653	HGDP	Denisova	Denisova
chr8	91042000	91233000	190000	0.92188	43	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr8	102795000	102902000	106000	0.92847	26	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr8	116462000	116501000	38000	0.832	12	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr9	21996000	22068000	71000	0.94363	30	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr9	117861000	117970000	108000	0.98379	58	32	0	0	32	0	HGDP00653	HGDP	Denisova	Denisova
chrX	45233000	45259000	25000	0.62747	9	1	0	0	1	0	HGDP00653	HGDP	Denisova	Denisova
chr10	55418000	55471000	52000	0.94361	43	1	0	0	1	0	HGDP00616	HGDP	Denisova	Denisova
chr11	120212000	120264000	51000	0.93413	14	3	0	0	3	0	HGDP00616	HGDP	Denisova	Denisova
chr15	78016000	78134000	117000	0.90018	27	1	0	0	1	0	HGDP00616	HGDP	Denisova	Denisova
chr18	8845000	8925000	79000	0.9346	22	1	0	0	1	0	HGDP00616	HGDP	Denisova	Denisova
chr18	49628000	49656000	27000	0.77215	8	2	0	0	2	0	HGDP00616	HGDP	Denisova	Denisova
