chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	8068000	8322000	254000	0.97505	95	26	14	14	26	14	HGDP01388	HGDP	Denisova	Denisova
chr10	16719000	16761000	42000	0.89462	21	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr10	109539000	109624000	85000	0.93986	21	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr10	110271000	110316000	45000	0.91363	18	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr11	130645000	130782000	137000	0.95047	49	12	2	2	12	2	HGDP01388	HGDP	Denisova	Denisova
chr11	132004000	132052000	48000	0.97833	27	5	0	0	5	0	HGDP01388	HGDP	Denisova	Denisova
chr12	130129000	130144000	15000	0.86517	12	2	0	0	2	0	HGDP01388	HGDP	Denisova	Denisova
chr13	51703000	51780000	77000	0.88372	26	4	0	0	4	0	HGDP01388	HGDP	Denisova	Denisova
chr16	62744000	62823000	79000	0.94626	24	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr17	75124000	75217000	93000	0.93894	21	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr18	63987000	64000000	13000	0.918	10	3	2	2	3	2	HGDP01388	HGDP	Denisova	Denisova
chr1	57747000	57771000	24000	0.90917	12	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr1	147259000	147301000	42000	0.76505	19	2	0	0	2	0	HGDP01388	HGDP	Denisova	Denisova
chr20	59421000	59450000	29000	0.762	14	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr2	25023000	25127000	104000	0.93778	20	2	0	0	2	0	HGDP01388	HGDP	Denisova	Denisova
chr2	202737000	202771000	34000	0.81876	8	1	0	0	1	0	HGDP01388	HGDP	Denisova	Denisova
chr2	227375000	227692000	317000	0.9454	113	29	15	15	29	15	HGDP01388	HGDP	Denisova	Denisova
chr3	2576000	2623000	47000	0.96703	32	20	19	19	20	19	HGDP01388	HGDP	Denisova	Denisova
