chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	13164000	13215000	51000	0.90276	19	9	1	0	9	0	HGDP00703	HGDP	Denisova	Denisova
chr11	349000	504000	155000	0.86813	43	15	11	11	12	11	HGDP00703	HGDP	Denisova	Denisova
chr11	2606000	2699000	93000	0.97697	43	22	15	15	22	15	HGDP00703	HGDP	Denisova	Denisova
chr11	5549000	5561000	12000	0.92221	10	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr11	36044000	36074000	30000	0.94379	25	9	6	6	9	6	HGDP00703	HGDP	Denisova	Denisova
chr11	120335000	120522000	187000	0.97203	67	31	2	1	31	0	HGDP00703	HGDP	Denisova	Denisova
chr11	134510000	134514000	4000	0.60178	5	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr12	52252000	52290000	38000	0.85223	10	5	2	2	5	0	HGDP00703	HGDP	Denisova	Denisova
chr12	114220000	114290000	70000	0.93816	21	3	1	1	3	1	HGDP00703	HGDP	Denisova	Denisova
chr13	71243000	71268000	25000	0.92982	15	2	0	0	2	0	HGDP00703	HGDP	Denisova	Denisova
chr13	114044000	114339000	295000	0.99137	129	44	2	2	43	2	HGDP00703	HGDP	Denisova	Denisova
chr14	36095000	36208000	113000	0.90268	25	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr15	26669000	26709000	40000	0.90007	15	7	0	0	7	0	HGDP00703	HGDP	Denisova	Denisova
chr16	7993000	8000000	7000	0.65394	6	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr17	14050000	14212000	162000	0.95819	56	20	12	12	20	12	HGDP00703	HGDP	Denisova	Denisova
chr17	79844000	79881000	37000	0.95643	16	6	0	0	6	0	HGDP00703	HGDP	Denisova	Denisova
chr17	80023000	80066000	43000	0.84909	12	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr1	9262000	9324000	62000	0.95755	19	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr1	47548000	47582000	34000	0.84718	12	7	0	0	7	0	HGDP00703	HGDP	Denisova	Denisova
chr1	61559000	61645000	86000	0.94785	31	11	4	5	11	4	HGDP00703	HGDP	Denisova	Denisova
chr20	18353000	18822000	469000	0.98109	175	51	0	0	51	0	HGDP00703	HGDP	Denisova	Denisova
chr22	48424000	48440000	16000	0.84726	12	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr22	48507000	48536000	29000	0.96257	24	4	0	0	4	0	HGDP00703	HGDP	Denisova	Denisova
chr2	11960000	11988000	28000	0.90985	12	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr2	67506000	67569000	63000	0.77409	21	3	0	0	3	0	HGDP00703	HGDP	Denisova	Denisova
chr2	227377000	227595000	218000	0.98878	94	22	14	14	22	14	HGDP00703	HGDP	Denisova	Denisova
chr2	232911000	232944000	33000	0.83139	11	2	0	0	2	0	HGDP00703	HGDP	Denisova	Denisova
chr3	105896000	106043000	147000	0.92849	39	8	0	0	8	0	HGDP00703	HGDP	Denisova	Denisova
chr3	127477000	127495000	18000	0.7865	7	1	0	0	1	0	HGDP00703	HGDP	Denisova	Denisova
chr3	194524000	194558000	34000	0.88941	18	2	0	0	2	0	HGDP00703	HGDP	Denisova	Denisova
chr4	142522000	142564000	42000	0.93326	15	5	1	1	5	1	HGDP00703	HGDP	Denisova	Denisova
chr5	91295000	91493000	198000	0.95184	53	18	0	0	18	0	HGDP00703	HGDP	Denisova	Denisova
chr5	122291000	122368000	77000	0.77055	16	5	0	0	5	0	HGDP00703	HGDP	Denisova	Denisova
chr6	228000	264000	36000	0.89337	14	4	0	0	4	0	HGDP00703	HGDP	Denisova	Denisova
chr6	67510000	67679000	169000	0.97097	76	17	1	1	9	7	HGDP00703	HGDP	Denisova	Denisova
chr7	14008000	14106000	98000	0.94234	49	15	1	1	15	0	HGDP00703	HGDP	Denisova	Denisova
chr7	17687000	17897000	210000	0.95242	62	18	0	0	18	0	HGDP00703	HGDP	Denisova	Denisova
chr7	80755000	80839000	84000	0.8742	28	8	2	2	6	2	HGDP00703	HGDP	Denisova	Denisova
chr7	125577000	125750000	173000	0.98292	64	34	12	12	34	12	HGDP00703	HGDP	Denisova	Denisova
