chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1724000	1846000	122000	0.94698	55	27	23	27	1	24	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	3793000	3818000	25000	0.9534	18	12	12	12	0	11	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	4207000	4288000	81000	0.90721	42	22	21	20	12	20	HGDP00717	HGDP	Altai	Neanderthal
chr10	5342000	5475000	133000	0.94393	57	27	26	27	6	27	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	5565000	5628000	63000	0.94402	30	14	9	14	0	12	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	5851000	5941000	90000	0.9784	37	13	12	13	8	12	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	6740000	6849000	109000	0.98443	35	19	8	19	4	19	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	6962000	7140000	178000	0.96998	72	32	27	30	4	30	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	7701000	7737000	36000	0.92355	12	3	3	1	0	3	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	11416000	11434000	18000	0.90169	9	2	1	2	1	2	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	11802000	11823000	21000	0.78875	7	1	1	1	0	1	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	13785000	13950000	165000	0.98664	65	30	28	23	4	25	HGDP00717	HGDP	Altai	Neanderthal
chr10	14505000	14521000	16000	0.89328	8	1	1	1	0	1	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	14736000	14768000	32000	0.93895	17	6	6	6	4	6	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	20337000	20376000	39000	0.94281	30	12	10	12	0	10	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	24281000	24328000	47000	0.93374	28	11	9	10	7	11	HGDP00717	HGDP	Vindija	Neanderthal
chr10	24426000	24447000	21000	0.80173	9	1	0	0	0	1	HGDP00717	HGDP	Vindija	Neanderthal
chr10	27382000	27688000	306000	0.95547	75	29	24	29	1	24	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	27925000	28057000	132000	0.98001	39	15	13	15	2	13	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	29833000	29878000	45000	0.94733	18	10	4	10	2	10	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	29908000	29934000	26000	0.7971	9	3	2	3	0	3	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	44130000	44320000	190000	0.98266	98	39	31	31	15	39	HGDP00717	HGDP	Vindija	Neanderthal
chr10	44855000	44912000	57000	0.89904	28	14	10	14	3	14	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	61308000	61594000	286000	0.9691	154	77	72	72	42	77	HGDP00717	HGDP	Vindija	Neanderthal
chr10	61939000	62025000	86000	0.95842	27	15	13	13	1	15	HGDP00717	HGDP	Vindija	Neanderthal
chr10	62112000	62247000	135000	0.92516	42	11	6	6	0	11	HGDP00717	HGDP	Vindija	Neanderthal
chr10	62263000	62325000	62000	0.91991	21	6	1	1	0	6	HGDP00717	HGDP	Vindija	Neanderthal
chr10	62492000	62561000	69000	0.80697	17	5	5	5	3	1	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	62999000	63080000	81000	0.94423	23	10	8	10	1	8	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	63109000	63720000	611000	0.98044	140	51	39	48	2	36	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	64822000	64913000	91000	0.85801	21	6	5	0	0	6	HGDP00717	HGDP	Vindija	Neanderthal
chr10	64948000	64966000	18000	0.6009	6	2	0	0	0	2	HGDP00717	HGDP	Vindija	Neanderthal
chr10	65313000	66007000	694000	0.99297	275	123	110	117	28	108	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	66817000	66867000	50000	0.89428	15	1	1	1	0	1	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	66931000	66998000	67000	0.9678	25	11	4	11	2	10	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	67205000	67330000	125000	0.96659	51	26	25	25	0	26	HGDP00717	HGDP	Vindija	Neanderthal
chr10	67463000	67628000	165000	0.94608	42	10	8	8	1	10	HGDP00717	HGDP	Vindija	Neanderthal
chr10	68870000	69030000	160000	0.97511	38	16	13	16	4	16	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	69622000	69697000	75000	0.89773	37	21	21	21	13	21	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	69959000	70121000	162000	0.97076	44	25	23	19	4	25	HGDP00717	HGDP	Vindija	Neanderthal
chr10	71584000	71682000	98000	0.92121	38	21	17	18	9	21	HGDP00717	HGDP	Vindija	Neanderthal
chr10	84961000	85085000	124000	0.93914	38	18	16	17	3	18	HGDP00717	HGDP	Vindija	Neanderthal
chr10	88810000	88835000	25000	0.88103	16	8	8	8	0	8	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	89034000	89058000	24000	0.90781	10	4	4	4	0	4	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	89328000	89522000	194000	0.9744	52	14	14	14	1	14	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	108134000	108343000	209000	0.98098	74	28	28	23	0	27	HGDP00717	HGDP	Altai	Neanderthal
chr10	111381000	111850000	469000	0.98873	129	61	56	55	11	54	HGDP00717	HGDP	Altai	Neanderthal
chr10	118966000	119026000	60000	0.9417	22	9	8	9	2	9	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	119071000	119166000	95000	0.93625	21	3	3	3	2	3	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	119434000	119462000	28000	0.93703	20	7	5	7	0	7	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	119711000	119972000	261000	0.97931	121	60	56	58	45	58	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	121129000	121252000	123000	0.92063	36	7	7	4	0	4	HGDP00717	HGDP	Altai	Neanderthal
chr10	121687000	121737000	50000	0.8546	11	2	2	2	0	0	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	122589000	122716000	127000	0.95618	40	20	19	19	5	19	HGDP00717	HGDP	AmbigNean	Neanderthal
chr10	126204000	126281000	77000	0.92147	27	10	4	7	5	0	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr10	130427000	130452000	25000	0.87129	10	6	6	6	0	6	HGDP00717	HGDP	AmbigNean	Neanderthal
chr11	11340000	11394000	54000	0.79941	21	15	10	13	2	15	HGDP00717	HGDP	Vindija	Neanderthal
chr11	20008000	20026000	18000	0.84566	8	4	2	3	1	4	HGDP00717	HGDP	Vindija	Neanderthal
chr11	20458000	20645000	187000	0.98339	76	30	25	30	14	28	HGDP00717	HGDP	Chagyrskaya	Neanderthal
chr11	21123000	21149000	26000	0.93907	18	11	11	11	4	11	HGDP00717	HGDP	AmbigNean	Neanderthal
chr11	21638000	21668000	30000	0.94742	22	10	9	2	0	10	HGDP00717	HGDP	Vindija	Neanderthal
chr11	21755000	21888000	133000	0.96259	85	39	39	39	0	38	HGDP00717	HGDP	AmbigNean	Neanderthal
chr11	22342000	22363000	21000	0.72437	8	4	2	3	0	3	HGDP00717	HGDP	AmbigNean	Neanderthal
chr11	22474000	22674000	200000	0.9682	94	51	47	47	4	51	HGDP00717	HGDP	Vindija	Neanderthal
chr11	24990000	25089000	99000	0.99221	51	22	21	19	6	19	HGDP00717	HGDP	Altai	Neanderthal
chr11	26235000	26328000	93000	0.95117	49	26	26	22	21	22	HGDP00717	HGDP	Altai	Neanderthal
chr11	35535000	35545000	10000	0.57411	5	3	2	2	2	3	HGDP00717	HGDP	Vindija	Neanderthal
chr11	35640000	35807000	167000	0.97843	55	21	19	19	1	21	HGDP00717	HGDP	Vindija	Neanderthal
