chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	2716000	2776000	60000	0.87223	24	2	0	0	2	0	HGDP00715	HGDP	Denisova	Denisova
chr10	70915000	70991000	76000	0.95553	32	9	5	5	9	5	HGDP00715	HGDP	Denisova	Denisova
chr11	131954000	132003000	49000	0.97339	28	8	0	0	8	0	HGDP00715	HGDP	Denisova	Denisova
chr12	52246000	52299000	53000	0.91607	18	5	2	2	5	0	HGDP00715	HGDP	Denisova	Denisova
chr13	51693000	51774000	81000	0.86138	28	4	0	0	4	0	HGDP00715	HGDP	Denisova	Denisova
chr13	108447000	108466000	19000	0.92073	10	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr13	113167000	113189000	22000	0.91405	16	4	1	1	4	1	HGDP00715	HGDP	Denisova	Denisova
chr13	113227000	113280000	53000	0.71255	15	2	1	1	2	1	HGDP00715	HGDP	Denisova	Denisova
chr14	25463000	25522000	59000	0.82062	17	2	0	0	2	0	HGDP00715	HGDP	Denisova	Denisova
chr14	53361000	53530000	169000	0.96226	56	12	0	0	12	0	HGDP00715	HGDP	Denisova	Denisova
chr15	26916000	26943000	27000	0.91136	13	3	1	1	3	1	HGDP00715	HGDP	Denisova	Denisova
chr15	26966000	26977000	11000	0.77918	7	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr15	27043000	27066000	23000	0.74902	11	4	2	2	4	2	HGDP00715	HGDP	Denisova	Denisova
chr16	19987000	20031000	44000	0.93696	15	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr16	21553000	21728000	175000	0.88602	50	15	12	12	15	12	HGDP00715	HGDP	Denisova	Denisova
chr16	27970000	27987000	17000	0.53189	3	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr17	66254000	66279000	25000	0.84864	16	10	0	1	10	1	HGDP00715	HGDP	Denisova	Denisova
chr17	80023000	80066000	43000	0.92354	13	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr19	7568000	7664000	96000	0.96915	40	17	5	7	11	5	HGDP00715	HGDP	Denisova	Denisova
chr19	28972000	28996000	24000	0.87054	11	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr19	30696000	30763000	67000	0.62055	15	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr1	30213000	30264000	51000	0.95035	31	13	9	9	11	9	HGDP00715	HGDP	Denisova	Denisova
chr1	30455000	30510000	55000	0.8293	13	3	2	2	3	2	HGDP00715	HGDP	Denisova	Denisova
chr1	30583000	30644000	61000	0.83291	20	5	0	0	5	0	HGDP00715	HGDP	Denisova	Denisova
chr1	30761000	30785000	24000	0.7103	8	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr1	47554000	47635000	81000	0.95074	27	17	0	0	17	0	HGDP00715	HGDP	Denisova	Denisova
chr1	151368000	151382000	14000	0.59237	5	3	0	0	3	0	HGDP00715	HGDP	Denisova	Denisova
chr1	151821000	152507000	686000	0.99016	233	39	2	2	38	2	HGDP00715	HGDP	Denisova	Denisova
chr1	214262000	214286000	24000	0.5828	7	3	0	0	2	1	HGDP00715	HGDP	Denisova	Denisova
chr1	234752000	234775000	23000	0.7664	7	3	1	1	3	1	HGDP00715	HGDP	Denisova	Denisova
chr1	245202000	245328000	126000	0.91515	41	5	2	1	5	2	HGDP00715	HGDP	Denisova	Denisova
chr20	9517000	9610000	93000	0.96409	33	17	1	0	17	1	HGDP00715	HGDP	Denisova	Denisova
chr21	16517000	16576000	59000	0.97774	31	13	4	4	13	4	HGDP00715	HGDP	Denisova	Denisova
chr21	30193000	30207000	14000	0.87661	8	1	0	0	1	0	HGDP00715	HGDP	Denisova	Denisova
chr21	39609000	39640000	31000	0.95377	17	6	3	0	6	0	HGDP00715	HGDP	Denisova	Denisova
chr22	47193000	47199000	6000	0.85203	7	2	0	0	2	0	HGDP00715	HGDP	Denisova	Denisova
chr22	48780000	48799000	19000	0.76972	11	5	1	1	5	1	HGDP00715	HGDP	Denisova	Denisova
chr2	25056000	25126000	70000	0.95018	17	2	0	0	2	0	HGDP00715	HGDP	Denisova	Denisova
chr2	40431000	40485000	54000	0.90449	18	2	0	0	2	0	HGDP00715	HGDP	Denisova	Denisova
