chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5653000	5827000	173000	0.96644	66	23	4	4	20	4	HGDP01251	HGDP	Denisova	Denisova
chr10	5995000	6085000	89000	0.9582	27	3	2	2	3	2	HGDP01251	HGDP	Denisova	Denisova
chr10	6145000	6182000	36000	0.92495	48	1	0	0	1	0	HGDP01251	HGDP	Denisova	Denisova
chr10	52803000	52917000	113000	0.93957	31	10	8	8	10	8	HGDP01251	HGDP	Denisova	Denisova
chr10	128549000	128581000	31000	0.9235	17	7	1	1	7	1	HGDP01251	HGDP	Denisova	Denisova
chr11	36392000	36403000	10000	0.67836	5	4	0	0	4	0	HGDP01251	HGDP	Denisova	Denisova
chr11	83657000	83833000	175000	0.98174	61	28	1	2	28	2	HGDP01251	HGDP	Denisova	Denisova
chr11	130841000	131026000	184000	0.88781	44	23	2	2	23	2	HGDP01251	HGDP	Denisova	Denisova
chr12	601000	655000	53000	0.86273	18	9	1	0	9	0	HGDP01251	HGDP	Denisova	Denisova
chr12	8615000	8811000	195000	0.9692	46	13	1	1	13	1	HGDP01251	HGDP	Denisova	Denisova
chr12	113955000	114187000	231000	0.98032	82	15	9	8	13	8	HGDP01251	HGDP	Denisova	Denisova
chr13	71350000	71408000	57000	0.92643	21	14	4	4	14	4	HGDP01251	HGDP	Denisova	Denisova
chr13	72785000	73055000	269000	0.86764	56	3	0	0	3	0	HGDP01251	HGDP	Denisova	Denisova
chr13	75265000	75306000	40000	0.86644	12	4	2	2	4	2	HGDP01251	HGDP	Denisova	Denisova
chr13	114188000	114340000	151000	0.99255	66	23	1	1	23	1	HGDP01251	HGDP	Denisova	Denisova
chr14	97978000	98289000	310000	0.98169	128	42	8	8	42	8	HGDP01251	HGDP	Denisova	Denisova
chr14	98371000	98522000	150000	0.99233	98	57	1	1	57	1	HGDP01251	HGDP	Denisova	Denisova
chr15	24788000	24813000	24000	0.93938	15	4	0	0	4	0	HGDP01251	HGDP	Denisova	Denisova
chr15	26969000	26976000	6000	0.55631	5	1	0	0	1	0	HGDP01251	HGDP	Denisova	Denisova
chr15	27080000	27175000	94000	0.90071	36	7	2	2	7	2	HGDP01251	HGDP	Denisova	Denisova
chr16	22274000	22459000	184000	0.92606	51	20	0	0	20	0	HGDP01251	HGDP	Denisova	Denisova
chr17	49864000	49915000	50000	0.94906	23	14	6	6	14	6	HGDP01251	HGDP	Denisova	Denisova
chr17	78316000	78346000	29000	0.89369	12	2	0	0	2	0	HGDP01251	HGDP	Denisova	Denisova
