chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	20261000	20281000	19000	0.91243	9	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr10	110275000	110314000	38000	0.90135	16	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr10	114723000	114755000	31000	0.90456	11	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr11	4118000	4209000	90000	0.83649	19	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr11	123631000	123716000	84000	0.9414	31	14	1	1	14	1	HGDP00884	HGDP	Denisova	Denisova
chr13	51701000	51788000	86000	0.85859	29	4	0	0	4	0	HGDP00884	HGDP	Denisova	Denisova
chr16	58166000	58217000	50000	0.58363	9	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr18	8846000	8935000	88000	0.84632	20	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr1	30274000	30327000	52000	0.94882	25	5	1	1	5	1	HGDP00884	HGDP	Denisova	Denisova
chr1	30787000	30844000	56000	0.90225	17	2	0	0	2	0	HGDP00884	HGDP	Denisova	Denisova
chr1	57747000	57769000	21000	0.92084	12	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr1	147259000	147359000	99000	0.975	30	2	0	0	2	0	HGDP00884	HGDP	Denisova	Denisova
chr1	236457000	236499000	41000	0.92812	13	4	1	1	4	1	HGDP00884	HGDP	Denisova	Denisova
chr2	202708000	202773000	64000	0.76882	10	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr2	227201000	227234000	32000	0.87106	13	5	0	0	5	0	HGDP00884	HGDP	Denisova	Denisova
chr2	227375000	227594000	218000	0.96924	81	22	14	14	22	14	HGDP00884	HGDP	Denisova	Denisova
chr4	5285000	5346000	60000	0.93869	19	3	1	1	3	1	HGDP00884	HGDP	Denisova	Denisova
chr4	57235000	57249000	13000	0.70121	6	2	0	0	2	0	HGDP00884	HGDP	Denisova	Denisova
chr5	67804000	67844000	39000	0.92667	11	3	0	0	3	0	HGDP00884	HGDP	Denisova	Denisova
chr6	9146000	9171000	24000	0.82138	10	2	0	0	2	0	HGDP00884	HGDP	Denisova	Denisova
chr6	152178000	152208000	29000	0.92449	12	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr8	55959000	55999000	39000	0.82373	10	2	0	0	2	0	HGDP00884	HGDP	Denisova	Denisova
chr9	21996000	22068000	71000	0.94428	30	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr9	106307000	106375000	67000	0.94981	24	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chrX	45234000	45259000	24000	0.73631	10	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chrX	133806000	133837000	30000	0.84817	11	1	0	0	1	0	HGDP00884	HGDP	Denisova	Denisova
chr10	8118000	8255000	136000	0.98045	62	18	14	14	18	14	HGDP00886	HGDP	Denisova	Denisova
chr10	43733000	43788000	54000	0.89382	16	1	0	0	1	0	HGDP00886	HGDP	Denisova	Denisova
chr10	110146000	110414000	267000	0.97473	82	2	1	0	2	0	HGDP00886	HGDP	Denisova	Denisova
chr12	2638000	2647000	8000	0.68333	6	1	0	0	1	0	HGDP00886	HGDP	Denisova	Denisova
chr12	52255000	52292000	36000	0.90373	11	6	2	2	5	1	HGDP00886	HGDP	Denisova	Denisova
chr12	130132000	130146000	13000	0.92109	12	2	0	0	2	0	HGDP00886	HGDP	Denisova	Denisova
chr13	51696000	51777000	80000	0.8669	24	3	0	0	3	0	HGDP00886	HGDP	Denisova	Denisova
chr14	33581000	33645000	63000	0.97134	26	14	1	5	13	5	HGDP00886	HGDP	Denisova	Denisova
chr16	17217000	17251000	33000	0.88864	22	11	2	1	11	3	HGDP00886	HGDP	Denisova	Denisova
chr1	57749000	57770000	20000	0.9025	11	1	0	0	1	0	HGDP00886	HGDP	Denisova	Denisova
chr1	177320000	177454000	133000	0.98277	78	4	0	1	3	0	HGDP00886	HGDP	Denisova	Denisova
chr1	234745000	234776000	30000	0.8897	14	4	2	1	4	1	HGDP00886	HGDP	Denisova	Denisova
chr1	234946000	234981000	34000	0.77239	11	3	1	2	3	2	HGDP00886	HGDP	Denisova	Denisova
chr20	50506000	50625000	118000	0.95454	26	4	0	0	4	0	HGDP00886	HGDP	Denisova	Denisova
chr22	48509000	48531000	21000	0.95204	14	1	0	0	1	0	HGDP00886	HGDP	Denisova	Denisova
chr2	40430000	40445000	14000	0.82243	10	2	0	0	2	0	HGDP00886	HGDP	Denisova	Denisova
chr2	233791000	233799000	7000	0.80823	6	3	0	0	3	0	HGDP00886	HGDP	Denisova	Denisova
chr3	2564000	2622000	57000	0.95228	31	20	19	19	20	19	HGDP00886	HGDP	Denisova	Denisova
chr3	127477000	127492000	14000	0.89068	9	1	0	0	1	0	HGDP00886	HGDP	Denisova	Denisova
chr3	194511000	194551000	39000	0.85423	18	2	0	0	2	0	HGDP00886	HGDP	Denisova	Denisova
chr4	14687000	14829000	141000	0.9501	48	9	7	7	9	7	HGDP00886	HGDP	Denisova	Denisova
