chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	801000	920000	119000	0.95596	35	9	9	9	0	9	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	1696000	1724000	28000	0.87264	11	7	0	4	0	7	HGDP01019	HGDP	Vindija	Neanderthal
chr10	3749000	3817000	68000	0.98836	50	31	31	31	3	30	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	4279000	4306000	27000	0.82259	9	1	0	1	0	0	HGDP01019	HGDP	Chagyrskaya	Neanderthal
chr10	5600000	5685000	85000	0.94574	35	10	8	5	5	5	HGDP01019	HGDP	Altai	Neanderthal
chr10	6729000	6793000	64000	0.89689	16	8	4	8	2	8	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	6888000	6907000	19000	0.86823	9	4	4	4	0	4	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	6962000	7005000	43000	0.96505	25	12	12	12	3	12	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	7704000	7752000	48000	0.96083	15	3	3	1	0	3	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	11349000	11429000	80000	0.91582	24	9	5	9	1	9	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	11449000	11633000	184000	0.96181	64	27	22	27	0	27	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	13725000	13896000	171000	0.97936	98	49	49	44	5	44	HGDP01019	HGDP	Altai	Neanderthal
chr10	17641000	17736000	95000	0.87853	21	12	11	10	0	12	HGDP01019	HGDP	Vindija	Neanderthal
chr10	23980000	24000000	20000	0.79731	8	2	1	1	1	2	HGDP01019	HGDP	Vindija	Neanderthal
chr10	24317000	24338000	21000	0.81572	7	3	3	3	0	3	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	24409000	24540000	131000	0.96719	44	27	24	24	3	27	HGDP01019	HGDP	Vindija	Neanderthal
chr10	24941000	24960000	19000	0.90917	9	5	5	5	1	5	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	27383000	27903000	520000	0.95424	145	56	49	46	1	50	HGDP01019	HGDP	Vindija	Neanderthal
chr10	36829000	37078000	249000	0.96194	67	15	14	15	5	14	HGDP01019	HGDP	Chagyrskaya	Neanderthal
chr10	44133000	44292000	159000	0.98702	87	34	26	26	13	34	HGDP01019	HGDP	Vindija	Neanderthal
chr10	61993000	62141000	148000	0.806	35	18	12	12	3	18	HGDP01019	HGDP	Vindija	Neanderthal
chr10	62542000	62604000	62000	0.89785	20	11	11	11	0	11	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	62837000	62881000	44000	0.93045	14	4	4	4	1	4	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	65319000	65553000	234000	0.98714	108	55	45	55	11	54	HGDP01019	HGDP	Chagyrskaya	Neanderthal
chr10	67857000	67922000	65000	0.91197	11	6	1	5	0	6	HGDP01019	HGDP	Vindija	Neanderthal
chr10	67960000	68058000	98000	0.86229	17	8	1	6	0	8	HGDP01019	HGDP	Vindija	Neanderthal
chr10	68140000	68540000	400000	0.93192	105	44	41	43	13	41	HGDP01019	HGDP	Chagyrskaya	Neanderthal
chr10	68844000	69032000	188000	0.97301	40	18	15	18	4	18	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	69823000	69851000	28000	0.91547	12	5	4	5	1	5	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	69950000	70085000	135000	0.94298	35	17	16	15	2	16	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	70967000	70986000	19000	0.93929	14	9	9	6	4	9	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	71249000	71345000	96000	0.88099	30	7	6	4	2	4	HGDP01019	HGDP	Altai	Neanderthal
chr10	71547000	71748000	201000	0.98646	85	41	36	35	16	39	HGDP01019	HGDP	Vindija	Neanderthal
chr10	77718000	77735000	17000	0.80747	6	1	1	1	0	1	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	83867000	83893000	26000	0.79692	8	2	2	2	0	2	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	84015000	84097000	82000	0.94477	23	8	6	8	0	5	HGDP01019	HGDP	Chagyrskaya	Neanderthal
chr10	84698000	84765000	67000	0.94034	17	4	4	3	0	4	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	89591000	89821000	230000	0.97238	64	38	28	36	0	36	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	91035000	91107000	72000	0.97669	26	14	7	13	2	14	HGDP01019	HGDP	Vindija	Neanderthal
chr10	118790000	118817000	27000	0.84787	8	3	2	2	0	3	HGDP01019	HGDP	Vindija	Neanderthal
chr10	118941000	119010000	69000	0.94359	27	13	12	13	2	13	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	121057000	121119000	62000	0.94014	30	21	10	14	4	21	HGDP01019	HGDP	Vindija	Neanderthal
chr10	121203000	121270000	67000	0.93708	28	17	17	14	2	14	HGDP01019	HGDP	Altai	Neanderthal
chr10	122245000	122347000	102000	0.96893	35	12	11	12	7	12	HGDP01019	HGDP	AmbigNean	Neanderthal
chr10	122629000	122769000	140000	0.95806	66	34	34	34	4	34	HGDP01019	HGDP	AmbigNean	Neanderthal
