chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr11	115787000	115872000	85000	0.91227	27	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr12	224000	439000	215000	0.95977	55	7	0	0	7	0	HGDP00971	HGDP	Denisova	Denisova
chr12	8557000	8601000	44000	0.95989	19	8	4	4	6	4	HGDP00971	HGDP	Denisova	Denisova
chr12	52263000	52286000	23000	0.552	7	3	2	2	3	0	HGDP00971	HGDP	Denisova	Denisova
chr13	65931000	66138000	207000	0.98081	116	63	35	35	63	35	HGDP00971	HGDP	Denisova	Denisova
chr13	71922000	71931000	9000	0.59357	6	2	0	0	2	0	HGDP00971	HGDP	Denisova	Denisova
chr13	114127000	114339000	212000	0.98173	92	34	1	1	34	1	HGDP00971	HGDP	Denisova	Denisova
chr14	33645000	33677000	32000	0.62882	10	6	2	2	6	2	HGDP00971	HGDP	Denisova	Denisova
chr15	26915000	26951000	36000	0.87031	14	3	1	1	3	1	HGDP00971	HGDP	Denisova	Denisova
chr15	26968000	26972000	4000	0.57427	4	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr15	27054000	27061000	7000	0.77316	6	2	1	1	2	1	HGDP00971	HGDP	Denisova	Denisova
chr16	135000	165000	30000	0.69447	8	2	0	0	2	0	HGDP00971	HGDP	Denisova	Denisova
chr16	219000	277000	58000	0.91624	17	7	0	0	7	0	HGDP00971	HGDP	Denisova	Denisova
chr16	21554000	21744000	190000	0.8907	52	17	13	13	17	13	HGDP00971	HGDP	Denisova	Denisova
chr16	22835000	22941000	106000	0.96804	29	4	1	1	3	1	HGDP00971	HGDP	Denisova	Denisova
chr16	58702000	58907000	205000	0.96729	72	29	0	0	29	0	HGDP00971	HGDP	Denisova	Denisova
chr17	66251000	66284000	33000	0.80155	16	10	0	1	10	1	HGDP00971	HGDP	Denisova	Denisova
chr17	80018000	80045000	27000	0.75349	9	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr18	78670000	78714000	44000	0.93193	26	7	0	0	7	0	HGDP00971	HGDP	Denisova	Denisova
chr1	10701000	10749000	48000	0.95567	18	8	3	3	6	2	HGDP00971	HGDP	Denisova	Denisova
chr1	30213000	30264000	51000	0.93621	27	13	9	9	11	9	HGDP00971	HGDP	Denisova	Denisova
chr1	147259000	147281000	22000	0.93908	16	2	0	0	2	0	HGDP00971	HGDP	Denisova	Denisova
chr21	17582000	17619000	37000	0.7538	9	5	0	0	5	0	HGDP00971	HGDP	Denisova	Denisova
chr22	20616000	20627000	11000	0.59356	5	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr22	48508000	48575000	67000	0.94404	33	8	3	3	8	3	HGDP00971	HGDP	Denisova	Denisova
chr2	11653000	11687000	34000	0.9536	20	7	3	3	5	3	HGDP00971	HGDP	Denisova	Denisova
chr2	25032000	25135000	103000	0.90396	19	2	0	0	2	0	HGDP00971	HGDP	Denisova	Denisova
chr2	40431000	40479000	48000	0.74207	15	2	0	0	2	0	HGDP00971	HGDP	Denisova	Denisova
chr2	67553000	67609000	56000	0.86622	21	3	0	0	3	0	HGDP00971	HGDP	Denisova	Denisova
chr2	71094000	71151000	57000	0.87359	14	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr2	136287000	136874000	587000	0.98496	203	34	10	9	34	9	HGDP00971	HGDP	Denisova	Denisova
chr2	202708000	202769000	61000	0.65134	10	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
chr2	227376000	227403000	27000	0.84188	10	1	0	0	1	0	HGDP00971	HGDP	Denisova	Denisova
