chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7190000	7388000	198000	0.9778	90	23	0	1	22	2	HGDP00248	HGDP	Denisova	Denisova
chr10	7865000	8100000	235000	0.97279	78	25	8	8	25	8	HGDP00248	HGDP	Denisova	Denisova
chr10	55410000	55467000	57000	0.90512	37	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr11	119659000	119737000	78000	0.96036	34	11	3	3	11	3	HGDP00248	HGDP	Denisova	Denisova
chr11	130605000	130628000	23000	0.68558	8	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr13	51701000	51784000	83000	0.87093	27	4	0	0	4	0	HGDP00248	HGDP	Denisova	Denisova
chr13	104253000	104289000	36000	0.87718	16	6	5	5	6	5	HGDP00248	HGDP	Denisova	Denisova
chr14	31946000	32007000	61000	0.97642	24	6	0	0	6	0	HGDP00248	HGDP	Denisova	Denisova
chr14	49926000	50024000	98000	0.91165	29	9	0	0	9	0	HGDP00248	HGDP	Denisova	Denisova
chr14	50899000	50931000	32000	0.68772	9	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr15	71234000	71278000	44000	0.75333	13	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr15	71310000	71486000	176000	0.95834	85	30	14	14	25	14	HGDP00248	HGDP	Denisova	Denisova
chr16	9015000	9060000	45000	0.77333	15	5	0	0	5	0	HGDP00248	HGDP	Denisova	Denisova
chr16	62724000	62824000	100000	0.95079	28	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr17	79880000	79911000	31000	0.89473	16	7	0	0	7	0	HGDP00248	HGDP	Denisova	Denisova
chr18	3195000	3225000	30000	0.93215	13	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr18	31794000	31984000	190000	0.96167	45	13	10	10	13	10	HGDP00248	HGDP	Denisova	Denisova
chr1	9278000	9292000	14000	0.66104	6	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr1	147259000	147357000	98000	0.8455	25	2	0	0	2	0	HGDP00248	HGDP	Denisova	Denisova
chr2	12824000	12929000	105000	0.88321	37	15	0	0	15	0	HGDP00248	HGDP	Denisova	Denisova
chr2	67546000	67569000	23000	0.81832	12	3	0	0	3	0	HGDP00248	HGDP	Denisova	Denisova
chr2	170350000	170456000	106000	0.96132	36	7	2	2	6	2	HGDP00248	HGDP	Denisova	Denisova
chr2	227162000	227221000	59000	0.89724	15	3	1	1	3	1	HGDP00248	HGDP	Denisova	Denisova
chr3	2580000	2614000	34000	0.94625	17	10	9	9	10	9	HGDP00248	HGDP	Denisova	Denisova
chr3	14413000	14441000	28000	0.90219	15	4	1	1	3	1	HGDP00248	HGDP	Denisova	Denisova
chr3	127475000	127523000	48000	0.83878	18	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr3	187174000	187223000	49000	0.90446	18	4	2	2	4	0	HGDP00248	HGDP	Denisova	Denisova
chr4	27763000	27827000	64000	0.9545	30	6	1	1	5	1	HGDP00248	HGDP	Denisova	Denisova
chr4	167931000	168038000	107000	0.96406	46	5	0	0	5	0	HGDP00248	HGDP	Denisova	Denisova
chr5	125154000	125229000	75000	0.95625	38	5	1	1	5	1	HGDP00248	HGDP	Denisova	Denisova
chr6	45931000	45960000	29000	0.93704	17	4	0	0	4	0	HGDP00248	HGDP	Denisova	Denisova
chr6	51244000	51265000	21000	0.84336	10	3	0	0	3	0	HGDP00248	HGDP	Denisova	Denisova
chr6	135649000	135897000	248000	0.97334	84	18	11	5	16	5	HGDP00248	HGDP	Denisova	Denisova
chr7	138697000	138719000	22000	0.81111	7	4	0	0	4	0	HGDP00248	HGDP	Denisova	Denisova
chr8	116423000	116479000	56000	0.8302	16	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr8	129622000	129666000	44000	0.86324	15	3	0	0	3	0	HGDP00248	HGDP	Denisova	Denisova
chr8	138901000	138970000	69000	0.8574	16	2	0	0	2	0	HGDP00248	HGDP	Denisova	Denisova
chr9	21996000	22066000	70000	0.96953	31	1	0	0	1	0	HGDP00248	HGDP	Denisova	Denisova
chr10	2392000	2497000	105000	0.9765	45	4	0	0	4	0	HGDP00247	HGDP	Denisova	Denisova
chr10	5550000	5822000	272000	0.93558	109	35	10	5	26	8	HGDP00247	HGDP	Denisova	Denisova
chr10	8219000	8270000	51000	0.8668	14	3	0	0	3	0	HGDP00247	HGDP	Denisova	Denisova
chr10	55425000	55467000	42000	0.96735	40	1	0	0	1	0	HGDP00247	HGDP	Denisova	Denisova
