chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	10531000	10587000	55000	0.9057	16	6	0	0	6	0	HGDP00843	HGDP	Denisova	Denisova
chr10	13164000	13216000	51000	0.8953	18	9	1	0	9	0	HGDP00843	HGDP	Denisova	Denisova
chr11	349000	504000	154000	0.90124	43	15	11	11	12	11	HGDP00843	HGDP	Denisova	Denisova
chr11	5548000	5564000	15000	0.89872	11	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr11	21903000	22152000	248000	0.96302	88	11	1	1	10	1	HGDP00843	HGDP	Denisova	Denisova
chr11	36391000	36442000	50000	0.92795	19	13	3	3	13	3	HGDP00843	HGDP	Denisova	Denisova
chr11	134511000	134514000	2000	0.53368	4	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr12	114222000	114261000	38000	0.78129	11	3	1	1	3	1	HGDP00843	HGDP	Denisova	Denisova
chr13	71218000	71270000	51000	0.9715	23	3	0	0	3	0	HGDP00843	HGDP	Denisova	Denisova
chr13	79216000	79238000	21000	0.82864	10	3	2	2	3	2	HGDP00843	HGDP	Denisova	Denisova
chr13	113275000	113333000	57000	0.91968	18	5	4	4	5	4	HGDP00843	HGDP	Denisova	Denisova
chr15	98213000	98281000	67000	0.95138	34	15	0	0	15	0	HGDP00843	HGDP	Denisova	Denisova
chr16	21237000	21279000	41000	0.83712	10	5	2	2	5	2	HGDP00843	HGDP	Denisova	Denisova
chr17	12457000	12478000	20000	0.84117	11	4	0	0	4	0	HGDP00843	HGDP	Denisova	Denisova
chr17	80025000	80049000	23000	0.75211	8	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr1	47545000	47580000	34000	0.88732	13	7	0	0	7	0	HGDP00843	HGDP	Denisova	Denisova
chr1	57750000	57769000	18000	0.93015	10	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr1	61206000	61284000	77000	0.97434	28	15	2	2	15	2	HGDP00843	HGDP	Denisova	Denisova
chr1	234831000	234932000	100000	0.93334	27	10	2	0	8	2	HGDP00843	HGDP	Denisova	Denisova
chr21	18023000	18084000	60000	0.92303	21	3	0	0	3	0	HGDP00843	HGDP	Denisova	Denisova
chr21	30194000	30207000	12000	0.78995	6	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr22	47288000	47323000	34000	0.82723	14	2	0	0	2	0	HGDP00843	HGDP	Denisova	Denisova
chr22	48350000	48442000	91000	0.95671	57	20	1	1	19	1	HGDP00843	HGDP	Denisova	Denisova
chr22	48509000	48545000	35000	0.9497	17	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr2	11655000	11687000	31000	0.96249	18	7	3	3	5	3	HGDP00843	HGDP	Denisova	Denisova
chr2	67539000	67601000	61000	0.87809	21	3	0	0	3	0	HGDP00843	HGDP	Denisova	Denisova
chr2	227203000	227254000	50000	0.95032	24	11	0	2	9	0	HGDP00843	HGDP	Denisova	Denisova
chr2	227382000	227415000	32000	0.89305	14	3	2	2	3	2	HGDP00843	HGDP	Denisova	Denisova
chr2	232602000	232680000	77000	0.84306	14	1	0	0	1	0	HGDP00843	HGDP	Denisova	Denisova
chr3	14268000	14346000	77000	0.96144	30	7	3	3	7	3	HGDP00843	HGDP	Denisova	Denisova
