chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr11	405000	503000	97000	0.88016	27	9	5	5	6	5	HGDP00669	HGDP	Denisova	Denisova
chr11	120213000	120333000	119000	0.95288	31	6	1	1	5	0	HGDP00669	HGDP	Denisova	Denisova
chr11	131961000	132045000	83000	0.90594	35	5	0	0	5	0	HGDP00669	HGDP	Denisova	Denisova
chr12	47051000	47072000	20000	0.79485	7	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr17	66255000	66303000	47000	0.76117	19	10	0	1	10	1	HGDP00669	HGDP	Denisova	Denisova
chr19	48029000	48043000	13000	0.66761	6	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr20	745000	793000	47000	0.8702	12	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr22	26075000	26128000	52000	0.95915	28	8	1	1	8	1	HGDP00669	HGDP	Denisova	Denisova
chr2	47629000	47688000	58000	0.85387	14	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr2	83535000	83600000	64000	0.83764	14	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr2	202742000	202763000	20000	0.51379	3	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr2	227586000	227650000	63000	0.92855	29	8	2	2	8	2	HGDP00669	HGDP	Denisova	Denisova
chr2	235465000	235500000	34000	0.91111	14	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr3	125455000	125593000	137000	0.89337	50	15	0	0	15	0	HGDP00669	HGDP	Denisova	Denisova
chr3	127776000	127797000	20000	0.69071	8	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr5	161398000	161440000	41000	0.80501	13	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr6	51250000	51266000	15000	0.89636	9	3	0	0	3	0	HGDP00669	HGDP	Denisova	Denisova
chr7	105514000	105529000	14000	0.64409	5	2	0	0	2	0	HGDP00669	HGDP	Denisova	Denisova
chr8	8510000	8533000	22000	0.8491	10	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr9	106296000	106376000	79000	0.90743	30	1	0	0	1	0	HGDP00669	HGDP	Denisova	Denisova
chr9	109761000	109871000	109000	0.96833	37	17	13	14	16	14	HGDP00669	HGDP	Denisova	Denisova
chr10	33987000	34046000	58000	0.93275	15	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr10	61797000	61846000	48000	0.90372	20	5	0	0	5	0	HGDP00671	HGDP	Denisova	Denisova
chr13	51685000	51778000	92000	0.91946	28	4	0	0	4	0	HGDP00671	HGDP	Denisova	Denisova
chr14	39998000	40056000	57000	0.94104	33	2	0	0	2	0	HGDP00671	HGDP	Denisova	Denisova
chr14	64554000	64598000	43000	0.91732	13	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr1	147259000	147359000	99000	0.97855	33	2	0	0	2	0	HGDP00671	HGDP	Denisova	Denisova
chr22	29523000	29656000	132000	0.95802	29	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr2	67546000	67600000	53000	0.85712	18	3	0	0	3	0	HGDP00671	HGDP	Denisova	Denisova
chr2	147581000	147625000	43000	0.93178	14	2	0	0	2	0	HGDP00671	HGDP	Denisova	Denisova
chr3	125454000	125618000	163000	0.81917	52	15	0	0	15	0	HGDP00671	HGDP	Denisova	Denisova
chr6	1366000	1389000	22000	0.9117	9	2	0	0	2	0	HGDP00671	HGDP	Denisova	Denisova
chr8	116437000	116488000	50000	0.84062	15	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr8	121126000	121186000	59000	0.94625	25	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr9	21997000	22068000	70000	0.93667	30	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr9	106311000	106375000	63000	0.96449	24	1	0	0	1	0	HGDP00671	HGDP	Denisova	Denisova
chr10	8117000	8322000	204000	0.98589	87	25	13	13	25	13	HGDP00667	HGDP	Denisova	Denisova
chr11	400000	502000	101000	0.88038	26	9	5	5	6	5	HGDP00667	HGDP	Denisova	Denisova
chr13	91411000	91461000	49000	0.96783	35	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr14	40003000	40056000	52000	0.94039	32	2	0	0	2	0	HGDP00667	HGDP	Denisova	Denisova
chr1	57740000	57771000	30000	0.87008	12	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr1	88193000	88236000	42000	0.85211	15	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr1	238759000	239120000	360000	0.97954	186	40	14	12	36	11	HGDP00667	HGDP	Denisova	Denisova
chr2	67553000	67599000	45000	0.83207	17	3	0	0	3	0	HGDP00667	HGDP	Denisova	Denisova
chr4	167934000	168043000	108000	0.93733	46	5	0	0	5	0	HGDP00667	HGDP	Denisova	Denisova
chr6	80510000	80598000	87000	0.97689	38	2	0	0	2	0	HGDP00667	HGDP	Denisova	Denisova
chr8	8513000	8518000	4000	0.5339	4	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr8	91098000	91226000	127000	0.94818	34	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr9	106310000	106398000	87000	0.9206	31	1	0	0	1	0	HGDP00667	HGDP	Denisova	Denisova
chr10	55424000	55467000	42000	0.96148	36	1	0	0	1	0	HGDP00668	HGDP	Denisova	Denisova
