chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	8158000	8321000	162000	0.97947	60	14	5	5	14	5	HGDP00092	HGDP	Denisova	Denisova
chr10	17378000	17520000	141000	0.95358	61	13	3	3	13	3	HGDP00092	HGDP	Denisova	Denisova
chr10	30170000	30211000	40000	0.95938	19	3	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
chr10	55420000	55468000	47000	0.96445	40	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr10	96302000	96360000	57000	0.84776	14	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr10	113126000	113156000	29000	0.89246	11	3	2	2	3	2	HGDP00092	HGDP	Denisova	Denisova
chr11	37820000	37976000	155000	0.96819	56	10	2	2	9	1	HGDP00092	HGDP	Denisova	Denisova
chr11	113190000	113240000	49000	0.9623	23	10	1	1	10	1	HGDP00092	HGDP	Denisova	Denisova
chr12	115891000	115930000	38000	0.84261	16	2	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
chr12	119159000	119224000	64000	0.91983	17	3	0	0	3	0	HGDP00092	HGDP	Denisova	Denisova
chr13	22319000	22351000	31000	0.84552	11	4	0	0	4	0	HGDP00092	HGDP	Denisova	Denisova
chr13	51719000	51779000	59000	0.90579	28	4	0	0	4	0	HGDP00092	HGDP	Denisova	Denisova
chr15	90046000	90080000	33000	0.79847	10	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr17	80024000	80039000	14000	0.75056	6	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr18	8826000	8866000	39000	0.94273	16	9	8	7	9	8	HGDP00092	HGDP	Denisova	Denisova
chr19	49170000	49207000	36000	0.87871	12	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr1	18856000	18874000	17000	0.73292	8	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr1	147259000	147360000	100000	0.97195	33	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr1	240144000	240195000	50000	0.95956	23	8	1	1	8	1	HGDP00092	HGDP	Denisova	Denisova
chr20	59436000	59458000	21000	0.83029	12	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr20	60596000	60685000	88000	0.97327	40	8	1	1	7	1	HGDP00092	HGDP	Denisova	Denisova
chr2	117877000	118101000	223000	0.96833	66	15	8	8	15	8	HGDP00092	HGDP	Denisova	Denisova
chr2	173834000	173849000	14000	0.8459	7	2	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
chr2	227204000	227241000	36000	0.90789	15	6	0	0	6	0	HGDP00092	HGDP	Denisova	Denisova
chr2	227375000	227409000	33000	0.79371	10	2	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
chr2	234755000	234791000	35000	0.89991	10	4	2	2	4	2	HGDP00092	HGDP	Denisova	Denisova
chr3	39760000	39813000	52000	0.91945	23	8	0	1	8	1	HGDP00092	HGDP	Denisova	Denisova
chr3	74498000	74601000	102000	0.94969	42	3	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
chr4	60007000	60033000	25000	0.88614	10	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr4	69898000	69930000	31000	0.78761	8	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr4	74388000	74431000	42000	0.66863	9	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr5	166918000	166976000	57000	0.95034	23	5	0	0	5	0	HGDP00092	HGDP	Denisova	Denisova
chr5	169855000	169966000	110000	0.97502	48	15	8	8	13	8	HGDP00092	HGDP	Denisova	Denisova
chr6	11086000	11191000	104000	0.95601	41	11	0	0	11	0	HGDP00092	HGDP	Denisova	Denisova
chr6	44538000	44629000	90000	0.96863	28	6	2	2	3	2	HGDP00092	HGDP	Denisova	Denisova
chr6	51242000	51265000	22000	0.7992	9	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr6	135649000	136034000	384000	0.94044	114	19	11	5	17	5	HGDP00092	HGDP	Denisova	Denisova
chr7	80793000	80828000	34000	0.88324	19	6	0	0	6	0	HGDP00092	HGDP	Denisova	Denisova
chr8	4133000	4140000	6000	0.78271	7	2	0	0	2	0	HGDP00092	HGDP	Denisova	Denisova
chr8	4269000	4301000	31000	0.96086	25	11	2	2	10	2	HGDP00092	HGDP	Denisova	Denisova
chr8	8511000	8536000	24000	0.90556	11	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr8	16489000	16546000	56000	0.95666	36	9	0	0	9	0	HGDP00092	HGDP	Denisova	Denisova
chr8	21716000	21732000	15000	0.83518	9	1	0	0	1	0	HGDP00092	HGDP	Denisova	Denisova
chr8	116462000	116496000	33000	0.9131	23	6	0	0	6	0	HGDP00092	HGDP	Denisova	Denisova
chr9	117860000	117969000	108000	0.99106	54	32	0	0	32	0	HGDP00092	HGDP	Denisova	Denisova
chr9	130137000	130145000	7000	0.79691	6	3	1	1	2	1	HGDP00092	HGDP	Denisova	Denisova
