chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	13164000	13272000	107000	0.97234	31	10	1	0	10	0	HGDP00382	HGDP	Denisova	Denisova
chr10	117450000	117500000	49000	0.91975	21	4	0	0	4	1	HGDP00382	HGDP	Denisova	Denisova
chr11	36439000	36516000	76000	0.83941	21	3	1	1	2	1	HGDP00382	HGDP	Denisova	Denisova
chr11	43152000	43174000	21000	0.69228	7	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr11	104914000	105000000	85000	0.86733	19	5	1	1	5	1	HGDP00382	HGDP	Denisova	Denisova
chr11	114303000	114359000	55000	0.96159	18	4	0	0	4	0	HGDP00382	HGDP	Denisova	Denisova
chr11	117854000	117905000	50000	0.95921	75	38	1	1	37	1	HGDP00382	HGDP	Denisova	Denisova
chr12	1527000	1557000	29000	0.92758	14	7	3	5	7	6	HGDP00382	HGDP	Denisova	Denisova
chr12	46975000	47072000	96000	0.83908	20	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr12	114777000	114825000	47000	0.89078	14	4	3	3	4	3	HGDP00382	HGDP	Denisova	Denisova
chr13	51685000	51775000	89000	0.80681	23	4	0	0	4	0	HGDP00382	HGDP	Denisova	Denisova
chr13	72127000	72320000	192000	0.98064	70	33	14	16	30	13	HGDP00382	HGDP	Denisova	Denisova
chr13	74726000	74741000	14000	0.6567	6	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr15	53727000	53811000	83000	0.96663	36	9	3	4	9	3	HGDP00382	HGDP	Denisova	Denisova
chr15	93552000	93606000	53000	0.97823	36	15	5	5	14	5	HGDP00382	HGDP	Denisova	Denisova
chr16	1771000	1863000	91000	0.88113	23	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr16	21554000	21666000	111000	0.90516	39	12	10	10	12	10	HGDP00382	HGDP	Denisova	Denisova
chr16	22673000	22709000	35000	0.53766	3	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr16	58781000	58894000	112000	0.94229	47	20	0	0	20	0	HGDP00382	HGDP	Denisova	Denisova
chr17	13616000	13645000	28000	0.80154	10	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr17	14045000	14211000	165000	0.96971	59	20	12	12	20	12	HGDP00382	HGDP	Denisova	Denisova
chr18	64758000	64853000	94000	0.83617	33	4	0	0	4	0	HGDP00382	HGDP	Denisova	Denisova
chr1	9278000	9295000	16000	0.66816	6	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr1	177332000	177464000	131000	0.9592	74	4	0	1	3	0	HGDP00382	HGDP	Denisova	Denisova
chr1	214967000	215673000	705000	0.99276	372	88	50	50	69	50	HGDP00382	HGDP	Denisova	Denisova
chr1	238538000	238587000	48000	0.95397	30	8	0	0	8	0	HGDP00382	HGDP	Denisova	Denisova
chr20	10734000	10775000	40000	0.89852	13	2	0	0	2	0	HGDP00382	HGDP	Denisova	Denisova
chr20	20002000	20194000	191000	0.95668	47	4	3	3	4	3	HGDP00382	HGDP	Denisova	Denisova
chr20	42462000	42587000	124000	0.98659	48	13	4	1	12	4	HGDP00382	HGDP	Denisova	Denisova
chr20	59434000	59452000	17000	0.89595	14	1	0	0	1	0	HGDP00382	HGDP	Denisova	Denisova
chr22	27029000	27052000	22000	0.82198	17	9	1	1	9	1	HGDP00382	HGDP	Denisova	Denisova
chr22	47774000	47875000	100000	0.96949	55	7	0	0	7	0	HGDP00382	HGDP	Denisova	Denisova
chr2	26452000	26516000	63000	0.96181	30	4	3	3	4	3	HGDP00382	HGDP	Denisova	Denisova
chr2	67544000	67570000	25000	0.84071	14	3	0	0	3	0	HGDP00382	HGDP	Denisova	Denisova
chr2	233790000	233800000	9000	0.75434	6	2	0	0	2	0	HGDP00382	HGDP	Denisova	Denisova
chr3	14415000	14445000	29000	0.93686	16	4	1	1	3	1	HGDP00382	HGDP	Denisova	Denisova
chr3	24436000	24495000	58000	0.95723	23	5	0	0	5	0	HGDP00382	HGDP	Denisova	Denisova
