chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	2598000	2681000	83000	0.78136	29	6	3	3	4	3	HGDP01182	HGDP	Denisova	Denisova
chr10	5996000	6160000	164000	0.95492	53	10	3	2	9	3	HGDP01182	HGDP	Denisova	Denisova
chr10	10537000	10586000	49000	0.9151	17	6	0	0	6	0	HGDP01182	HGDP	Denisova	Denisova
chr10	10740000	10926000	186000	0.98036	77	23	10	10	23	10	HGDP01182	HGDP	Denisova	Denisova
chr10	17502000	17528000	26000	0.82748	10	1	0	0	1	0	HGDP01182	HGDP	Denisova	Denisova
chr10	26733000	26843000	110000	0.94825	37	4	2	2	4	2	HGDP01182	HGDP	Denisova	Denisova
chr10	112830000	112962000	132000	0.97084	42	16	5	5	16	5	HGDP01182	HGDP	Denisova	Denisova
chr10	128873000	128896000	23000	0.92196	12	4	3	3	4	3	HGDP01182	HGDP	Denisova	Denisova
chr11	2663000	2717000	54000	0.95768	30	17	10	10	17	10	HGDP01182	HGDP	Denisova	Denisova
chr11	36415000	36443000	28000	0.95112	17	11	3	3	11	3	HGDP01182	HGDP	Denisova	Denisova
chr11	125235000	125307000	72000	0.96197	41	17	2	2	16	2	HGDP01182	HGDP	Denisova	Denisova
chr11	130853000	131025000	172000	0.91929	41	20	1	1	20	1	HGDP01182	HGDP	Denisova	Denisova
chr13	23435000	23620000	185000	0.98	91	18	11	2	16	2	HGDP01182	HGDP	Denisova	Denisova
chr13	71214000	71406000	192000	0.98157	64	18	5	5	17	5	HGDP01182	HGDP	Denisova	Denisova
chr13	105988000	105991000	3000	0.51825	3	1	0	0	1	0	HGDP01182	HGDP	Denisova	Denisova
chr13	110951000	111011000	60000	0.93618	26	3	0	0	3	0	HGDP01182	HGDP	Denisova	Denisova
chr13	111138000	111255000	117000	0.92467	50	5	0	0	5	0	HGDP01182	HGDP	Denisova	Denisova
chr13	113167000	113189000	22000	0.91683	16	5	2	2	5	2	HGDP01182	HGDP	Denisova	Denisova
chr13	113226000	113273000	47000	0.84314	16	2	1	1	2	1	HGDP01182	HGDP	Denisova	Denisova
chr14	96122000	96135000	13000	0.74896	7	1	0	0	1	0	HGDP01182	HGDP	Denisova	Denisova
chr14	98020000	98030000	10000	0.65174	7	2	0	0	2	0	HGDP01182	HGDP	Denisova	Denisova
