chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3680000	3743000	63000	0.95043	34	22	18	22	3	18	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	3826000	3858000	32000	0.91653	12	4	4	3	0	4	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	5936000	5946000	10000	0.68905	6	2	2	2	1	2	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	7033000	7071000	38000	0.92533	11	6	4	4	0	6	HGDP00167	HGDP	Vindija	Neanderthal
chr10	9938000	10115000	177000	0.9582	56	22	18	21	2	8	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	11802000	11822000	20000	0.81033	7	1	1	1	0	1	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	11907000	12059000	152000	0.96708	81	40	37	37	19	40	HGDP00167	HGDP	Vindija	Neanderthal
chr10	13699000	13741000	42000	0.96241	43	23	23	23	3	23	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	25794000	25873000	79000	0.90198	25	10	9	8	0	10	HGDP00167	HGDP	Vindija	Neanderthal
chr10	27387000	27672000	285000	0.95738	72	28	23	28	1	23	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	28364000	28394000	30000	0.88275	17	8	8	8	0	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	28716000	28786000	70000	0.90041	23	8	8	4	2	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	28832000	28905000	73000	0.86457	19	10	8	9	0	10	HGDP00167	HGDP	Vindija	Neanderthal
chr10	28965000	29078000	113000	0.94375	46	24	14	18	11	24	HGDP00167	HGDP	Vindija	Neanderthal
chr10	36366000	36405000	39000	0.92133	12	4	4	4	0	4	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	36523000	36582000	59000	0.93101	24	14	0	14	0	14	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	43313000	43696000	383000	0.97488	128	62	57	62	27	57	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	43843000	44359000	516000	0.99287	240	96	86	86	29	91	HGDP00167	HGDP	Vindija	Neanderthal
chr10	62276000	62407000	131000	0.89795	32	11	6	6	0	11	HGDP00167	HGDP	Vindija	Neanderthal
chr10	62835000	62877000	42000	0.83121	11	1	1	0	0	0	HGDP00167	HGDP	Altai	Neanderthal
chr10	64836000	64972000	136000	0.80197	27	8	5	0	0	8	HGDP00167	HGDP	Vindija	Neanderthal
chr10	65065000	65128000	63000	0.82755	15	2	0	2	0	0	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	65864000	66007000	143000	0.98063	46	21	21	21	0	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	68150000	68575000	425000	0.92349	103	53	46	45	13	53	HGDP00167	HGDP	Vindija	Neanderthal
chr10	68714000	68844000	130000	0.96098	23	8	8	8	0	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	69619000	69686000	67000	0.96697	35	21	21	21	13	21	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	70398000	70442000	44000	0.8602	12	8	8	8	0	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	80138000	80194000	56000	0.95816	21	10	10	9	1	9	HGDP00167	HGDP	Altai	Neanderthal
chr10	89540000	89629000	89000	0.97133	26	10	4	10	0	5	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	93065000	93197000	132000	0.89518	48	17	13	12	1	17	HGDP00167	HGDP	Vindija	Neanderthal
chr10	94862000	95269000	407000	0.98434	120	37	36	35	21	36	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	106971000	107004000	33000	0.93873	17	8	8	8	2	8	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	117596000	117608000	12000	0.65295	6	3	3	2	0	3	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	118832000	118905000	73000	0.93274	19	7	7	7	0	7	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	119685000	120119000	434000	0.99475	200	88	82	81	48	87	HGDP00167	HGDP	Vindija	Neanderthal
chr10	121393000	121456000	63000	0.8889	18	11	7	6	0	11	HGDP00167	HGDP	Vindija	Neanderthal
chr10	122255000	122439000	184000	0.97548	60	27	21	25	7	25	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	123897000	123942000	45000	0.96049	26	15	11	12	2	13	HGDP00167	HGDP	Vindija	Neanderthal
chr10	124032000	124104000	72000	0.95588	27	7	3	6	1	5	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	126202000	126226000	24000	0.94405	19	9	3	9	4	2	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	126930000	126995000	65000	0.94739	22	3	2	3	0	3	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	127339000	127388000	49000	0.79216	17	5	5	5	1	5	HGDP00167	HGDP	AmbigNean	Neanderthal
chr10	129071000	129135000	64000	0.91354	25	10	6	10	1	9	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	129741000	129776000	35000	0.90693	20	8	6	8	0	6	HGDP00167	HGDP	Chagyrskaya	Neanderthal
chr10	130106000	130358000	252000	0.96191	109	34	27	31	2	30	HGDP00167	HGDP	Chagyrskaya	Neanderthal
