chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1635000	1686000	51000	0.93102	20	9	8	9	0	3	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	6345000	6362000	17000	0.9181	9	2	2	2	0	0	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	6741000	6855000	114000	0.94828	39	17	8	15	4	17	HGDP00889	HGDP	Vindija	Neanderthal
chr10	11348000	11382000	34000	0.94855	14	8	7	8	1	8	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	11437000	11692000	255000	0.98032	80	30	25	30	2	30	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	14616000	14647000	31000	0.85023	10	7	6	7	5	6	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	17545000	17552000	7000	0.59814	5	2	2	2	0	2	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	18701000	18908000	207000	0.97679	72	25	18	24	3	25	HGDP00889	HGDP	Vindija	Neanderthal
chr10	24409000	24506000	97000	0.96252	37	22	21	21	3	22	HGDP00889	HGDP	Vindija	Neanderthal
chr10	24894000	24906000	12000	0.64107	6	1	1	1	0	1	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	25112000	25132000	20000	0.87571	17	9	9	9	4	9	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	25721000	25755000	34000	0.88581	14	2	0	2	0	2	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	28724000	28775000	51000	0.94246	17	8	8	4	2	8	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	30286000	30368000	82000	0.81782	23	9	2	9	2	3	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	30520000	30540000	20000	0.62695	6	2	1	1	0	2	HGDP00889	HGDP	Vindija	Neanderthal
chr10	36299000	36364000	65000	0.94879	26	14	10	11	0	13	HGDP00889	HGDP	Vindija	Neanderthal
chr10	43372000	43522000	150000	0.9879	55	20	18	20	11	18	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	43619000	44177000	558000	0.99032	254	118	110	114	46	114	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	45071000	45207000	136000	0.91112	36	7	7	7	2	7	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	61889000	62088000	199000	0.93592	52	22	16	13	8	17	HGDP00889	HGDP	Vindija	Neanderthal
chr10	66317000	66447000	130000	0.96797	41	23	20	23	0	23	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	66765000	66803000	38000	0.91155	13	5	4	5	1	5	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	66931000	66996000	65000	0.96689	24	11	4	11	2	10	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	67411000	67775000	364000	0.97816	89	34	30	30	3	34	HGDP00889	HGDP	Vindija	Neanderthal
chr10	68092000	68654000	562000	0.97336	135	55	47	52	13	52	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	68714000	69023000	309000	0.98086	63	25	22	25	3	25	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	69229000	69367000	138000	0.94354	31	7	5	6	0	7	HGDP00889	HGDP	Vindija	Neanderthal
chr10	69692000	69734000	42000	0.95556	18	10	9	7	3	10	HGDP00889	HGDP	Vindija	Neanderthal
chr10	70915000	70925000	10000	0.56248	6	2	1	2	0	1	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	79527000	79631000	104000	0.9336	34	9	9	9	4	9	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	85615000	85893000	278000	0.93868	94	50	43	38	9	49	HGDP00889	HGDP	Vindija	Neanderthal
chr10	106132000	106199000	67000	0.90725	19	9	6	3	2	9	HGDP00889	HGDP	Vindija	Neanderthal
chr10	119210000	119394000	184000	0.98043	89	35	32	33	1	34	HGDP00889	HGDP	Vindija	Neanderthal
chr10	119587000	119633000	46000	0.80126	9	4	4	4	0	4	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	119642000	119762000	120000	0.88191	41	22	17	21	9	18	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	121434000	121473000	39000	0.9588	20	10	8	8	0	10	HGDP00889	HGDP	Vindija	Neanderthal
chr10	123207000	123224000	17000	0.77422	7	4	4	4	0	3	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	123288000	123424000	136000	0.9676	45	21	7	19	0	18	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	123863000	124038000	175000	0.96925	57	27	21	24	7	25	HGDP00889	HGDP	Vindija	Neanderthal
chr10	124363000	124391000	28000	0.79615	11	6	5	6	4	6	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	128094000	128136000	42000	0.92995	17	6	6	6	4	6	HGDP00889	HGDP	AmbigNean	Neanderthal
chr10	129738000	129800000	62000	0.89534	26	12	10	12	0	9	HGDP00889	HGDP	Chagyrskaya	Neanderthal
chr10	130356000	130390000	34000	0.91837	36	22	22	22	7	22	HGDP00889	HGDP	AmbigNean	Neanderthal
