chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7201000	7388000	187000	0.98242	84	23	0	1	22	2	HGDP00086	HGDP	Denisova	Denisova
chr10	8189000	8321000	132000	0.9843	59	16	6	6	16	6	HGDP00086	HGDP	Denisova	Denisova
chr10	17305000	17504000	199000	0.97965	69	16	3	3	16	3	HGDP00086	HGDP	Denisova	Denisova
chr10	110275000	110363000	88000	0.9369	33	2	1	0	2	0	HGDP00086	HGDP	Denisova	Denisova
chr11	2409000	2425000	16000	0.85762	9	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr12	115891000	115930000	39000	0.84433	15	2	1	1	2	1	HGDP00086	HGDP	Denisova	Denisova
chr15	93570000	93602000	32000	0.79122	20	11	5	5	10	5	HGDP00086	HGDP	Denisova	Denisova
chr18	4928000	4977000	49000	0.93254	28	12	0	0	12	0	HGDP00086	HGDP	Denisova	Denisova
chr19	48027000	48051000	24000	0.77232	7	3	0	0	3	0	HGDP00086	HGDP	Denisova	Denisova
chr1	9261000	9305000	44000	0.90148	17	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr1	88197000	88223000	26000	0.90758	11	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr20	60469000	60535000	66000	0.90981	32	6	5	5	6	5	HGDP00086	HGDP	Denisova	Denisova
chr2	227206000	227229000	23000	0.91514	10	5	0	0	5	0	HGDP00086	HGDP	Denisova	Denisova
chr3	125090000	125105000	15000	0.79376	6	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr3	175006000	175134000	128000	0.96738	45	5	1	1	5	1	HGDP00086	HGDP	Denisova	Denisova
chr4	60007000	60026000	19000	0.91085	10	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr4	89263000	89310000	47000	0.95886	21	3	0	0	3	0	HGDP00086	HGDP	Denisova	Denisova
chr4	163789000	163818000	29000	0.87516	10	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr6	51250000	51275000	25000	0.88127	11	3	0	0	3	0	HGDP00086	HGDP	Denisova	Denisova
chr6	52963000	52991000	28000	0.75137	9	2	0	0	2	0	HGDP00086	HGDP	Denisova	Denisova
chr7	26592000	26640000	48000	0.83178	15	6	0	0	5	1	HGDP00086	HGDP	Denisova	Denisova
chr7	105521000	105528000	7000	0.51789	4	2	0	0	2	0	HGDP00086	HGDP	Denisova	Denisova
chr8	55943000	56001000	58000	0.88507	16	2	0	0	2	0	HGDP00086	HGDP	Denisova	Denisova
chr8	86998000	87074000	76000	0.91722	25	4	3	3	4	3	HGDP00086	HGDP	Denisova	Denisova
chr8	91113000	91237000	124000	0.94674	33	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr9	32484000	32528000	44000	0.61163	10	1	0	0	1	0	HGDP00086	HGDP	Denisova	Denisova
chr9	105201000	105329000	128000	0.9751	47	11	2	2	11	2	HGDP00086	HGDP	Denisova	Denisova
chr10	564000	601000	37000	0.91584	21	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr10	13213000	13243000	30000	0.86525	9	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr10	55423000	55466000	43000	0.95874	35	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr10	109537000	109622000	85000	0.90188	20	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr11	21283000	21415000	132000	0.96773	61	18	7	6	13	7	HGDP00090	HGDP	Denisova	Denisova
chr11	104161000	104999000	838000	0.97507	266	77	15	15	77	15	HGDP00090	HGDP	Denisova	Denisova
chr12	52256000	52291000	35000	0.94155	13	6	2	2	5	1	HGDP00090	HGDP	Denisova	Denisova
chr15	93587000	93602000	15000	0.92261	17	9	4	4	9	4	HGDP00090	HGDP	Denisova	Denisova
chr16	19979000	20010000	31000	0.87912	12	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr18	48631000	48680000	49000	0.97572	23	8	1	1	8	1	HGDP00090	HGDP	Denisova	Denisova
chr19	48030000	48038000	8000	0.56241	5	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr1	147258000	147357000	99000	0.93593	31	2	0	0	2	0	HGDP00090	HGDP	Denisova	Denisova
chr1	234758000	234771000	13000	0.60448	6	3	1	1	3	1	HGDP00090	HGDP	Denisova	Denisova
chr1	234939000	234982000	43000	0.83117	13	5	2	3	5	3	HGDP00090	HGDP	Denisova	Denisova
chr22	26075000	26131000	56000	0.93307	29	8	1	1	8	1	HGDP00090	HGDP	Denisova	Denisova
chr2	1144000	1162000	18000	0.85275	8	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr2	9151000	9187000	36000	0.94781	14	4	1	1	4	1	HGDP00090	HGDP	Denisova	Denisova
chr2	19676000	19686000	10000	0.63983	5	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr2	67552000	67589000	37000	0.7818	16	3	0	0	3	0	HGDP00090	HGDP	Denisova	Denisova
chr2	170351000	170368000	17000	0.81292	7	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr2	202743000	202774000	31000	0.72768	7	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr2	205934000	205941000	7000	0.67781	5	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
chr3	2576000	2626000	50000	0.95815	32	21	20	20	21	20	HGDP00090	HGDP	Denisova	Denisova
chr3	24432000	24496000	64000	0.93038	22	5	0	0	5	0	HGDP00090	HGDP	Denisova	Denisova
chr4	14677000	14815000	138000	0.97792	51	7	5	5	7	5	HGDP00090	HGDP	Denisova	Denisova
chr4	60001000	60036000	35000	0.82981	13	1	0	0	1	0	HGDP00090	HGDP	Denisova	Denisova
