chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7437000	7480000	42000	0.89736	16	2	1	1	2	1	HGDP00311	HGDP	Denisova	Denisova
chr10	114725000	114753000	27000	0.89863	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	1401000	1413000	11000	0.53146	6	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	4115000	4209000	93000	0.91481	24	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	37820000	37976000	155000	0.9858	59	10	2	2	9	1	HGDP00311	HGDP	Denisova	Denisova
chr11	39389000	39422000	32000	0.90456	12	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr11	80539000	80563000	23000	0.74216	8	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr11	104906000	105002000	95000	0.92364	23	5	1	1	5	1	HGDP00311	HGDP	Denisova	Denisova
chr11	114241000	114392000	150000	0.96025	110	42	11	11	42	11	HGDP00311	HGDP	Denisova	Denisova
chr11	120212000	120264000	51000	0.93261	14	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr12	6106000	6200000	93000	0.86182	22	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr13	22319000	22436000	116000	0.97101	52	8	3	1	7	1	HGDP00311	HGDP	Denisova	Denisova
chr13	91407000	91464000	56000	0.93169	36	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr13	108366000	108608000	241000	0.97701	92	13	2	1	13	1	HGDP00311	HGDP	Denisova	Denisova
chr13	111954000	111968000	13000	0.72952	7	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr15	86022000	86105000	82000	0.97324	56	25	2	2	25	2	HGDP00311	HGDP	Denisova	Denisova
chr15	97966000	98179000	212000	0.94657	101	28	10	11	20	10	HGDP00311	HGDP	Denisova	Denisova
chr16	79434000	79445000	10000	0.91583	11	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr16	80356000	80369000	12000	0.6872	7	3	2	2	3	2	HGDP00311	HGDP	Denisova	Denisova
chr18	49623000	49730000	106000	0.94887	28	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr1	9258000	9311000	52000	0.86893	19	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	57750000	57769000	18000	0.94158	11	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	117502000	117515000	12000	0.54955	5	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr1	241306000	241420000	113000	0.97774	53	20	0	0	20	0	HGDP00311	HGDP	Denisova	Denisova
chr20	15588000	15640000	51000	0.90065	18	3	1	1	3	1	HGDP00311	HGDP	Denisova	Denisova
chr2	19900000	20004000	103000	0.89964	23	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr2	25969000	26174000	204000	0.91254	107	40	3	3	40	3	HGDP00311	HGDP	Denisova	Denisova
chr2	67546000	67598000	51000	0.87637	21	3	0	0	3	0	HGDP00311	HGDP	Denisova	Denisova
chr2	178389000	179339000	949000	0.9862	339	117	43	40	109	44	HGDP00311	HGDP	Denisova	Denisova
chr2	227946000	228076000	129000	0.94813	32	12	1	1	12	1	HGDP00311	HGDP	Denisova	Denisova
chr2	228130000	228199000	68000	0.88888	15	2	0	0	2	0	HGDP00311	HGDP	Denisova	Denisova
chr3	32331000	32424000	92000	0.95599	29	4	0	0	4	0	HGDP00311	HGDP	Denisova	Denisova
chr3	39854000	40045000	190000	0.93825	40	7	2	2	5	2	HGDP00311	HGDP	Denisova	Denisova
chr3	175010000	175135000	124000	0.94733	36	5	1	1	5	1	HGDP00311	HGDP	Denisova	Denisova
chr4	19338000	19549000	210000	0.93226	97	9	0	0	9	0	HGDP00311	HGDP	Denisova	Denisova
chr4	60007000	60028000	20000	0.88381	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr4	163786000	163815000	28000	0.86493	9	1	0	0	1	0	HGDP00311	HGDP	Denisova	Denisova
chr4	177230000	177306000	75000	0.95269	33	8	1	1	8	1	HGDP00311	HGDP	Denisova	Denisova
chr5	169833000	169937000	103000	0.94445	28	5	0	0	5	0	HGDP00311	HGDP	Denisova	Denisova
chr6	45930000	46029000	98000	0.89851	26	5	0	0	5	0	HGDP00311	HGDP	Denisova	Denisova
