chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1695000	1869000	174000	0.9107	69	34	23	31	1	31	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	3874000	3905000	31000	0.94316	14	4	4	2	0	4	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	6872000	6945000	73000	0.89591	22	8	5	8	1	6	HGDP01249	HGDP	Chagyrskaya	Neanderthal
chr10	6957000	7119000	162000	0.93902	59	27	17	19	1	27	HGDP01249	HGDP	Vindija	Neanderthal
chr10	11257000	11309000	52000	0.9441	25	17	5	15	4	17	HGDP01249	HGDP	Vindija	Neanderthal
chr10	11451000	11680000	229000	0.969	65	30	25	30	2	30	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	14462000	14602000	140000	0.87427	39	18	17	16	0	15	HGDP01249	HGDP	Altai	Neanderthal
chr10	20336000	20354000	18000	0.80541	7	3	2	3	0	2	HGDP01249	HGDP	Chagyrskaya	Neanderthal
chr10	27007000	27034000	27000	0.81846	8	3	3	3	2	3	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	27125000	27184000	59000	0.89997	14	3	3	3	1	3	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	27650000	27813000	163000	0.96583	59	26	24	18	0	25	HGDP01249	HGDP	Vindija	Neanderthal
chr10	28368000	28417000	49000	0.94141	23	11	11	8	0	11	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	29079000	29162000	83000	0.96418	27	8	6	7	4	5	HGDP01249	HGDP	Chagyrskaya	Neanderthal
chr10	29676000	29714000	38000	0.8965	21	13	13	13	0	13	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	43822000	43936000	114000	0.98457	53	22	21	21	0	22	HGDP01249	HGDP	Vindija	Neanderthal
chr10	60840000	60862000	22000	0.93212	16	8	8	8	0	8	HGDP01249	HGDP	AmbigNean	Neanderthal
chr10	61797000	62028000	231000	0.97045	74	32	23	20	7	25	HGDP01249	HGDP	Vindija	Neanderthal
