chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	681000	790000	109000	0.84228	27	8	8	4	0	6	HGDP00623	HGDP	Altai	Neanderthal
chr10	5694000	5941000	247000	0.94879	70	29	26	29	8	26	HGDP00623	HGDP	Chagyrskaya	Neanderthal
chr10	6671000	6681000	10000	0.60481	5	3	1	2	0	3	HGDP00623	HGDP	Vindija	Neanderthal
chr10	6855000	6890000	35000	0.95428	13	6	1	5	1	5	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	6963000	7064000	101000	0.84918	21	8	6	8	0	8	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	8510000	8534000	24000	0.90351	19	13	13	13	0	13	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	11347000	11368000	21000	0.72825	7	2	1	2	1	2	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	12758000	12769000	11000	0.8443	7	3	2	3	0	3	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	51464000	51523000	59000	0.95444	22	16	14	16	1	10	HGDP00623	HGDP	Chagyrskaya	Neanderthal
chr10	62315000	62413000	98000	0.90414	22	9	6	6	0	9	HGDP00623	HGDP	Vindija	Neanderthal
chr10	68143000	68233000	90000	0.89781	30	13	11	13	4	11	HGDP00623	HGDP	Chagyrskaya	Neanderthal
chr10	69078000	69235000	157000	0.9421	32	9	8	9	0	9	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	70752000	70771000	19000	0.84387	9	4	1	4	1	1	HGDP00623	HGDP	Chagyrskaya	Neanderthal
chr10	70993000	71026000	33000	0.94149	18	6	6	4	2	6	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	77005000	77224000	219000	0.93964	61	33	24	29	8	33	HGDP00623	HGDP	Vindija	Neanderthal
chr10	80136000	80194000	58000	0.96498	22	10	10	9	1	9	HGDP00623	HGDP	Altai	Neanderthal
chr10	83699000	83795000	96000	0.84412	25	7	7	7	2	7	HGDP00623	HGDP	AmbigNean	Neanderthal
chr10	85240000	85461000	221000	0.93434	85	26	16	19	1	25	HGDP00623	HGDP	Vindija	Neanderthal
