chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1862000	1946000	84000	0.95861	43	19	16	19	0	18	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	2011000	2081000	70000	0.87364	20	7	4	5	0	7	HGDP00766	HGDP	Vindija	Neanderthal
chr10	5564000	5659000	95000	0.97805	41	20	11	20	0	18	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	6203000	6231000	28000	0.92468	11	3	2	1	1	2	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	6764000	6878000	114000	0.89493	31	17	7	17	4	17	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	6961000	7116000	155000	0.94218	55	25	19	19	3	25	HGDP00766	HGDP	Vindija	Neanderthal
chr10	11347000	11429000	82000	0.95111	26	12	8	11	1	11	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	12738000	12791000	53000	0.95133	24	8	7	8	2	8	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	13735000	13774000	39000	0.91917	32	18	18	18	4	18	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	13996000	14095000	99000	0.97074	48	20	16	19	8	20	HGDP00766	HGDP	Vindija	Neanderthal
chr10	19430000	19691000	261000	0.97396	121	55	52	49	8	52	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	20975000	21012000	37000	0.86845	11	3	2	2	1	3	HGDP00766	HGDP	Vindija	Neanderthal
chr10	21084000	21181000	97000	0.96416	28	14	8	12	0	10	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	24204000	24256000	52000	0.94204	27	13	7	8	6	12	HGDP00766	HGDP	Vindija	Neanderthal
chr10	24412000	24495000	83000	0.97472	39	22	20	20	3	22	HGDP00766	HGDP	Vindija	Neanderthal
chr10	26345000	26376000	31000	0.85895	9	5	3	4	0	5	HGDP00766	HGDP	Vindija	Neanderthal
chr10	26867000	26895000	28000	0.8751	14	6	6	6	0	6	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	27468000	27606000	138000	0.96445	43	15	15	15	1	13	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	43314000	43523000	209000	0.98417	64	28	25	28	11	25	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	44197000	44319000	122000	0.97267	61	27	21	21	10	27	HGDP00766	HGDP	Vindija	Neanderthal
chr10	61939000	62040000	101000	0.89429	28	12	11	11	1	12	HGDP00766	HGDP	Vindija	Neanderthal
chr10	62060000	62119000	59000	0.77186	13	9	5	5	1	9	HGDP00766	HGDP	Vindija	Neanderthal
chr10	62688000	62881000	193000	0.98327	66	24	21	24	6	24	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	62935000	63397000	462000	0.97654	116	48	35	46	1	38	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	63442000	63601000	159000	0.94239	32	16	12	16	0	12	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	64034000	64071000	37000	0.9254	19	13	13	11	5	13	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	64308000	64526000	218000	0.97416	69	35	20	23	3	35	HGDP00766	HGDP	Vindija	Neanderthal
chr10	64580000	65013000	433000	0.88826	100	43	36	29	0	43	HGDP00766	HGDP	Vindija	Neanderthal
chr10	65332000	66007000	675000	0.99526	262	121	108	115	28	106	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	66766000	66999000	233000	0.95604	67	23	13	22	2	18	HGDP00766	HGDP	Chagyrskaya	Neanderthal
chr10	67075000	67767000	692000	0.99271	206	85	79	79	4	85	HGDP00766	HGDP	Vindija	Neanderthal
chr10	69618000	69687000	69000	0.94756	34	21	21	21	13	21	HGDP00766	HGDP	AmbigNean	Neanderthal
chr10	69761000	69780000	19000	0.79574	8	4	2	4	0	4	HGDP00766	HGDP	AmbigNean	Neanderthal
