chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	61800000	61844000	44000	0.91952	19	5	0	0	5	0	HGDP00612	HGDP	Denisova	Denisova
chr10	131475000	131541000	66000	0.81958	17	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr11	40413000	40440000	27000	0.62846	7	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr12	52253000	52292000	39000	0.92694	12	6	2	2	5	1	HGDP00612	HGDP	Denisova	Denisova
chr14	64550000	64598000	48000	0.94661	16	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr15	52111000	52222000	111000	0.90439	28	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr16	57301000	57331000	30000	0.70726	7	4	1	1	3	1	HGDP00612	HGDP	Denisova	Denisova
chr18	49631000	49655000	24000	0.56226	7	2	0	0	2	0	HGDP00612	HGDP	Denisova	Denisova
chr1	147259000	147366000	107000	0.96279	31	2	0	0	2	0	HGDP00612	HGDP	Denisova	Denisova
chr22	27763000	27769000	6000	0.63492	5	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr2	67553000	67571000	18000	0.90703	12	3	0	0	3	0	HGDP00612	HGDP	Denisova	Denisova
chr2	111877000	112062000	185000	0.93655	32	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr2	227374000	227596000	222000	0.97305	81	22	14	14	22	14	HGDP00612	HGDP	Denisova	Denisova
chr4	43276000	43431000	155000	0.98058	112	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr4	167913000	168036000	123000	0.93036	45	9	0	0	5	4	HGDP00612	HGDP	Denisova	Denisova
chr5	114260000	114299000	39000	0.84766	9	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr5	121854000	121957000	103000	0.86308	27	9	8	8	9	8	HGDP00612	HGDP	Denisova	Denisova
chr6	51249000	51265000	16000	0.88211	9	3	0	0	3	0	HGDP00612	HGDP	Denisova	Denisova
chr6	80496000	80596000	100000	0.96478	37	2	0	0	2	0	HGDP00612	HGDP	Denisova	Denisova
chr7	90604000	90890000	286000	0.94308	57	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr8	17561000	17587000	26000	0.91031	26	12	10	2	12	2	HGDP00612	HGDP	Denisova	Denisova
chr8	55833000	55998000	165000	0.81867	27	2	0	0	2	0	HGDP00612	HGDP	Denisova	Denisova
chr8	91042000	91234000	192000	0.95413	44	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr8	116462000	116486000	24000	0.76399	8	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr9	21996000	22067000	71000	0.95505	36	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr9	106310000	106377000	67000	0.95733	25	1	0	0	1	0	HGDP00612	HGDP	Denisova	Denisova
chr10	51305000	51387000	82000	0.97362	26	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr10	55424000	55470000	46000	0.95951	40	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr11	69013000	69031000	18000	0.84773	15	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr11	84502000	84638000	136000	0.94094	38	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr12	118553000	118703000	150000	0.96579	37	2	0	0	2	0	HGDP00609	HGDP	Denisova	Denisova
chr12	130127000	130143000	16000	0.8972	12	2	0	0	2	0	HGDP00609	HGDP	Denisova	Denisova
chr13	40131000	40272000	141000	0.93631	59	14	6	5	14	5	HGDP00609	HGDP	Denisova	Denisova
chr13	91409000	91463000	54000	0.94681	35	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr14	50241000	50399000	158000	0.93351	42	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr14	79183000	79202000	19000	0.83655	8	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr16	22087000	22146000	59000	0.94195	19	3	0	0	3	0	HGDP00609	HGDP	Denisova	Denisova
chr18	49629000	49659000	30000	0.81795	8	2	0	0	2	0	HGDP00609	HGDP	Denisova	Denisova
chr1	147259000	147382000	123000	0.94939	34	2	0	0	2	0	HGDP00609	HGDP	Denisova	Denisova
chr1	204972000	204985000	13000	0.82806	7	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr1	232558000	232604000	46000	0.77462	19	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr1	234742000	234779000	37000	0.87384	14	4	2	1	4	1	HGDP00609	HGDP	Denisova	Denisova
chr1	234904000	234948000	44000	0.89524	16	4	0	0	4	0	HGDP00609	HGDP	Denisova	Denisova
chr20	59423000	59459000	36000	0.94137	23	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr22	48508000	48535000	27000	0.81018	13	3	0	0	3	0	HGDP00609	HGDP	Denisova	Denisova
chr2	202723000	202771000	48000	0.77795	8	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr3	13709000	13802000	93000	0.91416	34	9	4	4	9	4	HGDP00609	HGDP	Denisova	Denisova
chr3	14526000	14542000	16000	0.78647	7	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr5	4725000	4732000	7000	0.56031	4	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr6	10908000	11223000	315000	0.98332	109	20	1	1	20	1	HGDP00609	HGDP	Denisova	Denisova
chr6	51250000	51265000	15000	0.90223	9	3	0	0	3	0	HGDP00609	HGDP	Denisova	Denisova
chr8	4136000	4163000	27000	0.90186	15	2	0	0	2	0	HGDP00609	HGDP	Denisova	Denisova
chr9	85276000	85358000	82000	0.89618	31	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr9	106334000	106375000	41000	0.90796	13	1	0	0	1	0	HGDP00609	HGDP	Denisova	Denisova
chr10	55424000	55477000	53000	0.89772	37	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr10	108324000	108414000	90000	0.90797	35	2	0	0	2	0	HGDP00636	HGDP	Denisova	Denisova
chr11	40415000	40448000	33000	0.80087	9	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr12	52256000	52291000	35000	0.94334	12	6	2	2	5	1	HGDP00636	HGDP	Denisova	Denisova
chr18	30490000	30531000	41000	0.90174	23	6	0	0	6	0	HGDP00636	HGDP	Denisova	Denisova
chr2	202668000	202769000	101000	0.59257	13	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr2	226326000	226376000	50000	0.79838	12	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr3	194521000	194546000	25000	0.84245	13	2	0	0	2	0	HGDP00636	HGDP	Denisova	Denisova
chr8	91032000	91228000	196000	0.97726	48	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr8	100507000	100573000	66000	0.91975	24	2	0	0	2	0	HGDP00636	HGDP	Denisova	Denisova
chr8	116462000	116490000	28000	0.93634	21	6	0	0	6	0	HGDP00636	HGDP	Denisova	Denisova
chr9	22001000	22066000	65000	0.94073	30	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr9	131623000	131635000	12000	0.87887	8	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chrX	45224000	45259000	35000	0.90386	14	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chrX	133802000	133836000	34000	0.91673	13	1	0	0	1	0	HGDP00636	HGDP	Denisova	Denisova
chr10	13164000	13199000	35000	0.81639	13	7	0	0	7	0	HGDP00638	HGDP	Denisova	Denisova
chr12	564000	598000	34000	0.93569	12	7	2	2	7	2	HGDP00638	HGDP	Denisova	Denisova
chr17	22502000	22507000	5000	0.52786	3	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr2	60350000	60446000	96000	0.93379	20	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr2	111890000	112093000	203000	0.97799	43	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr2	227205000	227250000	45000	0.92731	16	6	0	0	6	0	HGDP00638	HGDP	Denisova	Denisova
chr2	227354000	227467000	113000	0.94311	53	13	10	10	13	10	HGDP00638	HGDP	Denisova	Denisova
chr5	58610000	58746000	136000	0.95741	57	16	3	3	16	3	HGDP00638	HGDP	Denisova	Denisova
chr6	60673000	60724000	51000	0.76103	12	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr7	534000	545000	11000	0.62285	6	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr8	4107000	4163000	56000	0.91739	28	2	0	0	2	0	HGDP00638	HGDP	Denisova	Denisova
chr8	55938000	56008000	70000	0.9313	18	2	0	0	2	0	HGDP00638	HGDP	Denisova	Denisova
chr8	57310000	57490000	180000	0.92051	76	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr8	91102000	91226000	124000	0.92761	30	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr9	106311000	106371000	60000	0.88693	22	1	0	0	1	0	HGDP00638	HGDP	Denisova	Denisova
chr10	55406000	55469000	63000	0.95326	44	1	0	0	1	0	HGDP00647	HGDP	Denisova	Denisova
chr10	96306000	96358000	52000	0.77223	11	1	0	0	1	0	HGDP00647	HGDP	Denisova	Denisova
chr12	52255000	52290000	35000	0.95335	13	6	2	2	5	1	HGDP00647	HGDP	Denisova	Denisova
chr12	115897000	115934000	37000	0.90104	17	2	1	1	2	1	HGDP00647	HGDP	Denisova	Denisova
chr16	7731000	7857000	126000	0.98896	95	13	9	8	13	8	HGDP00647	HGDP	Denisova	Denisova
chr18	49630000	49658000	28000	0.67079	8	2	0	0	2	0	HGDP00647	HGDP	Denisova	Denisova
chr19	2099000	2202000	103000	0.89881	23	1	0	0	1	0	HGDP00647	HGDP	Denisova	Denisova
chr19	48020000	48035000	15000	0.63137	5	1	0	0	1	0	HGDP00647	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.93314	10	1	0	0	1	0	HGDP00647	HGDP	Denisova	Denisova
